CatalogID	Assembler	Strategy	Completeness	LengthBin	LengthBinStart	Genes
megahit-individual-primary	MEGAHIT	Individual	Complete	51-100	51	85
megahit-individual-primary	MEGAHIT	Individual	Partial	51-100	51	881
megahit-individual-primary	MEGAHIT	Individual	Complete	101-150	101	646
megahit-individual-primary	MEGAHIT	Individual	Partial	101-150	101	1341
megahit-individual-primary	MEGAHIT	Individual	Complete	151-200	151	1303
megahit-individual-primary	MEGAHIT	Individual	Partial	151-200	151	1235
megahit-individual-primary	MEGAHIT	Individual	Complete	201-250	201	1940
megahit-individual-primary	MEGAHIT	Individual	Partial	201-250	201	1176
megahit-individual-primary	MEGAHIT	Individual	Complete	251-300	251	2052
megahit-individual-primary	MEGAHIT	Individual	Partial	251-300	251	1082
megahit-individual-primary	MEGAHIT	Individual	Complete	301-350	301	1825
megahit-individual-primary	MEGAHIT	Individual	Partial	301-350	301	978
megahit-individual-primary	MEGAHIT	Individual	Complete	351-400	351	2148
megahit-individual-primary	MEGAHIT	Individual	Partial	351-400	351	1040
megahit-individual-primary	MEGAHIT	Individual	Complete	401-450	401	2337
megahit-individual-primary	MEGAHIT	Individual	Partial	401-450	401	1014
megahit-individual-primary	MEGAHIT	Individual	Complete	451-500	451	2220
megahit-individual-primary	MEGAHIT	Individual	Partial	451-500	451	936
megahit-individual-primary	MEGAHIT	Individual	Complete	501-550	501	2010
megahit-individual-primary	MEGAHIT	Individual	Partial	501-550	501	965
megahit-individual-primary	MEGAHIT	Individual	Complete	551-600	551	2045
megahit-individual-primary	MEGAHIT	Individual	Partial	551-600	551	900
megahit-individual-primary	MEGAHIT	Individual	Complete	601-650	601	1811
megahit-individual-primary	MEGAHIT	Individual	Partial	601-650	601	806
megahit-individual-primary	MEGAHIT	Individual	Complete	651-700	651	1881
megahit-individual-primary	MEGAHIT	Individual	Partial	651-700	651	826
megahit-individual-primary	MEGAHIT	Individual	Complete	701-750	701	1867
megahit-individual-primary	MEGAHIT	Individual	Partial	701-750	701	801
megahit-individual-primary	MEGAHIT	Individual	Complete	751-800	751	1827
megahit-individual-primary	MEGAHIT	Individual	Partial	751-800	751	743
megahit-individual-primary	MEGAHIT	Individual	Complete	801-850	801	1717
megahit-individual-primary	MEGAHIT	Individual	Partial	801-850	801	692
megahit-individual-primary	MEGAHIT	Individual	Complete	851-900	851	1629
megahit-individual-primary	MEGAHIT	Individual	Partial	851-900	851	739
megahit-individual-primary	MEGAHIT	Individual	Complete	901-950	901	1491
megahit-individual-primary	MEGAHIT	Individual	Partial	901-950	901	612
megahit-individual-primary	MEGAHIT	Individual	Complete	951-1000	951	1544
megahit-individual-primary	MEGAHIT	Individual	Incomplete	951-1000	951	14
megahit-individual-primary	MEGAHIT	Individual	Partial	951-1000	951	640
megahit-individual-primary	MEGAHIT	Individual	Complete	1001-1050	1001	1493
megahit-individual-primary	MEGAHIT	Individual	Incomplete	1001-1050	1001	296
megahit-individual-primary	MEGAHIT	Individual	Partial	1001-1050	1001	556
megahit-individual-primary	MEGAHIT	Individual	Complete	1051-1100	1051	1161
megahit-individual-primary	MEGAHIT	Individual	Incomplete	1051-1100	1051	212
megahit-individual-primary	MEGAHIT	Individual	Partial	1051-1100	1051	477
megahit-individual-primary	MEGAHIT	Individual	Complete	1101-1150	1101	1117
megahit-individual-primary	MEGAHIT	Individual	Incomplete	1101-1150	1101	188
megahit-individual-primary	MEGAHIT	Individual	Partial	1101-1150	1101	423
megahit-individual-primary	MEGAHIT	Individual	Complete	1151-1200	1151	1178
megahit-individual-primary	MEGAHIT	Individual	Incomplete	1151-1200	1151	159
megahit-individual-primary	MEGAHIT	Individual	Partial	1151-1200	1151	378
megahit-individual-primary	MEGAHIT	Individual	Complete	1201-1250	1201	997
megahit-individual-primary	MEGAHIT	Individual	Incomplete	1201-1250	1201	146
megahit-individual-primary	MEGAHIT	Individual	Partial	1201-1250	1201	303
megahit-individual-primary	MEGAHIT	Individual	Complete	1251-1300	1251	1018
megahit-individual-primary	MEGAHIT	Individual	Incomplete	1251-1300	1251	133
megahit-individual-primary	MEGAHIT	Individual	Partial	1251-1300	1251	285
megahit-individual-primary	MEGAHIT	Individual	Complete	1301-1350	1301	893
megahit-individual-primary	MEGAHIT	Individual	Incomplete	1301-1350	1301	98
megahit-individual-primary	MEGAHIT	Individual	Partial	1301-1350	1301	286
megahit-individual-primary	MEGAHIT	Individual	Complete	1351-1400	1351	787
megahit-individual-primary	MEGAHIT	Individual	Incomplete	1351-1400	1351	82
megahit-individual-primary	MEGAHIT	Individual	Partial	1351-1400	1351	198
megahit-individual-primary	MEGAHIT	Individual	Complete	1401-1450	1401	626
megahit-individual-primary	MEGAHIT	Individual	Incomplete	1401-1450	1401	85
megahit-individual-primary	MEGAHIT	Individual	Partial	1401-1450	1401	189
megahit-individual-primary	MEGAHIT	Individual	Complete	1451-1500	1451	519
megahit-individual-primary	MEGAHIT	Individual	Incomplete	1451-1500	1451	56
megahit-individual-primary	MEGAHIT	Individual	Partial	1451-1500	1451	165
megahit-individual-primary	MEGAHIT	Individual	Complete	1501-1550	1501	419
megahit-individual-primary	MEGAHIT	Individual	Incomplete	1501-1550	1501	67
megahit-individual-primary	MEGAHIT	Individual	Partial	1501-1550	1501	136
megahit-individual-primary	MEGAHIT	Individual	Complete	1551-1600	1551	383
megahit-individual-primary	MEGAHIT	Individual	Incomplete	1551-1600	1551	53
megahit-individual-primary	MEGAHIT	Individual	Partial	1551-1600	1551	134
