Step	Cached	Command	Outputs
megahit-individual-id90-cov80-cluster	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs cluster /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-id90-cov80/sequenceDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-id90-cov80/clusterDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-id90-cov80/tmp --min-seq-id 0.90 -c 0.80 --cov-mode 1 --cluster-mode 2 --alignment-mode 3 --threads 16	catalogs/megahit/individual-id90-cov80/clusterDB.index;catalogs/megahit/individual-id90-cov80/clusterDB.dbtype
megahit-individual-id90-cov80-convert2fasta	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs convert2fasta /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-id90-cov80/representativeDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-id90-cov80/representatives.faa	catalogs/megahit/individual-id90-cov80/representatives.faa
megahit-individual-id90-cov80-createdb	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs createdb /workspace/wechat/Metagenome/data/raw/article34/work/pools/megahit/individual.raw.faa /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-id90-cov80/sequenceDB	catalogs/megahit/individual-id90-cov80/sequenceDB;catalogs/megahit/individual-id90-cov80/sequenceDB.index
megahit-individual-id90-cov80-createsubdb	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs createsubdb /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-id90-cov80/clusterDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-id90-cov80/sequenceDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-id90-cov80/representativeDB	catalogs/megahit/individual-id90-cov80/representativeDB.index;catalogs/megahit/individual-id90-cov80/representativeDB.dbtype
megahit-individual-id90-cov80-createsubdb-headers	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs createsubdb /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-id90-cov80/clusterDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-id90-cov80/sequenceDB_h /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-id90-cov80/representativeDB_h	catalogs/megahit/individual-id90-cov80/representativeDB_h.index;catalogs/megahit/individual-id90-cov80/representativeDB_h.dbtype
megahit-individual-id90-cov80-createtsv	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs createtsv /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-id90-cov80/sequenceDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-id90-cov80/sequenceDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-id90-cov80/clusterDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-id90-cov80/membership.tsv	catalogs/megahit/individual-id90-cov80/membership.tsv
megahit-individual-id99-cov95-cluster	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs cluster /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-id99-cov95/sequenceDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-id99-cov95/clusterDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-id99-cov95/tmp --min-seq-id 0.99 -c 0.95 --cov-mode 1 --cluster-mode 2 --alignment-mode 3 --threads 16	catalogs/megahit/individual-id99-cov95/clusterDB.index;catalogs/megahit/individual-id99-cov95/clusterDB.dbtype
megahit-individual-id99-cov95-convert2fasta	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs convert2fasta /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-id99-cov95/representativeDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-id99-cov95/representatives.faa	catalogs/megahit/individual-id99-cov95/representatives.faa
megahit-individual-id99-cov95-createdb	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs createdb /workspace/wechat/Metagenome/data/raw/article34/work/pools/megahit/individual.raw.faa /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-id99-cov95/sequenceDB	catalogs/megahit/individual-id99-cov95/sequenceDB;catalogs/megahit/individual-id99-cov95/sequenceDB.index
megahit-individual-id99-cov95-createsubdb	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs createsubdb /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-id99-cov95/clusterDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-id99-cov95/sequenceDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-id99-cov95/representativeDB	catalogs/megahit/individual-id99-cov95/representativeDB.index;catalogs/megahit/individual-id99-cov95/representativeDB.dbtype
