GenBankAssembly	Reference	RepositoryLabel	InMOCK1	InMOCK2	ExpectedAbundanceMOCK1Pct	ExpectedAbundanceMOCK2Pct	ExpectedAbundanceMeanPct	ReferenceContigs	ReferenceBases	CompressedBytes	CompressedSHA256	CanonicalSequenceSHA256	TaxonomyRenameAlias
GCA_000005845.2	Escherichia_coli_K-12_MG1655	Escherichia_coli_K-12_MG1655	no	yes	0	0.043258161089	0.0216290805445	1	4641652	1424039	2157b388724c19ebd15ae94e22791c6582f8a5655095ce7c01d765958fde6fb7	5b68ac8b16687f3062359ee35aaad9732b1ef1265d204999dd4aece76d869a95	no
GCA_000006805.1	Halobacterium_salinarum_NRC-1	Halobacterium_salinarum_NRC-1	yes	yes	2.53229319151	2.49649088872	2.51439204011	3	2571010	768945	9734d76a7e3a87a3e228332c69271b455bb80cd2d9904c2b9a5c566d0220976a	c0e2023b110d23906683ff9af3a0eca3d9ffa89fe13331f180091f709972416f	no
GCA_000006985.1	Chlorobaculum_tepidum_TLS	Chlorobium_tepidum_TLS	yes	yes	0.243282052687	0.239842459775	0.241562256231	1	2154946	658161	a1bbcece9f91622ffd4e799d2b88c6d66a5560124569d321e398930da2e17623	b1c79ec5ffbd4e1c37ecb6b2e0128ac7493d7c12e5d705c14082579a47523cc2	yes
GCA_000007185.1	Methanopyrus_kandleri_AV19	Methanopyrus_kandleri_AV19	yes	yes	0.210206465038	0.207234504471	0.208720484754	1	1694969	518520	55f3783a970a749f3d802ed4ab7cb4cbf4108da22cfea8b196d4817f7979dbbc	82d0f1ea866cbdf660683b551d59d21fd70222186f2dd45134b717ccd862d387	no
GCA_000007225.1	Pyrobaculum_aerophilum_IM2	Pyrobaculum_aerophilum_IM2	yes	yes	0.229024505381	0.225786489848	0.227405497614	1	2222430	682037	0ba72caf9ced2c7c96966db593b3fc1d10a8987c85ae71f8c9bf9a44a7beaed1	c4c09d15ad1c8f60e87e76760364f065c52246718ea8b6bc8b3a1a0dee9cc571	no
GCA_000007265.1	Streptococcus_agalactiae_sv._V_V_2603V_R	Streptococcus_agalactiae_sv._V_V_2603V_R	no	yes	0	0.0929249386356	0.0464624693178	1	2160267	659478	a2d57829b6a600659f9624294762bee9079c9167a4954e75bd8274ef60c407e9	e68ee0185116693dd32b34cb32eae0d754e52da02e566762cdc2761fd12dd888	no
GCA_000007305.1	Pyrococcus_furiosus_DSM_3638	Pyrococcus_furiosus_DSM_3638	yes	yes	0.401834945916	0.396153685762	0.398994315839	1	1908256	584756	870ae6c03ed08d75d2e298e9375042b9f5f89688bdd443e9850246590e269076	de19698f81c99ba40c8964cee39c8943c10a2b0239deacf92d2c7a6b3e6b1525	no
GCA_000007345.1	Methanosarcina_acetivorans_C2A	Methanosarcina_acetivorans_C2A	yes	yes	0.176994459347	0.174492059843	0.175743259595	1	5751492	1752151	0d450411ff869f36f54226f4a8d4bd0f4acfb1adc64ae68de6bbb24fd06262bc	590368459c49ebdc08907d07b1fe9325ea2f97b116d684a590c83576db787f5b	no
GCA_000007565.2	Pseudomonas_putida_KT2440	Pseudomonas_putida_KT2440	yes	yes	1.48249785872	1.4615378698	1.47201786426	1	6181873	1872397	02de82b7269733cc31d142a4ba5746038b75a47b582d661b8091b42ec29fff6c	577e8e7b52dddf1b713a5780332f08a8ad4167e2bb88e7520a2f24cc340c4931	no
GCA_000007645.1	Staphylococcus_epidermidis_ATCC_12228	Staphylococcus_epidermidis_ATCC_12228	no	yes	0	0.0784054169738	0.0392027084869	7	2564615	779342	7e1c4a5ae0ff518b5e8feac4f2bdb7df6a101283d95d37d7275a0d91bdba7cd9	e94366440db519e21889ec5800e0798c6fcd29524f787078239e6ac3ae4fc0a0	no
