Step	UserSeconds	SystemSeconds	ElapsedSeconds	MaximumRSSKiB	FileSystemInputs	FileSystemOutputs	ExitStatus
megahit-individual-id90-cov80-cluster	121.20	2.23	9.140	1070780	0	212000	0
megahit-individual-id90-cov80-convert2fasta	0.05	0.02	0.060	33764	0	54848	0
megahit-individual-id90-cov80-createdb	9.87	0.24	0.820	59432	0	242688	0
megahit-individual-id90-cov80-createsubdb-headers	0.04	0.02	0.050	33968	0	22320	0
megahit-individual-id90-cov80-createsubdb	0.05	0.03	0.070	59132	0	42512	0
megahit-individual-id90-cov80-createtsv	5.34	0.33	0.170	28148	0	28688	0
megahit-individual-id99-cov95-cluster	124.15	2.25	9.280	1076372	0	229432	0
megahit-individual-id99-cov95-convert2fasta	0.05	0.02	0.070	36952	0	60008	0
megahit-individual-id99-cov95-createdb	9.96	0.26	0.820	59316	0	242688	0
megahit-individual-id99-cov95-createsubdb-headers	0.05	0.02	0.060	34684	0	24816	0
megahit-individual-id99-cov95-createsubdb	0.05	0.04	0.080	62544	0	46336	0
megahit-individual-id99-cov95-createtsv	5.39	0.30	0.170	29432	0	29400	0
megahit-individual-primary-cluster	117.02	2.17	8.760	1072212	0	217160	0
megahit-individual-primary-convert2fasta	0.05	0.02	0.060	35304	0	56520	0
megahit-individual-primary-createdb	9.85	0.29	0.870	60164	0	242688	0
megahit-individual-primary-createsubdb-headers	0.05	0.02	0.060	33580	0	23024	0
megahit-individual-primary-createsubdb	0.05	0.04	0.070	60292	0	43808	0
megahit-individual-primary-createtsv	5.28	0.17	0.170	29016	0	28872	0
megahit-mix-cdhit	225.83	1.34	21.110	646788	0	91632	0
megahit-mix-id90-cov80-cluster	182.36	2.47	13.330	1095820	0	281296	0
megahit-mix-id90-cov80-convert2fasta	0.07	0.03	0.080	43616	0	72136	0
megahit-mix-id90-cov80-createdb	10.07	0.36	1.040	78300	0	323272	0
megahit-mix-id90-cov80-createsubdb-headers	0.06	0.03	0.080	42892	0	29576	0
megahit-mix-id90-cov80-createsubdb	0.07	0.04	0.090	79008	0	55904	0
megahit-mix-id90-cov80-createtsv	5.44	0.24	0.180	34512	0	37472	0
megahit-mix-id99-cov95-cluster	184.33	2.61	13.470	1108068	0	310600	0
megahit-mix-id99-cov95-convert2fasta	0.06	0.03	0.090	48216	0	79632	0
megahit-mix-id99-cov95-createdb	10.19	0.27	1.070	80812	0	336928	0
megahit-mix-id99-cov95-createsubdb-headers	0.06	0.03	0.080	45336	0	33328	0
megahit-mix-id99-cov95-createsubdb	0.07	0.04	0.100	82852	0	61416	0
megahit-mix-id99-cov95-createtsv	5.52	0.14	0.230	37268	0	39968	0
megahit-mix-primary-cluster	168.89	2.40	12.430	1097752	0	287544	0
megahit-mix-primary-convert2fasta	0.05	0.04	0.070	45244	0	73840	0
megahit-mix-primary-createdb	10.03	0.31	1.070	79172	0	327408	0
megahit-mix-primary-createsubdb-headers	0.06	0.02	0.070	43800	0	30424	0
megahit-mix-primary-createsubdb	0.06	0.04	0.090	80112	0	57168	0
megahit-mix-primary-createtsv	5.51	0.17	0.190	35272	0	38072	0
metaspades-individual-primary-cluster	125.61	2.16	9.430	1078944	0	229528	0
metaspades-individual-primary-convert2fasta	0.06	0.02	0.070	37244	0	59840	0
metaspades-individual-primary-createdb	9.87	0.29	0.860	62580	0	255816	0
metaspades-individual-primary-createsubdb-headers	0.05	0.02	0.060	35808	0	24672	0
metaspades-individual-primary-createsubdb	0.06	0.04	0.100	63128	0	46080	0
metaspades-individual-primary-createtsv	5.44	0.28	0.180	29648	0	33376	0
metaspades-mix-primary-cluster	180.55	2.64	13.340	1108944	0	306760	0
metaspades-mix-primary-convert2fasta	0.06	0.04	0.090	47364	0	78704	0
metaspades-mix-primary-createdb	10.24	0.33	1.100	82636	0	345400	0
metaspades-mix-primary-createsubdb-headers	0.07	0.02	0.080	46016	0	32936	0
metaspades-mix-primary-createsubdb	0.07	0.05	0.110	84676	0	60496	0
metaspades-mix-primary-createtsv	5.44	0.34	0.190	38516	0	44504	0
prodigal-megahit-co	781.60	0.46	782.150	63936	0	297408	0
prodigal-megahit-m1	384.02	0.37	384.400	46080	0	197792	0
prodigal-megahit-m2	369.86	0.31	370.190	46656	0	194408	0
prodigal-metaspades-co	813.08	0.68	813.810	59252	0	311168	0
prodigal-metaspades-m1	418.46	0.37	418.870	48960	0	207744	0
prodigal-metaspades-m2	416.82	0.46	417.300	47232	0	204048	0
prodigal-truth-GCA_000005845.2	68.02	0.07	68.090	109588	0	15368	0
prodigal-truth-GCA_000006805.1	24.51	0.03	24.550	69588	0	8832	0
prodigal-truth-GCA_000006985.1	45.08	0.04	45.120	74748	0	7056	0
prodigal-truth-GCA_000007185.1	23.11	0.04	23.160	63920	0	5936	0
prodigal-truth-GCA_000007225.1	26.51	0.05	26.560	67104	0	7944	0
prodigal-truth-GCA_000007265.1	10.74	0.06	10.810	62388	0	7264	0
prodigal-truth-GCA_000007305.1	12.28	0.03	12.310	61020	0	6856	0
prodigal-truth-GCA_000007345.1	43.56	0.07	43.630	105924	0	16616	0
prodigal-truth-GCA_000007565.2	154.71	0.21	154.950	145984	0	20576	0
prodigal-truth-GCA_000007645.1	9.84	0.05	9.900	63492	0	8184	0
prodigal-truth-GCA_000007985.2	68.50	0.06	68.570	98920	0	12776	0
prodigal-truth-GCA_000008005.1	31.39	0.06	31.470	91840	0	18032	0
prodigal-truth-GCA_000008085.1	1.78	0.03	1.810	46080	0	1816	0
prodigal-truth-GCA_000008185.1	13.45	0.04	13.500	68292	0	9624	0
prodigal-truth-GCA_000008525.1	10.05	0.04	10.100	61316	0	5648	0
prodigal-truth-GCA_000008565.1	28.71	0.08	28.790	79052	0	11120	0
prodigal-truth-GCA_000008665.1	26.20	0.04	26.250	70868	0	7944	0
prodigal-truth-GCA_000008805.1	39.68	0.05	39.730	76840	0	7096	0
prodigal-truth-GCA_000009145.1	44.75	0.05	44.800	88140	0	9352	0
prodigal-truth-GCA_000009225.1	167.04	0.21	167.260	156628	0	22384	0
prodigal-truth-GCA_000009705.1	46.18	0.06	46.250	109100	0	22304	0
prodigal-truth-GCA_000010305.1	94.15	0.16	94.320	130252	0	15528	0
prodigal-truth-GCA_000010425.1	45.90	0.27	46.180	78300	0	6536	0
prodigal-truth-GCA_000010505.1	33.94	0.05	33.990	75936	0	7256	0
prodigal-truth-GCA_000011065.1	50.14	0.09	50.230	123468	0	20072	0
prodigal-truth-GCA_000011105.1	9.39	0.04	9.430	58120	0	6248	0
prodigal-truth-GCA_000011205.1	8.36	0.11	8.480	60340	0	9168	0
prodigal-truth-GCA_000011585.1	7.89	0.04	7.930	57208	0	5752	0
prodigal-truth-GCA_000011965.2	81.87	0.08	81.950	105924	0	15656	0
prodigal-truth-GCA_000012825.1	40.91	0.32	41.240	112204	0	16600	0
prodigal-truth-GCA_000013465.1	12.86	0.04	12.910	68708	0	9408	0
prodigal-truth-GCA_000013645.1	181.15	0.10	181.260	117948	0	31152	0
prodigal-truth-GCA_000014425.1	9.59	0.03	9.630	58708	0	6416	0
prodigal-truth-GCA_000015125.1	44.33	0.06	44.400	88944	0	10048	0
prodigal-truth-GCA_000015425.1	22.42	0.06	22.490	85868	0	13544	0
prodigal-truth-GCA_000015805.1	36.25	0.04	36.300	69080	0	7272	0
prodigal-truth-GCA_000015865.1	26.05	0.05	26.100	87960	0	12288	0
prodigal-truth-GCA_000015985.1	24.78	0.05	24.840	82388	0	15080	0
prodigal-truth-GCA_000016065.1	75.09	0.07	75.170	104216	0	14576	0
