CatalogID	Assembler	Strategy	ClusterSizeBin	Clusters	ClusterPct
megahit-individual-primary	MEGAHIT	Individual	1	24381	34.089765
megahit-individual-primary	MEGAHIT	Individual	2	42417	59.307886
megahit-individual-primary	MEGAHIT	Individual	3-5	4654	6.507271
megahit-individual-primary	MEGAHIT	Individual	6-10	59	0.082494
megahit-individual-primary	MEGAHIT	Individual	11-50	9	0.012584
megahit-individual-primary	MEGAHIT	Individual	>50	0	0.000000
megahit-co-primary	MEGAHIT	Co-assembly	1	91985	100.000000
megahit-co-primary	MEGAHIT	Co-assembly	2	0	0.000000
megahit-co-primary	MEGAHIT	Co-assembly	3-5	0	0.000000
megahit-co-primary	MEGAHIT	Co-assembly	6-10	0	0.000000
megahit-co-primary	MEGAHIT	Co-assembly	11-50	0	0.000000
megahit-co-primary	MEGAHIT	Co-assembly	>50	0	0.000000
megahit-mix-primary	MEGAHIT	Mix	1	30963	33.015931
megahit-mix-primary	MEGAHIT	Mix	2	14923	15.912435
megahit-mix-primary	MEGAHIT	Mix	3-5	47213	50.343349
megahit-mix-primary	MEGAHIT	Mix	6-10	645	0.687765
megahit-mix-primary	MEGAHIT	Mix	11-50	37	0.039453
megahit-mix-primary	MEGAHIT	Mix	>50	1	0.001066
metaspades-individual-primary	metaSPAdes	Individual	1	26485	35.110163
metaspades-individual-primary	metaSPAdes	Individual	2	44459	58.937614
metaspades-individual-primary	metaSPAdes	Individual	3-5	4488	5.949572
metaspades-individual-primary	metaSPAdes	Individual	6-10	2	0.002651
metaspades-individual-primary	metaSPAdes	Individual	11-50	0	0.000000
metaspades-individual-primary	metaSPAdes	Individual	>50	0	0.000000
metaspades-co-primary	metaSPAdes	Co-assembly	1	95972	100.000000
metaspades-co-primary	metaSPAdes	Co-assembly	2	0	0.000000
metaspades-co-primary	metaSPAdes	Co-assembly	3-5	0	0.000000
metaspades-co-primary	metaSPAdes	Co-assembly	6-10	0	0.000000
metaspades-co-primary	metaSPAdes	Co-assembly	11-50	0	0.000000
metaspades-co-primary	metaSPAdes	Co-assembly	>50	0	0.000000
metaspades-mix-primary	metaSPAdes	Mix	1	34252	34.251315
metaspades-mix-primary	metaSPAdes	Mix	2	16162	16.161677
metaspades-mix-primary	metaSPAdes	Mix	3-5	49080	49.079018
metaspades-mix-primary	metaSPAdes	Mix	6-10	501	0.500990
metaspades-mix-primary	metaSPAdes	Mix	11-50	7	0.007000
metaspades-mix-primary	metaSPAdes	Mix	>50	0	0.000000
megahit-mix-id90-cov80	MEGAHIT	Mix	1	28892	31.677740
megahit-mix-id90-cov80	MEGAHIT	Mix	2	14367	15.752253
megahit-mix-id90-cov80	MEGAHIT	Mix	3-5	46644	51.141372
megahit-mix-id90-cov80	MEGAHIT	Mix	6-10	1240	1.359560
megahit-mix-id90-cov80	MEGAHIT	Mix	11-50	61	0.066882
megahit-mix-id90-cov80	MEGAHIT	Mix	>50	2	0.002193
megahit-mix-id99-cov95	MEGAHIT	Mix	1	41313	40.202995
megahit-mix-id99-cov95	MEGAHIT	Mix	2	17132	16.671695
megahit-mix-id99-cov95	MEGAHIT	Mix	3-5	43998	42.815854
megahit-mix-id99-cov95	MEGAHIT	Mix	6-10	294	0.286101
megahit-mix-id99-cov95	MEGAHIT	Mix	11-50	23	0.022382
megahit-mix-id99-cov95	MEGAHIT	Mix	>50	1	0.000973
megahit-mix-cdhit	MEGAHIT	Mix	1	30908	32.978735
megahit-mix-cdhit	MEGAHIT	Mix	2	14923	15.922792
megahit-mix-cdhit	MEGAHIT	Mix	3-5	47192	50.353709
megahit-mix-cdhit	MEGAHIT	Mix	6-10	659	0.703151
megahit-mix-cdhit	MEGAHIT	Mix	11-50	38	0.040546
megahit-mix-cdhit	MEGAHIT	Mix	>50	1	0.001067
