CatalogID	Assembler	Strategy	Method	GenBankAssembly	Reference	InMOCK1	ExpectedAbundanceMOCK1Pct	ExpectedAbundanceMOCK2Pct	ExpectedAbundanceMeanPct	TruthGenes	RecoveredTruthGenes	GeneRecoveryPct
megahit-individual-primary	MEGAHIT	Individual	MMseqs2 9.d36de	GCA_000005845.2	Escherichia_coli_K-12_MG1655	no	0	0.043258161089	0.0216290805445	4319	0	0.000000
megahit-individual-primary	MEGAHIT	Individual	MMseqs2 9.d36de	GCA_000006805.1	Halobacterium_salinarum_NRC-1	yes	2.53229319151	2.49649088872	2.51439204011	2702	1683	62.287195
megahit-individual-primary	MEGAHIT	Individual	MMseqs2 9.d36de	GCA_000006985.1	Chlorobaculum_tepidum_TLS	yes	0.243282052687	0.239842459775	0.241562256231	2009	278	13.837730
megahit-individual-primary	MEGAHIT	Individual	MMseqs2 9.d36de	GCA_000007185.1	Methanopyrus_kandleri_AV19	yes	0.210206465038	0.207234504471	0.208720484754	1813	10	0.551572
megahit-individual-primary	MEGAHIT	Individual	MMseqs2 9.d36de	GCA_000007225.1	Pyrobaculum_aerophilum_IM2	yes	0.229024505381	0.225786489848	0.227405497614	2626	2	0.076161
megahit-individual-primary	MEGAHIT	Individual	MMseqs2 9.d36de	GCA_000007265.1	Streptococcus_agalactiae_sv._V_V_2603V_R	no	0	0.0929249386356	0.0464624693178	2123	0	0.000000
megahit-individual-primary	MEGAHIT	Individual	MMseqs2 9.d36de	GCA_000007305.1	Pyrococcus_furiosus_DSM_3638	yes	0.401834945916	0.396153685762	0.398994315839	2113	60	2.839565
megahit-individual-primary	MEGAHIT	Individual	MMseqs2 9.d36de	GCA_000007345.1	Methanosarcina_acetivorans_C2A	yes	0.176994459347	0.174492059843	0.175743259595	4900	0	0.000000
megahit-individual-primary	MEGAHIT	Individual	MMseqs2 9.d36de	GCA_000007565.2	Pseudomonas_putida_KT2440	yes	1.48249785872	1.4615378698	1.47201786426	5639	267	4.734882
megahit-individual-primary	MEGAHIT	Individual	MMseqs2 9.d36de	GCA_000007645.1	Staphylococcus_epidermidis_ATCC_12228	no	0	0.0784054169738	0.0392027084869	2394	0	0.000000
megahit-individual-primary	MEGAHIT	Individual	MMseqs2 9.d36de	GCA_000007985.2	Geobacter_sulfurreducens_PCA	yes	0.587173172916	0.578871546628	0.583022359772	3427	25	0.729501
megahit-individual-primary	MEGAHIT	Individual	MMseqs2 9.d36de	GCA_000008005.1	Bacillus_cereus_ATCC_10987	no	0	0.0371012693998	0.0185506346999	5508	0	0.000000
megahit-individual-primary	MEGAHIT	Individual	MMseqs2 9.d36de	GCA_000008085.1	Nanoarchaeum_equitans_Kin4-M	yes	0.955656442804	0.942145092126	0.948900767465	573	308	53.752182
