Resource	Release	Source	SHA256	Bytes	UnitAtSource	FrozenUnit	InterpretationBoundary
cMD species profile: ZellerG_2014	2021-03-31.ZellerG_2014.relative_abundance	https://mghp.osn.xsede.org/bir190004-bucket01/ExperimentHub/curatedMetagenomicData/2021-03-31/ZellerG_2014/2021-03-31.ZellerG_2014.relative_abundance.rda	d8e0f3fd00b2339b1aa929197ca0869c43990ff885a04fc675e70d4aff5604b2	147044	percent at each taxonomic rank	species relative-abundance fraction	Uniform cMD reprocessing; not the historical author profile
cMD species profile: FengQ_2015	2021-03-31.FengQ_2015.relative_abundance	https://mghp.osn.xsede.org/bir190004-bucket01/ExperimentHub/curatedMetagenomicData/2021-03-31/FengQ_2015/2021-03-31.FengQ_2015.relative_abundance.rda	7d33b4813f36ee3aa49e5ade0598bb6283c724a44591f316d49d9c349c871304	137246	percent at each taxonomic rank	species relative-abundance fraction	Uniform cMD reprocessing; not the historical author profile
cMD species profile: YuJ_2015	2021-03-31.YuJ_2015.relative_abundance	https://mghp.osn.xsede.org/bir190004-bucket01/ExperimentHub/curatedMetagenomicData/2021-03-31/YuJ_2015/2021-03-31.YuJ_2015.relative_abundance.rda	7c5b4fc3bac6e83371105e147b40c41aa4399f005619da4ed2a92fa6ef777272	118851	percent at each taxonomic rank	species relative-abundance fraction	Uniform cMD reprocessing; not the historical author profile
cMD species profile: VogtmannE_2016	2021-03-31.VogtmannE_2016.relative_abundance	https://mghp.osn.xsede.org/bir190004-bucket01/ExperimentHub/curatedMetagenomicData/2021-03-31/VogtmannE_2016/2021-03-31.VogtmannE_2016.relative_abundance.rda	ba624fa7a51c002909b54c8783073e861f3c512c4295cc82571bc6cce9dfe8da	105612	percent at each taxonomic rank	species relative-abundance fraction	Uniform cMD reprocessing; not the historical author profile
cMD species profile: WirbelJ_2018	2021-03-31.WirbelJ_2018.relative_abundance	https://mghp.osn.xsede.org/bir190004-bucket01/ExperimentHub/curatedMetagenomicData/2021-03-31/WirbelJ_2018/2021-03-31.WirbelJ_2018.relative_abundance.rda	8b7cdc0f4e6ba7546970bef6ae8b62d798488aecb9d0b6af627fb0bd95117fdd	110617	percent at each taxonomic rank	species relative-abundance fraction	Uniform cMD reprocessing; not the historical author profile
cMD species profile: ThomasAM_2018a	2021-03-31.ThomasAM_2018a.relative_abundance	https://mghp.osn.xsede.org/bir190004-bucket01/ExperimentHub/curatedMetagenomicData/2021-03-31/ThomasAM_2018a/2021-03-31.ThomasAM_2018a.relative_abundance.rda	f353bf89c9fa749b9308f27bb3aaedad17a1d48615670b7564c689ac888daf48	64363	percent at each taxonomic rank	species relative-abundance fraction	Uniform cMD reprocessing; not the historical author profile
cMD species profile: ThomasAM_2018b	2021-03-31.ThomasAM_2018b.relative_abundance	https://mghp.osn.xsede.org/bir190004-bucket01/ExperimentHub/curatedMetagenomicData/2021-03-31/ThomasAM_2018b/2021-03-31.ThomasAM_2018b.relative_abundance.rda	6bb1dd1669c824a25e33de719612e54e597cf83a811b8f2173cb099e778f07f8	65828	percent at each taxonomic rank	species relative-abundance fraction	Uniform cMD reprocessing; not the historical author profile
cMD species profile: ThomasAM_2019_c	2021-03-31.ThomasAM_2019_c.relative_abundance	https://mghp.osn.xsede.org/bir190004-bucket01/ExperimentHub/curatedMetagenomicData/2021-03-31/ThomasAM_2019_c/2021-03-31.ThomasAM_2019_c.relative_abundance.rda	1c32d598e1d050cfa4fba8f13d2a644d8e8146b2aba1dde45ebb30d9e015883e	73468	percent at each taxonomic rank	species relative-abundance fraction	Uniform cMD reprocessing; not the historical author profile
cMD sample metadata	curatedMetagenomicData 3.12.0	curatedMetagenomicData::sampleMetadata			one row per metagenomic profile	one CRC/control row per independent subject	Metadata completeness and condition labels differ by cohort
Anchor publication	Nature Medicine 25:679-689 (2019)	https://doi.org/10.1038/s41591-019-0406-6					Original analysis used historical profiles and SIAMCAT; numeric equality is not claimed
