Sample	Genome	Mean	Trimmed Mean	Covered Fraction	Relative Abundance (%)	Read Count	ANIr	Length
ERR9765746_clean_R1.fastq.gz	unmapped	NA	NA	NA	31.733232	NA	NA	NA
ERR9765746_clean_R1.fastq.gz	SGB_012	3.2993655	3.2134216	0.9456585	1.2769558	46652	0.998223	2147088
ERR9765746_clean_R1.fastq.gz	SGB_001	5.784121	5.6972995	0.99402964	2.2386327	101303	0.9972741	2614762
ERR9765746_clean_R1.fastq.gz	SGB_016	15.3695965	15.158039	0.99944335	5.9485064	283803	0.99815106	2770249
ERR9765746_clean_R1.fastq.gz	SGB_015	2.5004647	2.4274204	0.8999922	0.9677566	18114	0.99809283	1122363
ERR9765746_clean_R1.fastq.gz	SGB_022	7.1834707	7.0925474	0.9983696	2.7802238	223504	0.9970602	4629413
ERR9765746_clean_R1.fastq.gz	SGB_013	2.3165905	2.238613	0.8779536	0.8965917	20511	0.99761665	1366218
ERR9765746_clean_R1.fastq.gz	SGB_006	3.8025386	3.6944451	0.9473882	1.4716994	129639	0.99504894	5210977
ERR9765746_clean_R1.fastq.gz	SGB_020	3.2615979	3.1883752	0.94993055	1.2623385	43509	0.99633133	2000542
ERR9765746_clean_R1.fastq.gz	SGB_011	7.949478	7.8125505	0.99766403	3.0766923	102688	0.9982033	1937978
ERR9765746_clean_R1.fastq.gz	SGB_024	24.401157	24.30506	0.999846	9.443997	289091	0.99786437	1772843
ERR9765746_clean_R1.fastq.gz	SGB_009	3.2748706	3.1984699	0.94469804	1.2674756	23121	0.9972686	1083632
ERR9765746_clean_R1.fastq.gz	SGB_007	4.4693046	4.371548	0.98100394	1.7297583	192877	0.99787414	6481038
ERR9765746_clean_R1.fastq.gz	SGB_018	4.79362	4.6189723	0.9567338	1.8552783	13130	0.9984159	418156
ERR9765746_clean_R1.fastq.gz	SGB_008	2.20594	2.129194	0.8701084	0.85376656	13445	0.9980825	946551
ERR9765746_clean_R1.fastq.gz	SGB_017	8.6206875	8.509372	0.9985435	3.336471	123706	0.9981782	2151032
ERR9765746_clean_R1.fastq.gz	SGB_003	4.4484816	4.3614526	0.98018044	1.721699	60395	0.99771386	2039351
ERR9765746_clean_R1.fastq.gz	SGB_004	4.7377105	4.668133	0.9875447	1.8336396	60353	0.9975429	1906417
ERR9765746_clean_R1.fastq.gz	SGB_014	6.8296685	6.757578	0.9985096	2.6432917	87685	0.99821156	1920309
ERR9765746_clean_R1.fastq.gz	SGB_023	19.900114	19.323183	0.9996326	7.701956	225519	0.997822	1698339
ERR9765746_clean_R1.fastq.gz	SGB_021	3.4554594	3.3747075	0.9556769	1.337369	158343	0.99753135	6915991
ERR9765746_clean_R1.fastq.gz	SGB_019	7.164341	7.0900097	0.99814415	2.77282	83139	0.9981581	1736697
ERR9765746_clean_R1.fastq.gz	SGB_010	18.107115	18.024939	0.9995752	7.0080094	208690	0.99827164	1727858
ERR9765746_clean_R1.fastq.gz	SGB_005	4.7926407	4.693404	0.9876292	1.8548993	85011	0.99756014	2653984
ERR9765746_clean_R1.fastq.gz	SGB_002	7.7175703	7.558042	0.9980566	2.9869368	136242	0.997841	2643322
ERR9765747_clean_R1.fastq.gz	unmapped	NA	NA	NA	32.217182	NA	NA	NA
ERR9765747_clean_R1.fastq.gz	SGB_012	3.4389193	3.3424566	0.94946784	1.344789	48655	0.99787015	2147088
ERR9765747_clean_R1.fastq.gz	SGB_001	5.882876	5.7915206	0.9947062	2.3004978	103124	0.99695015	2614762
ERR9765747_clean_R1.fastq.gz	SGB_016	15.152426	14.929818	0.99945563	5.925354	280009	0.99776214	2770249
ERR9765747_clean_R1.fastq.gz	SGB_015	2.1236017	2.0404372	0.856918	0.8304342	15374	0.99777734	1122363
ERR9765747_clean_R1.fastq.gz	SGB_022	7.363802	7.2734046	0.99852294	2.8796139	229339	0.99676526	4629413
ERR9765747_clean_R1.fastq.gz	SGB_013	2.5004988	2.4225585	0.89470863	0.9778198	22160	0.9973043	1366218
ERR9765747_clean_R1.fastq.gz	SGB_006	3.7858293	3.68193	0.94730836	1.480448	129226	0.99472207	5210977
ERR9765747_clean_R1.fastq.gz	SGB_020	3.465307	3.3928297	0.95584995	1.3551079	46254	0.9961072	2000542
ERR9765747_clean_R1.fastq.gz	SGB_011	8.025309	7.8818293	0.99761814	3.1382964	103768	0.9978345	1937978
ERR9765747_clean_R1.fastq.gz	SGB_024	24.650452	24.541874	0.99984545	9.639556	292330	0.99749124	1772843
