ModuleID	DRAMModuleName	PrimaryGenomes	Agreements	AgreementRate	DRAMPresent	METABOLICPresent
M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	24	24	1.0	17	17
M00004	Pentose phosphate pathway (Pentose phosphate cycle)	24	23	0.9583333333333334	10	9
M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	24	24	1.0	3	3
M00009	Citrate cycle (TCA cycle, Krebs cycle)	24	22	0.9166666666666666	9	7
M00012	Glyoxylate cycle	24	24	1.0	2	2
M00165	Reductive pentose phosphate cycle (Calvin cycle)	24	24	1.0	1	1
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	24	23	0.9583333333333334	4	3
M00374	Dicarboxylate-hydroxybutyrate cycle	24	24	1.0	0	0
M00375	Hydroxypropionate-hydroxybutylate cycle	24	24	1.0	0	0
M00376	3-Hydroxypropionate bi-cycle	24	24	1.0	0	0
M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	24	24	1.0	0	0
M00422	Acetyl-CoA pathway, CO2 => acetyl-CoA	24	23	0.9583333333333334	1	0
M00567	Methanogenesis, CO2 => methane	24	24	1.0	2	2
