Asset	Tool	Release	ExpectedBytes	ObservedBytes	ExpectedSHA256	ObservedSHA256	ChecksumPass	Redistribution
profiles.tar.gz	KOfamKOALA	2026-06-01	1557643213	1557643213	038cb13c41bda8f97ba0d57299aebe74042fcc90fbf450cba191448e8c19606f	038cb13c41bda8f97ba0d57299aebe74042fcc90fbf450cba191448e8c19606f	true	external-only
ko_list.gz	KOfamKOALA	2026-06-01	909392	909392	d418b074049c6687e6f6d119af2981dc4e36c378d43027ecf5cc6778fd27041a	d418b074049c6687e6f6d119af2981dc4e36c378d43027ecf5cc6778fd27041a	true	external-only
METABOLIC_hmm_db.tgz	METABOLIC	v4.0-commit-97236332519180f1d76a242dedb0aaa8191fdbb3	22110746	22110746	f570ffecff65adca69a991e41a5e7b4e20c8147007d597e12c855175eb2542ca	f570ffecff65adca69a991e41a5e7b4e20c8147007d597e12c855175eb2542ca	true	GPL-3.0-source
METABOLIC_template_and_database.tgz	METABOLIC	v4.0-commit-97236332519180f1d76a242dedb0aaa8191fdbb3	78711	78711	32d51bef5e81e9abfefec17bdcb91181e1e3febf66f305b9514b9cdea5d14453	32d51bef5e81e9abfefec17bdcb91181e1e3febf66f305b9514b9cdea5d14453	true	GPL-3.0-source
Accessory_scripts.tgz	METABOLIC	v4.0-commit-97236332519180f1d76a242dedb0aaa8191fdbb3	6116	6116	cc8c52c8380a953b96bea4f394ef35e3c406b23c5c983b0f128c1785a258a8b2	cc8c52c8380a953b96bea4f394ef35e3c406b23c5c983b0f128c1785a258a8b2	true	GPL-3.0-source
dbCAN.hmm	run_dbcan	5.2.9-db_v5-2-9_5-5-2026	129842960	129842960	396c791fb13defab152864d8046687ef03b492937ec6f9bbab008bc77cbaa7a5	396c791fb13defab152864d8046687ef03b492937ec6f9bbab008bc77cbaa7a5	true	external-only
pepunit.lib	MEROPS	current-release-file-2023-02-22	457531072	457531072	5deb3c49b2c8ec17b040d0afc26dcdcbc78481c400cdbdf77d2bd0c7ff9dcd74	5deb3c49b2c8ec17b040d0afc26dcdcbc78481c400cdbdf77d2bd0c7ff9dcd74	true	external-only
genome_summary_form.tsv	DRAM	1.5.0-commit-fe61d759303f30db058d5d505c448b28e41b03f1	580242	580242	9dea0f26cba1e300ebadb39099b99b01e66714bfc4b2be9ecedc0488afbca9ca	9dea0f26cba1e300ebadb39099b99b01e66714bfc4b2be9ecedc0488afbca9ca	true	GPL-3.0-source
module_step_form.tsv	DRAM	1.5.0-commit-fe61d759303f30db058d5d505c448b28e41b03f1	579664	579664	55a803dcd7fa10ed05403b36c3aa89b19f007c3601dc60cb703c38828e89a4d9	55a803dcd7fa10ed05403b36c3aa89b19f007c3601dc60cb703c38828e89a4d9	true	GPL-3.0-source
etc_module_database.tsv	DRAM	1.5.0-commit-fe61d759303f30db058d5d505c448b28e41b03f1	2378	2378	1dfc5811b95b3ee40f74a6d4ba7cca415606ad67612bbc5d83b95818c3b9bc40	1dfc5811b95b3ee40f74a6d4ba7cca415606ad67612bbc5d83b95818c3b9bc40	true	GPL-3.0-source
function_heatmap_form.tsv	DRAM	1.5.0-commit-fe61d759303f30db058d5d505c448b28e41b03f1	11199	11199	279e8016eab84ec337c1fa61ae794fa8a0636179f84e0223fcb3356ed8d74d00	279e8016eab84ec337c1fa61ae794fa8a0636179f84e0223fcb3356ed8d74d00	true	GPL-3.0-source
amg_database.tsv	DRAM	1.5.0-commit-fe61d759303f30db058d5d505c448b28e41b03f1	21569	21569	8e0d81dd8e33315dd50cf022e23257d41bcd21f474af4a953f19ecf483b6c1cd	8e0d81dd8e33315dd50cf022e23257d41bcd21f474af4a953f19ecf483b6c1cd	true	GPL-3.0-source
