Genome	KO	DRAMPresent	METABOLICPresent	METABOLICHitCount	PresencePattern
SGB_001	K00003	true	true	1	Both
SGB_001	K00012	true	true	1	Both
SGB_001	K00013	true	true	1	Both
SGB_001	K00014	true	true	1	Both
SGB_001	K00024	true	true	1	Both
SGB_001	K00031	true	true	1	Both
SGB_001	K00052	true	true	1	Both
SGB_001	K00053	true	true	1	Both
SGB_001	K00059	true	true	3	Both
SGB_001	K00067	true	true	1	Both
SGB_001	K00077	true	true	1	Both
SGB_001	K00088	true	true	1	Both
SGB_001	K00097	true	true	1	Both
SGB_001	K00099	true	true	1	Both
SGB_001	K00128	true	true	1	Both
SGB_001	K00131	true	true	1	Both
SGB_001	K00133	true	true	1	Both
SGB_001	K00134	true	true	1	Both
SGB_001	K00135	true	true	2	Both
SGB_001	K00140	true	true	1	Both
SGB_001	K00145	true	true	1	Both
SGB_001	K00147	true	true	1	Both
SGB_001	K00215	true	true	1	Both
SGB_001	K00231	true	true	1	Both
SGB_001	K00239	true	true	1	Both
SGB_001	K00240	true	true	1	Both
SGB_001	K00241	true	true	1	Both
SGB_001	K00249	true	true	1	Both
SGB_001	K00275	true	true	1	Both
SGB_001	K00278	true	true	1	Both
SGB_001	K00286	true	true	1	Both
SGB_001	K00297	true	true	1	Both
SGB_001	K00330	true	true	1	Both
SGB_001	K00331	true	true	1	Both
SGB_001	K00333	true	true	1	Both
SGB_001	K00337	true	true	1	Both
SGB_001	K00338	true	true	1	Both
SGB_001	K00339	true	true	1	Both
SGB_001	K00340	true	true	1	Both
SGB_001	K00341	true	true	1	Both
SGB_001	K00342	true	true	1	Both
SGB_001	K00343	true	true	1	Both
SGB_001	K00382	true	true	1	Both
SGB_001	K00394	true	true	1	Both
SGB_001	K00395	true	true	1	Both
SGB_001	K00425	true	true	1	Both
SGB_001	K00426	true	true	1	Both
SGB_001	K00525	true	true	1	Both
SGB_001	K00548	true	true	2	Both
SGB_001	K00595	true	true	1	Both
SGB_001	K00600	true	true	1	Both
SGB_001	K00602	true	true	2	Both
SGB_001	K00606	true	true	1	Both
SGB_001	K00609	true	true	1	Both
SGB_001	K00611	true	true	1	Both
SGB_001	K00616	true	true	1	Both
SGB_001	K00619	true	true	1	Both
SGB_001	K00620	true	true	1	Both
SGB_001	K00641	true	true	1	Both
SGB_001	K00645	true	true	1	Both
SGB_001	K00647	true	true	2	Both
SGB_001	K00648	true	true	1	Both
SGB_001	K00652	true	true	1	Both
SGB_001	K00655	true	true	1	Both
SGB_001	K00677	true	true	1	Both
SGB_001	K00688	true	true	1	Both
SGB_001	K00700	true	true	1	Both
SGB_001	K00703	true	true	1	Both
SGB_001	K00705	true	true	1	Both
SGB_001	K00748	true	true	1	Both
SGB_001	K00762	true	true	1	Both
SGB_001	K00764	true	true	1	Both
SGB_001	K00765	true	true	1	Both
SGB_001	K00766	true	true	1	Both
SGB_001	K00767	true	true	1	Both
SGB_001	K00789	true	true	1	Both
SGB_001	K00796	true	true	1	Both
SGB_001	K00798	true	true	1	Both
SGB_001	K00800	true	true	1	Both
SGB_001	K00817	true	true	1	Both
SGB_001	K00820	true	true	1	Both
SGB_001	K00821	true	true	1	Both
SGB_001	K00826	true	true	1	Both
SGB_001	K00831	true	true	1	Both
SGB_001	K00833	true	true	1	Both
SGB_001	K00845	true	true	1	Both
SGB_001	K00859	true	true	1	Both
SGB_001	K00878	true	true	1	Both
SGB_001	K00891	true	true	1	Both
SGB_001	K00912	true	true	1	Both
SGB_001	K00919	true	true	1	Both
SGB_001	K00927	true	true	1	Both
SGB_001	K00928	true	true	1	Both
SGB_001	K00930	true	true	1	Both
SGB_001	K00931	true	true	1	Both
SGB_001	K00940	true	true	1	Both
SGB_001	K00942	true	true	1	Both
SGB_001	K00943	true	true	1	Both
SGB_001	K00948	true	true	2	Both
SGB_001	K00950	true	true	1	Both
SGB_001	K00954	true	true	1	Both
SGB_001	K00958	true	true	1	Both
SGB_001	K00963	true	true	1	Both
SGB_001	K00965	true	true	1	Both
SGB_001	K00969	true	true	1	Both
SGB_001	K00973	true	true	1	Both
SGB_001	K00975	true	true	2	Both
SGB_001	K00979	true	true	1	Both
SGB_001	K00981	true	true	2	Both
SGB_001	K00991	false	true	1	METABOLIC only
SGB_001	K01006	true	true	1	Both
SGB_001	K01007	true	true	2	Both
SGB_001	K01012	true	true	1	Both
SGB_001	K01046	true	true	1	Both
SGB_001	K01092	true	true	1	Both
