Source	ORF_ID	Contig	Start	Stop	Orientation	EvidenceTier	BestHitARO	ARO	ModelType	IdentityPercent	ReferenceLengthPercent	DrugClasses	ResistanceMechanisms	AMRGeneFamilies	Nudged
USA300 reference	GCA_000013465.1|CP000255.1_31 # 39127 # 41133 # -1 # ID=4_31;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.306	GCA_000013465.1|CP000255.1	39127	41133	-	Strict	mecA	3000617	protein homolog model	99.7	100.00	penicillin beta-lactam	antibiotic target replacement	methicillin resistant PBP2	
USA300 reference	GCA_000013465.1|CP000255.1_106 # 117122 # 118510 # 1 # ID=4_106;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.368	GCA_000013465.1|CP000255.1	117122	118510	+	Strict	norC	3007010	protein homolog model	98.92	100.00	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	
USA300 reference	GCA_000013465.1|CP000255.1_339 # 386927 # 387346 # 1 # ID=4_339;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.336	GCA_000013465.1|CP000255.1	386927	387346	+	Perfect	mepR	3000746	protein homolog model	100.0	100.00	glycylcycline; tetracycline antibiotic	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	
USA300 reference	GCA_000013465.1|CP000255.1_340 # 387453 # 388808 # 1 # ID=4_340;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.330	GCA_000013465.1|CP000255.1	387453	388808	+	Perfect	mepA	3000026	protein homolog model	100.0	100.00	glycylcycline; tetracycline antibiotic	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	
USA300 reference	GCA_000013465.1|CP000255.1_680 # 746323 # 746766 # -1 # ID=4_680;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.331	GCA_000013465.1|CP000255.1	746323	746766	-	Perfect	mgrA	3000815	protein homolog model	100.0	100.00	fluoroquinolone antibiotic; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; peptide antibiotic; moenomycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump	
USA300 reference	GCA_000013465.1|CP000255.1_688 # 754417 # 755583 # 1 # ID=4_688;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.334	GCA_000013465.1|CP000255.1	754417	755583	+	Strict	Staphylococcus aureus norA	3004667	protein homolog model	99.74	100.00	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	
USA300 reference	GCA_000013465.1|CP000255.1_1339 # 1440258 # 1441613 # -1 # ID=4_1339;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.294	GCA_000013465.1|CP000255.1	1440258	1441613	-	Perfect	arlS	3000839	protein homolog model	100.0	100.00	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	
USA300 reference	GCA_000013465.1|CP000255.1_1340 # 1441610 # 1442269 # -1 # ID=4_1340;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.330	GCA_000013465.1|CP000255.1	1441610	1442269	-	Perfect	arlR	3000838	protein homolog model	100.0	100.00	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	
USA300 reference	GCA_000013465.1|CP000255.1_1360 # 1488474 # 1489931 # -1 # ID=4_1360;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.329	GCA_000013465.1|CP000255.1	1488474	1489931	-	Strict	norC	3007010	protein homolog model	71.08	104.98	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	
USA300 reference	GCA_000013465.1|CP000255.1_2058 # 2188632 # 2189780 # -1 # ID=4_2058;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.361	GCA_000013465.1|CP000255.1	2188632	2189780	-	Strict	vanT gene in vanG cluster	3002972	protein homolog model	33.88	53.65	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	
