Source	ORF_ID	Contig	Start	Stop	Orientation	EvidenceTier	BestHitARO	ARO	ModelType	IdentityPercent	ReferenceLengthPercent	DrugClasses	ResistanceMechanisms	AMRGeneFamilies	Nudged
MEGAHIT co-assembly	k141_47226_2 # 317 # 1501 # 1 # ID=1990_2;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.477	k141_47226	317	1501	+	Strict	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	3003369	protein variant model	87.79	96.33	elfamycin antibiotic	antibiotic target alteration	elfamycin resistant EF-Tu	
MEGAHIT co-assembly	k141_25469_33 # 27297 # 28460 # -1 # ID=5959_33;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.365	k141_25469	27297	28460	-	Strict	vanT gene in vanG cluster	3002972	protein homolog model	39.3	54.35	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	
MEGAHIT co-assembly	k141_40178_24 # 27544 # 30015 # -1 # ID=5275_24;partial=00;start_type=ATG;rbs_motif=TAGAA;rbs_spacer=11bp;gc_cont=0.473	k141_40178	27544	30015	-	Strict	vanT gene in vanG cluster	3002972	protein homolog model	35.54	115.59	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	
MEGAHIT co-assembly	k141_36632_2 # 1780 # 3102 # 1 # ID=2969_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.634	k141_36632	1780	3102	+	Strict	Acinetobacter baumannii AbaQ	3004574	protein homolog model	72.58	101.38	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	
MEGAHIT co-assembly	k141_43900_3 # 1024 # 1362 # 1 # ID=2730_3;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.687	k141_43900	1024	1362	+	Strict	qacG	3007015	protein homolog model	42.59	104.67	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	
MEGAHIT co-assembly	k141_7630_23 # 17444 # 17773 # -1 # ID=2210_23;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.503	k141_7630	17444	17773	-	Strict	qacJ	3007014	protein homolog model	38.68	101.87	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	
MEGAHIT co-assembly	k141_51277_240 # 295971 # 296300 # 1 # ID=2607_240;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.573	k141_51277	295971	296300	+	Strict	qacG	3007015	protein homolog model	42.45	101.87	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	
MEGAHIT co-assembly	k141_772_16 # 17021 # 17737 # 1 # ID=92_16;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.463	k141_772	17021	17737	+	Strict	pgpB	3003920	protein homolog model	99.58	100.85	peptide antibiotic	antibiotic target alteration	lipid A phosphatase	
MEGAHIT co-assembly	k141_51415_3 # 2532 # 3653 # -1 # ID=964_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.355	k141_51415	2532	3653	-	Strict	vanT gene in vanG cluster	3002972	protein homolog model	34.6	52.39	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	
MEGAHIT co-assembly	k141_29932_22 # 27132 # 30245 # -1 # ID=349_22;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.561	k141_29932	27132	30245	-	Strict	adeF	3000777	protein homolog model	46.17	97.92	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	
MEGAHIT co-assembly	k141_44379_18 # 17543 # 18301 # -1 # ID=2023_18;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.650	k141_44379	17543	18301	-	Strict	vanY gene in vanM cluster	3002961	protein homolog model	34.07	108.15	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	
MEGAHIT co-assembly	k141_15426_6 # 9348 # 12494 # -1 # ID=3303_6;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.532	k141_15426	9348	12494	-	Strict	adeF	3000777	protein homolog model	57.82	98.96	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	
MEGAHIT co-assembly	k141_22353_14 # 11920 # 12999 # 1 # ID=6525_14;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.352	k141_22353	11920	12999	+	Strict	vanG	3002909	protein homolog model	40.79	102.87	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	
MEGAHIT co-assembly	k141_30392_21 # 19999 # 20910 # -1 # ID=6248_21;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.537	k141_30392	19999	20910	-	Strict	vanY gene in vanB cluster	3002956	protein homolog model	35.0	113.06	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	
MEGAHIT co-assembly	k141_1574_31 # 36456 # 38396 # -1 # ID=6897_31;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.515	k141_1574	36456	38396	-	Strict	vanW gene in vanI cluster	3003724	protein homolog model	33.19	173.19	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	
MEGAHIT co-assembly	k141_5034_3 # 1285 # 1611 # 1 # ID=6636_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.554	k141_5034	1285	1611	+	Strict	qacJ	3007014	protein homolog model	40.19	100.93	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	
MEGAHIT co-assembly	k141_34493_1 # 1 # 2736 # -1 # ID=9870_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.601	k141_34493	1	2736	-	Strict	adeF	3000777	protein homolog model	64.29	86.12	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	
MEGAHIT co-assembly	k141_26984_28 # 31194 # 33749 # 1 # ID=9077_28;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.541	k141_26984	31194	33749	+	Strict	vanT gene in vanG cluster	3002972	protein homolog model	37.26	119.52	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	
MEGAHIT co-assembly	k141_56149_4 # 1613 # 4807 # -1 # ID=7970_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.490	k141_56149	1613	4807	-	Strict	adeF	3000777	protein homolog model	43.99	100.47	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	
