SeqName	Assembly	ReferenceLabel	geNomadPlasmid	ConfusionCell	LengthBp	PlasmidScore	FDR	Topology	Hallmarks	MarkerEnrichment	ConjugationGenes	geNomadAMRGenes	OriginalHeader
GCA_000013465.1|CP000256.1	GCA_000013465.1	Plasmid	yes	TP	3125	0.9901	NA	No terminal repeats	1	0.9293	NA	NA	GCA_000013465.1|CP000256.1 Staphylococcus aureus subsp. aureus USA300_FPR3757 plasmid pUSA01, complete sequence
GCA_000308215.1|CAJE01000025.1	GCA_000308215.1	Other replicon	no	TN	3111								GCA_000308215.1|CAJE01000025.1 Methanomassiliicoccus luminyensis B10 WGS project CAJE00000000 data, contig 00025, whole genome shotgun sequence
GCA_000022325.1|CP001395.1	GCA_000022325.1	Plasmid	yes	TP	3653	0.9709	NA	No terminal repeats	0	0.4697	NA	NA	GCA_000022325.1|CP001395.1 Caldicellulosiruptor bescii DSM 6725 plasmid pATHE02, complete sequence
GCA_000308215.1|CAJE01000008.1	GCA_000308215.1	Other replicon	no	TN	3723								GCA_000308215.1|CAJE01000008.1 Methanomassiliicoccus luminyensis B10 WGS project CAJE00000000 data, contig 00008, whole genome shotgun sequence
GCA_000007645.1|AE015930.1	GCA_000007645.1	Plasmid	yes	TP	4439	0.9942	NA	No terminal repeats	1	3.7538	NA	NF012176	GCA_000007645.1|AE015930.1 Staphylococcus epidermidis ATCC 12228 plasmid pSE-12228-01, complete sequence
GCA_001639275.1|LWMU01000104.1	GCA_001639275.1	Other replicon	no	TN	4464								GCA_001639275.1|LWMU01000104.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000104, whole genome shotgun sequence
GCA_000013465.1|CP000257.1	GCA_000013465.1	Plasmid	yes	TP	4439	0.9942	NA	No terminal repeats	1	3.7538	NA	NF012176	GCA_000013465.1|CP000257.1 Staphylococcus aureus subsp. aureus USA300_FPR3757 plasmid pUSA02, complete sequence
GCA_001639275.1|LWMU01000105.1	GCA_001639275.1	Other replicon	no	TN	4260								GCA_001639275.1|LWMU01000105.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000105, whole genome shotgun sequence
GCA_000007645.1|AE015931.1	GCA_000007645.1	Plasmid	yes	TP	4679	0.9942	NA	No terminal repeats	1	6.6288	NA	NA	GCA_000007645.1|AE015931.1 Staphylococcus epidermidis ATCC 12228 plasmid pSE-12228-02, complete sequence
GCA_001639275.1|LWMU01000102.1	GCA_001639275.1	Other replicon	no	TN	4656								GCA_001639275.1|LWMU01000102.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000102, whole genome shotgun sequence
GCA_000009705.1|AP003606.1	GCA_000009705.1	Plasmid	no	FN	5584								GCA_000009705.1|AP003606.1 Nostoc sp. PCC 7120 plasmid pCC7120zeta DNA, complete sequence
GCA_001639275.1|LWMU01000098.1	GCA_001639275.1	Other replicon	no	TN	5689								GCA_001639275.1|LWMU01000098.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000098, whole genome shotgun sequence
GCA_000025685.1|CP001954.1	GCA_000025685.1	Plasmid	yes	TP	6359	0.9672	NA	No terminal repeats	0	1.2809	NA	NA	GCA_000025685.1|CP001954.1 Haloferax volcanii DS2 plasmid pHV2, complete sequence
GCA_001639275.1|LWMU01000096.1	GCA_001639275.1	Other replicon	no	TN	6538								GCA_001639275.1|LWMU01000096.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000096, whole genome shotgun sequence
GCA_000007645.1|AE015935.1	GCA_000007645.1	Plasmid	yes	TP	6585	0.9875	NA	No terminal repeats	1	1.6557	NA	NA	GCA_000007645.1|AE015935.1 Staphylococcus epidermidis ATCC 12228 plasmid pSE-12228-06, complete sequence
GCA_001639275.1|LWMU01000095.1	GCA_001639275.1	Other replicon	no	TN	6744								GCA_001639275.1|LWMU01000095.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000095, whole genome shotgun sequence
GCA_000007645.1|AE015932.1	GCA_000007645.1	Plasmid	no	FN	8007								GCA_000007645.1|AE015932.1 Staphylococcus epidermidis ATCC 12228 plasmid pSE-12228-03, complete sequence
GCA_001639275.1|LWMU01000087.1	GCA_001639275.1	Other replicon	no	TN	7949								GCA_001639275.1|LWMU01000087.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000087, whole genome shotgun sequence
GCA_000016125.1|CP000610.1	GCA_000016125.1	Plasmid	no	FN	8285								GCA_000016125.1|CP000610.1 Methanococcus maripaludis C5 plasmid pMMC501, complete sequence
GCA_000308215.1|CAJE01000016.1	GCA_000308215.1	Other replicon	yes	FP	8413	0.7575	NA	No terminal repeats	0	1.3315	NA	NA	GCA_000308215.1|CAJE01000016.1 Methanomassiliicoccus luminyensis B10 WGS project CAJE00000000 data, contig 00016, whole genome shotgun sequence
GCA_000022325.1|CP001394.1	GCA_000022325.1	Plasmid	yes	TP	8291	0.9682	NA	No terminal repeats	0	1.7183	NA	NA	GCA_000022325.1|CP001394.1 Caldicellulosiruptor bescii DSM 6725 plasmid pATHE01, complete sequence
GCA_001639275.1|LWMU01000088.1	GCA_001639275.1	Other replicon	no	TN	7837								GCA_001639275.1|LWMU01000088.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000088, whole genome shotgun sequence
GCA_000015425.1|CP000523.1	GCA_000015425.1	Plasmid	yes	TP	11302	0.9944	NA	No terminal repeats	0	8.0670	NA	NA	GCA_000015425.1|CP000523.1 Acinetobacter baumannii ATCC 17978 plasmid pAB2, complete sequence
GCA_001639275.1|LWMU01000079.1	GCA_001639275.1	Other replicon	no	TN	11516								GCA_001639275.1|LWMU01000079.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000079, whole genome shotgun sequence
GCA_000015425.1|CP000522.1	GCA_000015425.1	Plasmid	yes	TP	13408	0.9940	NA	No terminal repeats	1	6.9287	NA	NA	GCA_000015425.1|CP000522.1 Acinetobacter baumannii ATCC 17978 plasmid pAB1, complete sequence
GCA_001639275.1|LWMU01000073.1	GCA_001639275.1	Other replicon	no	TN	13288								GCA_001639275.1|LWMU01000073.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000073, whole genome shotgun sequence
GCA_000091665.1|L77119.1	GCA_000091665.1	Plasmid	no	FN	16550								GCA_000091665.1|L77119.1 Methanocaldococcus jannaschii DSM 2661 plasmid pDSM2661_2, complete sequence
