Lineage	Rank	Name	TaxID	Zymo_D6300_RPKS	Zymo_D6300_RPKSB	Zymo_D6300_EukFrac
phylum-Ascomycota	phylum	Ascomycota	4890	NA	NA	71.932800
phylum-Ascomycota|class-Saccharomycetes	class	Saccharomycetes	4891	NA	NA	71.932800
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales	order	Saccharomycetales	4892	NA	NA	71.932800
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae	family	Saccharomycetaceae	4893	NA	NA	71.932800
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Saccharomyces	genus	Saccharomyces	4930	NA	NA	71.932800
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Saccharomyces|species-Saccharomyces_cerevisiae	species	Saccharomyces cerevisiae	4932	1.159600	3.888756	71.932800
phylum-Basidiomycota	phylum	Basidiomycota	5204	NA	NA	28.067200
phylum-Basidiomycota|class-Tremellomycetes	class	Tremellomycetes	155616	NA	NA	28.067200
phylum-Basidiomycota|class-Tremellomycetes|order-Tremellales	order	Tremellales	5234	NA	NA	28.067200
phylum-Basidiomycota|class-Tremellomycetes|order-Tremellales|family-Cryptococcaceae	family	Cryptococcaceae	1884633	NA	NA	28.067200
phylum-Basidiomycota|class-Tremellomycetes|order-Tremellales|family-Cryptococcaceae|genus-Cryptococcus	genus	Cryptococcus	5206	NA	NA	28.067200
phylum-Basidiomycota|class-Tremellomycetes|order-Tremellales|family-Cryptococcaceae|genus-Cryptococcus|species-Cryptococcus_deneoformans	species	Cryptococcus deneoformans	40410	0.284700	0.954751	17.662100
phylum-Basidiomycota|class-Tremellomycetes|order-Tremellales|family-Cryptococcaceae|genus-Cryptococcus|species-Cryptococcus_neoformans	species	Cryptococcus neoformans	5207	0.167700	0.562387	10.405000
