Lineage	Rank	Name	TaxID	RPKS	Relative_abundance	Reads_total	Total_marker_length	Genomes
phylum-Ascomycota	phylum	Ascomycota	4890	NA	71.9328	235.0	202659	NA
phylum-Ascomycota|class-Saccharomycetes	class	Saccharomycetes	4891	NA	71.9328	235.0	202659	NA
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales	order	Saccharomycetales	4892	NA	71.9328	235.0	202659	NA
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae	family	Saccharomycetaceae	4893	NA	71.9328	235.0	202659	NA
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Saccharomyces	genus	Saccharomyces	4930	NA	71.9328	235.0	202659	Saccharomyces_cerevisiae_ASM966324v1,Saccharomyces_cerevisiae_S288C
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Saccharomyces|species-Saccharomyces_cerevisiae	species	Saccharomyces cerevisiae	4932	1.1596	71.9328	235.0	202659	Saccharomyces_cerevisiae_ASM966324v1,Saccharomyces_cerevisiae_S288C
phylum-Basidiomycota	phylum	Basidiomycota	5204	NA	28.0672	130.0	586419	NA
phylum-Basidiomycota|class-Tremellomycetes	class	Tremellomycetes	155616	NA	28.0672	130.0	586419	NA
phylum-Basidiomycota|class-Tremellomycetes|order-Tremellales	order	Tremellales	5234	NA	28.0672	130.0	586419	NA
phylum-Basidiomycota|class-Tremellomycetes|order-Tremellales|family-Cryptococcaceae	family	Cryptococcaceae	1884633	NA	28.0672	130.0	586419	NA
phylum-Basidiomycota|class-Tremellomycetes|order-Tremellales|family-Cryptococcaceae|genus-Cryptococcus	genus	Cryptococcus	5206	NA	28.0672	130.0	586419	NA
phylum-Basidiomycota|class-Tremellomycetes|order-Tremellales|family-Cryptococcaceae|genus-Cryptococcus|species-Cryptococcus_neoformans	species	Cryptococcus neoformans	5207	0.1677	10.405	53.0	315978	Cryptococcus_neoformans_H99
phylum-Basidiomycota|class-Tremellomycetes|order-Tremellales|family-Cryptococcaceae|genus-Cryptococcus|species-Cryptococcus_deneoformans	species	Cryptococcus deneoformans	40410	0.2847	17.6621	77.0	270441	Cryptococcus_deneoformans_JEC21
