genome	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC
binette__001	2780	2704	92	kingdom	1.0	0.97	0.0	0.0	0.0	0.97	0.95	True
binette__002	2198	2181	57	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
binette__003	1990	1970	6	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
binette__004	2096	2045	106	kingdom	1.0	0.97	0.0	0.0	0.0	0.98	0.95	True
binette__005	1898	1869	14	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.95	True
binette__006	3971	3907	13	kingdom	1.0	0.98	0.0	0.0	0.0	0.99	0.97	True
binette__007	1802	1800	31	kingdom	1.0	1.0	0.0	0.0	0.0	0.99	0.99	True
binette__008	1714	1654	126	kingdom	1.0	0.96	0.0	0.0	0.0	0.97	0.93	True
binette__009	2234	2221	283	kingdom	0.99	0.98	0.0	0.0	0.0	0.98	0.97	True
binette__010	2457	2406	221	family	0.97	0.95	0.56	0.05	0.12	0.96	0.91	False
binette__011	5736	5527	682	kingdom	1.0	0.96	0.0	0.0	0.0	0.98	0.95	True
binette__012	2468	2411	77	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.95	True
binette__013	541	520	70	kingdom	0.99	0.95	0.0	0.0	0.0	0.99	0.94	True
binette__014	5075	4943	995	kingdom	1.0	0.97	0.0	0.0	0.0	0.95	0.92	True
binette__015	1454	1424	272	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.96	True
binette__016	1791	1766	488	class	0.97	0.95	0.98	0.04	0.08	0.99	0.94	False
binette__017	1457	1450	361	kingdom	1.0	1.0	0.0	0.0	0.0	0.99	0.98	True
binette__018	1776	1750	380	kingdom	1.0	0.98	0.0	0.0	0.0	0.99	0.97	True
binette__019	1276	1251	324	kingdom	0.99	0.97	0.0	0.0	0.0	0.99	0.96	True
binette__020	1618	1548	493	genus	0.97	0.93	0.92	0.03	0.07	0.99	0.92	False
binette__021	1755	1723	48	kingdom	1.0	0.98	0.0	0.0	0.0	0.99	0.97	True
binette__022	2544	2439	94	kingdom	1.0	0.96	0.0	0.0	0.0	0.99	0.94	True
binette__023	1877	1827	43	kingdom	1.0	0.97	0.0	0.0	0.0	0.97	0.94	True
binette__024	1735	1731	54	kingdom	1.0	1.0	0.0	0.0	0.0	0.99	0.99	True
binette__025	5684	5420	305	kingdom	1.0	0.95	0.0	0.0	0.0	0.96	0.92	True
binette__026	2362	2169	65	genus	0.71	0.65	0.17	0.21	0.54	0.65	0.42	True
binette__027	1362	1355	42	class	0.99	0.99	1.0	0.03	0.05	0.98	0.97	False
dastool__001	1740	1716	476	class	0.98	0.97	0.98	0.05	0.11	0.99	0.96	False
dastool__002	2410	2352	72	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.95	True
dastool__003	2413	2326	78	kingdom	1.0	0.96	0.0	0.0	0.0	0.99	0.95	True
dastool__004	2171	2160	258	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.98	True
dastool__005	1731	1723	42	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.99	True
dastool__006	1454	1424	272	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.96	True
dastool__007	1274	1249	323	kingdom	0.99	0.97	0.0	0.0	0.0	0.99	0.96	True
dastool__008	2398	2198	70	genus	0.7	0.64	0.17	0.21	0.55	0.65	0.42	True
dastool__009	2284	2235	64	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.96	True
dastool__010	538	517	71	kingdom	0.99	0.96	0.0	0.0	0.0	0.99	0.94	True
dastool__011	1371	1365	43	class	0.99	0.99	1.0	0.02	0.05	0.99	0.97	False
dastool__012	1892	1865	13	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.96	True
dastool__013	1726	1666	128	kingdom	1.0	0.97	0.0	0.0	0.0	0.97	0.93	True
dastool__014	1999	1978	8	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.97	True
dastool__015	3022	2944	149	class	0.97	0.95	0.98	0.02	0.05	0.97	0.93	False
dastool__016	2004	1960	83	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.96	True
dastool__017	5241	5056	550	kingdom	1.0	0.96	0.0	0.0	0.0	0.98	0.95	True
dastool__018	2190	2173	194	kingdom	1.0	0.99	0.0	0.0	0.0	0.96	0.95	True
dastool__019	1453	1446	360	kingdom	1.0	1.0	0.0	0.0	0.0	0.99	0.98	True
dastool__020	1982	1945	10	kingdom	1.0	0.98	0.0	0.0	0.0	0.99	0.97	True
dastool__021	4882	4724	189	kingdom	1.0	0.97	0.0	0.0	0.0	0.98	0.95	True
dastool__022	1881	1828	43	kingdom	1.0	0.97	0.0	0.0	0.0	0.97	0.94	True
dastool__023	1800	1764	52	kingdom	1.0	0.98	0.0	0.0	0.0	0.99	0.97	True
dastool__024	1919	1917	52	kingdom	1.0	1.0	0.0	0.0	0.0	0.99	0.99	True
dastool__025	4862	4684	878	order	0.93	0.9	1.0	0.02	0.05	0.96	0.86	False
dastool__026	1851	1819	407	kingdom	1.0	0.98	0.98	0.03	0.06	0.98	0.97	False
