name	origin	is_original	original_name	completeness	contamination	score	checkm2_model	size	N50	coding_density	contig_count
article43_bin1	binette	False	article43_bin1	100.0	0.03	99.94	Neural Network (Specific Model)	2770249	67435		92
article43_bin2	taxvamb-kraken2	True	taxvamb__035	100.0	0.04	99.92	Neural Network (Specific Model)	2643322	47024		77
article43_bin3	taxvamb-kraken2	True	taxvamb__007	100.0	0.05	99.9	Neural Network (Specific Model)	1859642	48450		48
article43_bin4	binette	False	article43_bin4	100.0	0.14	99.72	Neural Network (Specific Model)	2653984	55634		94
article43_bin5	metabat2-multisample	True	metabat2-multisample__033	99.92	0.12	99.68	Neural Network (Specific Model)	1733559	79303		43
article43_bin6	binette	False	article43_bin6	99.87	0.14	99.59	Neural Network (Specific Model)	1698339	82868		54
article43_bin7	binette	False	article43_bin7	99.98	0.22	99.54	Neural Network (Specific Model)	6481038	46222		306
article43_bin8	metabat2-mock1-only	True	metabat2-mock1__026	99.99	0.23	99.53	Neural Network (Specific Model)	2595739	59244		65
article43_bin9	metabat2-multisample	True	metabat2-multisample__016	99.58	0.14	99.3	Neural Network (Specific Model)	1245710	56733		42
article43_bin10	binette	False	article43_bin10	99.98	0.39	99.2	Neural Network (Specific Model)	2151032	68740		57
article43_bin11	taxvamb-kraken2	True	taxvamb__015	100.0	0.48	99.04	Neural Network (Specific Model)	1910339	672984		6
article43_bin12	binette	False	article43_bin12	99.69	0.53	98.63	Neural Network (Specific Model)	2045345	41813		106
article43_bin13	binette	False	article43_bin13	98.85	0.21	98.43	Neural Network (Specific Model)	1736697	443866		14
article43_bin14	metabat2-mock1-only	True	metabat2-mock1__027	99.96	0.78	98.4	Neural Network (Specific Model)	4629413	432090		13
article43_bin15	binette	False	article43_bin15	99.23	0.42	98.39	Neural Network (Specific Model)	1772843	88409		31
article43_bin16	binette	False	article43_bin16	99.39	0.53	98.33	Neural Network (Specific Model)	2039351	26973		126
article43_bin17	binette	False	article43_bin17	98.01	0.29	97.43	Neural Network (Specific Model)	2147088	11618		283
article43_bin18	binette	False	article43_bin18	93.96	0.04	93.88	Neural Network (Specific Model)	2187171	14759		221
article43_bin19	binette	False	article43_bin19	96.82	4.48	87.86	Neural Network (Specific Model)	6915991	15347		682
article43_bin20	metabat2-mock1-only	True	metabat2-mock1__030	87.87	0.23	87.41	Neural Network (Specific Model)	418156	8323		70
article43_bin21	binette	False	article43_bin21	99.42	7.25	84.92	Neural Network (Specific Model)	5073077	6633		996
article43_bin22	semibin2-self-supervised	True	semibin2__015	79.01	0.29	78.43	Neural Network (Specific Model)	1083632	4753		272
article43_bin23	binette	False	article43_bin23	68.96	0.65	67.66	Neural Network (Specific Model)	1497680	3335		488
article43_bin24	binette	False	article43_bin24	69.86	1.54	66.78	Neural Network (Specific Model)	1122363	3441		361
article43_bin25	binette	False	article43_bin25	71.8	3.43	64.94	Neural Network (Specific Model)	1366218	4054		380
article43_bin26	semibin2-self-supervised	True	semibin2__018	59.06	0.0	59.06	Neural Network (Specific Model)	946551	3170		324
article43_bin27	binette	False	article43_bin27	49.79	0.35	49.09	Neural Network (Specific Model)	1305363	2708		493
