Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
binette__001	99.99	0.02	Neural Network (Specific Model)	11	0.891	67435	298.9325598259608	2770249	0.35	2758	92	161417	None
binette__002	99.98	0.3	Neural Network (Specific Model)	11	0.894	68740	296.51039260969975	2151032	0.34	2165	57	177391	None
binette__003	100.0	0.48	Neural Network (Specific Model)	11	0.952	672984	307.4919110212336	1910339	0.37	1978	6	708053	None
binette__004	99.79	0.53	Neural Network (Specific Model)	11	0.855	41813	290.50273768043803	2045345	0.28	2009	106	154393	None
binette__005	99.47	0.19	Neural Network (Specific Model)	11	0.919	443866	283.7448275862069	1736697	0.42	1885	14	660252	None
binette__006	99.95	0.8	Neural Network (Specific Model)	11	0.93	432090	359.7513134851138	4629413	0.64	3997	13	1064594	None
binette__007	99.58	0.42	Neural Network (Specific Model)	11	0.956	88409	314.74016620498617	1772843	0.47	1805	31	307522	None
binette__008	98.66	0.55	Neural Network (Specific Model)	11	0.867	26973	334.2723669309173	2039351	0.49	1766	126	77642	None
binette__009	98.66	0.26	Neural Network (Specific Model)	11	0.913	11618	295.71215544509715	2147088	0.27	2213	283	52178	None
binette__010	93.83	0.02	Neural Network (Specific Model)	11	0.886	14759	266.05674342105266	2187171	0.67	2432	221	70149	None
binette__011	97.8	3.87	Neural Network (Specific Model)	11	0.888	15347	353.0388716890265	6915991	0.55	5814	682	86083	None
binette__012	100.0	0.04	Neural Network (Specific Model)	11	0.883	47024	311.9416	2643322	0.51	2500	77	196262	None
binette__013	87.33	0.21	Neural Network (Specific Model)	11	0.951	8323	242.64065335753176	418156	0.32	551	70	18077	None
binette__014	99.5	7.36	Neural Network (Specific Model)	11	0.854	6633	282.5369284876905	5073077	0.46	5118	996	32023	None
binette__015	78.95	0.29	Neural Network (Specific Model)	11	0.933	4753	230.6408689748812	1083632	0.57	1473	272	16743	None
binette__016	68.47	0.65	Neural Network (Specific Model)	11	0.881	3335	248.10754504504504	1497680	0.57	1776	488	10823	None
binette__017	69.48	1.49	Neural Network (Specific Model)	11	0.946	3441	242.00136239782017	1122363	0.35	1468	361	14790	None
binette__018	72.06	3.36	Neural Network (Specific Model)	11	0.887	4054	223.40309221424627	1366218	0.33	1811	380	14671	None
binette__019	59.42	0.0	Neural Network (Specific Model)	11	0.912	3170	221.0847975553858	946551	0.45	1309	324	8558	None
binette__020	49.89	0.35	Neural Network (Specific Model)	11	0.864	2708	228.00846944948577	1305363	0.48	1653	493	9315	None
binette__021	100.0	0.06	Neural Network (Specific Model)	11	0.922	48450	326.83447488584477	1859642	0.53	1752	48	157083	None
binette__022	100.0	0.14	Neural Network (Specific Model)	11	0.885	55634	307.5891807134457	2653984	0.51	2551	94	192840	None
binette__023	99.91	0.12	Neural Network (Specific Model)	11	0.883	79303	272.4456289978678	1733559	0.31	1876	43	209565	None
binette__024	99.93	0.15	Neural Network (Specific Model)	11	0.955	82868	312.28275862068966	1698339	0.46	1740	54	249950	None
binette__025	99.97	0.28	Neural Network (Specific Model)	11	0.888	46222	339.2507504856083	6481038	0.51	5663	306	224039	None
binette__026	99.98	0.21	Neural Network (Specific Model)	11	0.874	59244	325.89213579716375	2595739	0.6	2327	65	181610	None
binette__027	99.67	0.14	Neural Network (Specific Model)	11	0.94	56733	288.2875	1245710	0.31	1360	42	134042	None
dastool__001	65.0	0.27	Neural Network (Specific Model)	11	0.883	3305	246.18836405529953	1449764	0.57	1736	476	10823	None
dastool__002	99.98	0.06	Neural Network (Specific Model)	11	0.884	50296	311.25706099058533	2575200	0.5	2443	72	196262	None
dastool__003	100.0	0.25	Neural Network (Specific Model)	11	0.889	58955	308.33222866611436	2506842	0.52	2414	78	192840	None
dastool__004	97.94	0.16	Neural Network (Specific Model)	11	0.916	11697	296.87563805104406	2092156	0.27	2155	258	52178	None
dastool__005	99.35	0.41	Neural Network (Specific Model)	11	0.954	82868	317.35069444444446	1716008	0.46	1728	42	249950	None
dastool__006	78.95	0.29	Neural Network (Specific Model)	11	0.933	4753	230.6408689748812	1083632	0.57	1473	272	16743	None
dastool__007	59.34	0.0	Neural Network (Specific Model)	11	0.912	3170	221.13333333333333	943833	0.45	1305	323	8558	None
dastool__008	99.98	0.21	Neural Network (Specific Model)	11	0.874	59244	323.7510548523207	2625969	0.6	2370	70	181610	None
dastool__009	99.99	0.44	Neural Network (Specific Model)	11	0.893	68740	292.94540612516647	2211895	0.34	2253	64	177391	None
dastool__010	85.82	0.18	Neural Network (Specific Model)	11	0.955	8323	244.11272727272728	418628	0.32	550	71	18077	None
dastool__011	99.74	0.14	Neural Network (Specific Model)	11	0.942	56733	288.8001458789205	1255643	0.31	1371	43	134042	None
dastool__012	99.47	0.19	Neural Network (Specific Model)	11	0.92	443866	284.22340425531917	1734578	0.42	1880	13	660252	None
dastool__013	98.03	0.56	Neural Network (Specific Model)	11	0.868	26973	333.9302979201799	2050369	0.49	1779	128	77642	None
dastool__014	100.0	0.48	Neural Network (Specific Model)	11	0.952	672984	307.70292044310173	1920309	0.37	1986	8	708053	None
dastool__015	100.0	2.1	Neural Network (Specific Model)	11	0.877	58018	296.86208053691274	3018503	0.36	2980	151	161417	None
dastool__016	99.41	0.33	Neural Network (Specific Model)	11	0.86	44823	289.0025974025974	1937978	0.28	1925	83	154393	None
dastool__017	91.95	3.3	Neural Network (Specific Model)	11	0.889	17235	356.1011299435028	6370188	0.55	5310	550	86083	None
dastool__018	88.43	0.02	Neural Network (Specific Model)	11	0.908	14759	270.2839618355293	1963322	0.68	2201	194	70149	None
dastool__019	69.3	1.52	Neural Network (Specific Model)	11	0.946	3426	241.9952120383037	1117653	0.35	1462	360	14790	None
dastool__020	65.55	0.01	Neural Network (Specific Model)	11	0.93	372866	354.6599597585513	2270897	0.64	1988	10	466493	None
dastool__021	98.03	0.45	Neural Network (Specific Model)	11	0.892	52966	343.655094494659	5618393	0.5	4868	189	224039	None
dastool__022	99.91	0.12	Neural Network (Specific Model)	11	0.883	79303	272.10005321979776	1734637	0.31	1879	43	209565	None
dastool__023	100.0	0.05	Neural Network (Specific Model)	11	0.921	48450	324.28206551915605	1897341	0.53	1801	52	157083	None
dastool__024	99.98	0.74	Neural Network (Specific Model)	11	0.955	88409	311.9807792207792	1875731	0.47	1925	52	307522	None
dastool__025	96.54	5.39	Neural Network (Specific Model)	11	0.846	7019	283.2227672184754	4907840	0.47	4893	878	37803	None
dastool__026	72.68	3.6	Neural Network (Specific Model)	11	0.884	3843	223.67501331912626	1423600	0.33	1877	407	14671	None
