Genome	AnalysisSet	Representative	RepresentativeSHA256	SequenceSetSHA256	InputFileSHA256	GTDBRelease	Species	Domain	Phylum	CompletenessPct	ContaminationPct	MIMAGQuality	Contigs	GenomeBp	RetentionTargetPct	RetentionObservedPct	ParentGenome	DeterministicSeed
SGB_002	Primary real MAG	binette__012.fna	15114bf6c8fe4894a3bd1e74247c393c4ace98dd8d1947a3c5cff20ef6b0d7ec	2b7c243cdede31452365c90cd683fe997f382c6d51a10a5639d041073ef69c0a	15114bf6c8fe4894a3bd1e74247c393c4ace98dd8d1947a3c5cff20ef6b0d7ec	R232	Nitrosomonas europaea	Bacteria	Pseudomonadota	100.0	0.04	High quality	77	2643322	100	100	SGB_002	NA
SGB_006	Primary real MAG	metabat2-multisample__018.fna	eb10464f9e951abd418634afd92c39455180c5d8326a5a6857468ec5de0b96a8	87f4ebdf84d86785a649e98921e0208135da57df90c3078ae0efac9d2cac7b79	eb10464f9e951abd418634afd92c39455180c5d8326a5a6857468ec5de0b96a8	R232	Shewanella baltica	Bacteria	Pseudomonadota	99.55	6.95	Not re-audited for complete markers	1024	5210977	100	100	SGB_006	NA
SGB_008	Primary real MAG	semibin2__018.fna	64d3c938ec6fec17483b576ac6f8466c9517b6bd2476f43804ba6aae73030f68	3ab562d1a35c217d30ae05823716bbf85fb53dc02216c00f3c8341a8193ab60a	64d3c938ec6fec17483b576ac6f8466c9517b6bd2476f43804ba6aae73030f68	R232	Ignicoccus islandicus	Archaea	Thermoproteota	59.51	0.0	Not re-audited for complete markers	324	946551	100	100	SGB_008	NA
SGB_010	Primary real MAG	semibin2__038.fna	7e764b2ccf81fc2b0d23d77ec6f43e2b6aae6da537e47c95d0f9002335229dc2	e5acf9647874c7175b5033fa9146252e5c453b9a66a92331c9da651e6fce3111	7e764b2ccf81fc2b0d23d77ec6f43e2b6aae6da537e47c95d0f9002335229dc2	R232	Methanocaldococcus jannaschii	Archaea	AGJL01	99.92	0.12	Not re-audited for complete markers	43	1727858	100	100	SGB_010	NA
SGB_016	Primary real MAG	binette__001.fna	da074711c9d8a43d626640d99ded6444f1deaca3348e0720dd7d091a6c4f4290	64c3624d693508f45f106e2f066ca3b948dc2c4809251f34ed39065dd8a2a3a7	da074711c9d8a43d626640d99ded6444f1deaca3348e0720dd7d091a6c4f4290	R232	Caldicellulosiruptor saccharolyticus	Bacteria	Bacillota	99.99	0.02	Medium quality	92	2770249	100	100	SGB_016	NA
SGB_018	Primary real MAG	binette__013.fna	92ebeaeb64bc0f36a1d1428d01b80f5b12633183fc8144ee0186e739c0f92b2c	e61e2b736c539be2b1ec8c44f990ab9e49143cf2830b8b403fc0e243c769fbdc	92ebeaeb64bc0f36a1d1428d01b80f5b12633183fc8144ee0186e739c0f92b2c	R232	Nanoarchaeum equitans	Archaea	Nanobdellota	87.33	0.21	Medium quality	70	418156	100	100	SGB_018	NA
SGB_021	Primary real MAG	binette__011.fna	d22e98a635a8a093307d452293f1a51ee5984376530952e790f437bf416d5f2b	4682fe189f53fe51f158cc3d8c52af1c394528c53bc08066ad1e86c9c5e9ffe3	d22e98a635a8a093307d452293f1a51ee5984376530952e790f437bf416d5f2b	R232	Rhodopirellula baltica	Bacteria	Planctomycetota	97.85	3.87	High quality	682	6915991	100	100	SGB_021	NA
SGB_024	Primary real MAG	binette__007.fna	59ca1e9e2bd2d44885bc9f7d1fef25a15daa36ce2efcff633f13215e19426086	cdafe2606d784581bc6e030b9b5b41e13f43b612d1577a13b2957e714037e46d	59ca1e9e2bd2d44885bc9f7d1fef25a15daa36ce2efcff633f13215e19426086	R232	Thermotoga neapolitana	Bacteria	Thermotogota	99.5	0.45	Medium quality	31	1772843	100	100	SGB_024	NA
TRUNC_050	Deterministic truncation sensitivity	binette__012.fna	15114bf6c8fe4894a3bd1e74247c393c4ace98dd8d1947a3c5cff20ef6b0d7ec	01780f17d75e53e41bb4f081af3c630610a768549c0531ded4e5bc40bb792d0c	de588afb18da1bf2fa610530dfd02791897ff4a669d0156d79ec93a5c42d7b2f	R232	Nitrosomonas europaea	Bacteria	Pseudomonadota	NA	NA	In-silico truncation; not a MIMAG category	31	1375500	50	52.036793	SGB_002	59002
TRUNC_070	Deterministic truncation sensitivity	binette__012.fna	15114bf6c8fe4894a3bd1e74247c393c4ace98dd8d1947a3c5cff20ef6b0d7ec	ad8aced7636a7c9bfe9cc86f1f94ffa22d3d8aea8a5205eed93c2a08cc9b9513	c98604f921e63dd39f1de63e7b2d83ae329919d5f33bba7dfd39b978b7fc9296	R232	Nitrosomonas europaea	Bacteria	Pseudomonadota	NA	NA	In-silico truncation; not a MIMAG category	52	1854953	70	70.175068	SGB_002	59002
TRUNC_090	Deterministic truncation sensitivity	binette__012.fna	15114bf6c8fe4894a3bd1e74247c393c4ace98dd8d1947a3c5cff20ef6b0d7ec	d391be858268e2cf4a870e7dbd7fc16e1e6f87f32a78bb66654346939b63bf75	68c972b48ff20bd151ea891c77833528bc3eb0e66c2251286f01ae46b25b5e7f	R232	Nitrosomonas europaea	Bacteria	Pseudomonadota	NA	NA	In-silico truncation; not a MIMAG category	66	2407256	90	91.069344	SGB_002	59002
TRUNC_100	Deterministic truncation sensitivity	binette__012.fna	15114bf6c8fe4894a3bd1e74247c393c4ace98dd8d1947a3c5cff20ef6b0d7ec	2b7c243cdede31452365c90cd683fe997f382c6d51a10a5639d041073ef69c0a	0ca23cd939698f3fcfec167401b4998ee302e02176ff0b1bcd7e39fa120936ab	R232	Nitrosomonas europaea	Bacteria	Pseudomonadota	NA	NA	In-silico truncation; not a MIMAG category	77	2643322	100	100.000000	SGB_002	59002
