Genome	Tool	Step	ElapsedSeconds	MaximumResidentSetKB	UserSeconds	SystemSeconds	ExitStatus
SGB_002	gapseq	draft	139.550	706488	136.36	3.16	0
SGB_006	gapseq	draft	204.390	846560	201.84	2.49	0
SGB_008	gapseq	draft	41.680	531564	40.75	0.92	0
SGB_010	gapseq	draft	82.580	639600	81.35	1.23	0
SGB_016	gapseq	draft	136.950	696300	134.91	2.04	0
SGB_018	gapseq	draft	22.800	528272	22.13	0.67	0
SGB_021	gapseq	draft	185.490	716444	183.25	2.24	0
SGB_024	gapseq	draft	122.560	701516	120.35	2.21	0
TRUNC_050	gapseq	draft	92.320	721524	90.75	1.54	0
TRUNC_070	gapseq	draft	111.370	623124	109.92	1.40	0
TRUNC_090	gapseq	draft	137.360	683956	135.92	1.43	0
TRUNC_100	gapseq	draft	134.620	694480	132.99	1.62	0
SGB_002	gapseq	find	154.270	583344	498.25	13.63	0
SGB_006	gapseq	find	160.090	581956	523.76	14.30	0
SGB_008	gapseq	find	25.510	457952	64.20	7.52	0
SGB_010	gapseq	find	27.310	458036	70.89	8.01	0
SGB_016	gapseq	find	145.900	582496	467.32	13.17	0
SGB_018	gapseq	find	25.100	458476	61.86	7.58	0
SGB_021	gapseq	find	162.550	576476	528.86	14.88	0
SGB_024	gapseq	find	142.000	582668	453.92	13.14	0
TRUNC_050	gapseq	find	140.510	581136	445.10	13.62	0
TRUNC_070	gapseq	find	145.210	581552	461.81	13.88	0
TRUNC_090	gapseq	find	153.870	584436	496.21	13.96	0
TRUNC_100	gapseq	find	154.770	582476	498.49	13.88	0
SGB_008	gapseq	gapfill-construction-medium	466.110	900052	442.09	23.95	0
SGB_010	gapseq	gapfill-construction-medium	427.150	977048	406.10	21.03	0
SGB_018	gapseq	gapfill-construction-medium	271.180	800684	262.34	8.80	0
SGB_002	gapseq	gapfill-permissive	948.300	1444584	887.12	60.96	0
SGB_006	gapseq	gapfill-permissive	1161.300	1408052	1086.36	74.81	0
SGB_008	gapseq	gapfill-permissive	56.160	485428	55.48	0.66	1
SGB_010	gapseq	gapfill-permissive	56.160	421284	55.14	1.02	1
SGB_016	gapseq	gapfill-permissive	962.890	1271004	897.55	65.29	0
SGB_018	gapseq	gapfill-permissive	54.190	448472	53.51	0.68	1
SGB_021	gapseq	gapfill-permissive	978.820	1327712	912.62	66.08	0
SGB_024	gapseq	gapfill-permissive	970.570	1227232	902.87	67.51	0
TRUNC_050	gapseq	gapfill-permissive	960.590	1139736	892.99	67.38	0
TRUNC_070	gapseq	gapfill-permissive	980.890	1228088	912.31	68.56	0
TRUNC_090	gapseq	gapfill-permissive	887.940	1395804	841.97	45.79	0
TRUNC_100	gapseq	gapfill-permissive	923.930	1363444	863.84	60.06	0
SGB_002	gapseq	gapfill-rich	nan	NA	NA	NA	NA
SGB_006	gapseq	gapfill-rich	nan	NA	NA	NA	NA
SGB_008	gapseq	gapfill-rich	66.540	425232	65.88	0.64	1
SGB_010	gapseq	gapfill-rich	68.680	436028	67.81	0.87	1
