Genome	Species	Domain	Tool	Stage	Reactions	InternalReactions	ExchangeReactions	DemandSinkReactions	Metabolites	Genes	GPRBackedReactions	NoGPRReactions	TopologicalDeadEndMetabolites	BiomassReaction	SBMLSHA256	ReactionStructureSHA256
SGB_002	Nitrosomonas europaea	Bacteria	gapseq	Draft	1671	1545	124	1	1598	460	1383	288	351	R_bio1	2b34924491cd21f2d9f1ef746dbee9105282bef1a5ffa11e2d082fc3c43a1030	57ab6e604607291f1af91af7074dc117c3ae176d55c53945509b821a9717f806
SGB_002	Nitrosomonas europaea	Bacteria	gapseq	Gap-filled	1807	1659	146	1	1664	460	1383	424	317	R_EX_cpd11416_c0	8d021468a9c643b3014896a54a873396e26693959d41bda0864a2eee7221fd4a	6806db7e735c61ee7af476412b530ffefc0b514f24abdbc0a101e700557264d5
SGB_002	Nitrosomonas europaea	Bacteria	CarveMe	Draft	1449	1308	135	5	1023	648	1087	362	0	Growth	0e743979b9d1b973f70119ca5a8b49413d44d77e2afab75d8e70be51b8df819f	bc4dabf4b0178ccaef59bb8ba4b3a3470b0a2906f67faabf8930a0661c8d4970
SGB_002	Nitrosomonas europaea	Bacteria	CarveMe	Gap-filled	1452	1311	135	5	1024	648	1087	365	0	Growth	84c51a4450e2adef8f4e5cf8b075f13d6c05f137bcde3d26f2c72f76585bd439	638f2e232631578286b934af9d6f35e0fbe7169efdf403153eed9501249241ff
SGB_006	Shewanella baltica	Bacteria	gapseq	Draft	2115	1949	164	1	1784	693	1786	329	355	R_bio1	6e6df54c3b8e0e0163d75fb719a7136b512e47f149ca51c6772bf08147958a8d	0d92609161f4c1ac5326f4ddc29ac19c7c53e69af02959627905f79e5cdb467b
SGB_006	Shewanella baltica	Bacteria	gapseq	Gap-filled	2229	2047	180	1	1832	693	1786	443	322	R_EX_cpd11416_c0	0279083ffa918386aa24f19e4609db2bd7b0f432ebb24f838c79f3ba5d77448c	b1a1f5520fa59574284205e8da3266a0dc88f643d72159ef820331ffa9ff9e51
SGB_006	Shewanella baltica	Bacteria	CarveMe	Draft	2580	2259	313	7	1669	1135	2043	537	0	Growth	5ca9edbdca5731bd8989c7faaa6e00a10d7d5ae38ef2b8d7d08aca5d1141ddfc	f669b38e3321ce269ee947f36b3bb56be31ba3ba17e13d90d5848302c8d65b64
SGB_006	Shewanella baltica	Bacteria	CarveMe	Gap-filled	2580	2259	313	7	1669	1135	2043	537	0	Growth	b4a956134ea58563014903977e8188ea89d02ca21e8341a42be0ed54610f4f91	f669b38e3321ce269ee947f36b3bb56be31ba3ba17e13d90d5848302c8d65b64
SGB_008	Ignicoccus islandicus	Archaea	gapseq	Draft	317	244	71	1	432	80	197	120	117	R_bio1	8d140f410000063cfa30541be64c3ac33fb8ec3ae8a89d195c31c918afefb351	cc093db3e76205b29a8fe23ed1024337f7a408250942ee15b4c4decbc681674c
SGB_008	Ignicoccus islandicus	Archaea	gapseq	Gap-filled	655	570	83	1	661	80	197	458	57	R_EX_cpd11416_c0	654e9c35abbbc911c1f41a30eb3bd3ed748630c41c5325e427d0a815c752996f	f9e846214afc5bfa778b8e4d591ae304cb9c92d2ec120ae2e077192fc0c1e4f0
SGB_008	Ignicoccus islandicus	Archaea	CarveMe	Draft	860	745	111	3	656	244	510	350	0	Growth	713cb574aec1a6789125079ac9c360930d53754156bdd98f1460526fa1832b93	68d874da10e0038a9f239ef8ffdc0e63c6dedae254750a14b8c0b2a1f011c552
SGB_008	Ignicoccus islandicus	Archaea	CarveMe	Gap-filled	876	761	111	3	660	244	510	366	0	Growth	91146e7935693561456b04b6e615ade8cf21094cdcad9bd36a141a2480e21388	e4b0cedd360d01a6ad4ebc7b0ece7541ff0557820a1b07b66e41c4c3ccd33368
SGB_010	Methanocaldococcus jannaschii	Archaea	gapseq	Draft	883	815	66	1	851	335	721	162	167	R_bio1	576ba35970bed4875802cebb25dfe791011c642ad2c6372b88cafc50f5e011dd	8af49bff733a1beceb396b69dcb9b8e9d602dc422a3c5bcfe4031306bff9afe4
SGB_010	Methanocaldococcus jannaschii	Archaea	gapseq	Gap-filled	1022	935	85	1	922	335	721	301	126	R_EX_cpd11416_c0	dcfb358d208dbaaf934146d28a74e7e4300da9bc966a7cbd5768844901a9c9f4	3ab2d6d6aeccaf7b3a7151d5a153b5dcd46caf5ae2559e89d15c0eaf5115da18
SGB_010	Methanocaldococcus jannaschii	Archaea	CarveMe	Draft	735	631	99	4	572	366	500	235	0	Growth	3799e94f7fb24e5154dd8bdae65d07d516a7bd320deaf0e35b8fcff5345888a5	3ee79d81cda28c8011cff904d3f73396e83f400c65978a097113a08f6778209e
SGB_010	Methanocaldococcus jannaschii	Archaea	CarveMe	Gap-filled	772	658	109	4	584	366	500	272	5	Growth	ffc2e4f11185795377f011feafeacae83f238d5ad8c36dcda8580921ee7157d1	b90393d3a367f7b3d1a28334ff777af5908130b9f488fed03eac094124833bda
SGB_016	Caldicellulosiruptor saccharolyticus	Bacteria	gapseq	Draft	1402	1262	138	1	1296	395	1143	259	295	R_bio1	c8c75c558e5ed7bd7ebe10967cfecf0212df5360347361a0d62a22a657754304	5ac32e163d065a8de43a8b4232681e567b975ad6f5efb877eea74728bf98ae2b
SGB_016	Caldicellulosiruptor saccharolyticus	Bacteria	gapseq	Gap-filled	1617	1455	160	1	1385	395	1143	474	241	R_EX_cpd11416_c0	e6cbb88121f0a73616576bd65ae21eda9ff02fb77e028e994759f7c8a8dbf5fb	6298dce86947711f5da1d76812f6595e187a14ec8a5be26ea0bf3e9acd9b87fd
SGB_016	Caldicellulosiruptor saccharolyticus	Bacteria	CarveMe	Draft	1390	1200	188	1	953	626	1002	388	0	Growth	477b6db2800b85b88f8c3b6153183652e0802ce15219aa9dce052f029a743575	02293f757cf2ac0ec928da5ab6bd093cbdf9327142001a9cd3d100829600b3f5
SGB_016	Caldicellulosiruptor saccharolyticus	Bacteria	CarveMe	Gap-filled	1392	1202	188	1	954	626	1002	390	0	Growth	65fc1c6909a140b6128aa2af2bac37a65d59c458dc7f143189b4729a3f83e25e	681e445ad212594f7a8b7b66805a31ec03172bcb2d365985e25a358910666f30
SGB_018	Nanoarchaeum equitans	Archaea	gapseq	Draft	116	76	38	1	193	25	32	84	48	R_bio1	a3edafed85872c74ec9c9fdc2899df6e450f4dd5783467a61f92f663778665eb	d928d5ed7ffb5f723ba0cceadfb0051ee7ba3a9e7581eb78d61194df0926371c
SGB_018	Nanoarchaeum equitans	Archaea	gapseq	Gap-filled	401	317	82	1	425	25	32	369	12	R_EX_cpd11416_c0	46e69e4dc1bfb9c5b34f76b7fd082efcc78b27148bfd3e08d9f73ee233ad6ad9	8ad25156aa93258d4989e83213440456ab730643de5ea6eb7514cb1df912472d
SGB_018	Nanoarchaeum equitans	Archaea	CarveMe	Draft	340	270	69	0	310	29	89	251	0	Growth	d4376c45c0d04acb239c6a1a97042d6c96cc896eaa339a716de555fd0959feef	f48aca598fd37e54726e5cd2403f33fb441815b2bc31ad28071ae53bfae6ce26
SGB_018	Nanoarchaeum equitans	Archaea	CarveMe	Gap-filled	438	354	83	0	377	29	89	349	4	Growth	60b30430f06ec0639b3b4f0c40048b6a1c819e89f29eecb9f63b487c7b5e2836	2f31077c95d55420a3d08325667bda6f5ab6bef479959114e181a57ab215758b
SGB_021	Rhodopirellula baltica	Bacteria	gapseq	Draft	1554	1436	116	1	1444	476	1191	363	343	R_bio1	5a62a58fc27722c821695e7b8f65c9ad59919e78ab4246785d44113deb7be5b1	5840ed5cc3c87e2a70081af12b37b8bb662e1eb1b1724a420ac5cdb87bc34389
SGB_021	Rhodopirellula baltica	Bacteria	gapseq	Gap-filled	1796	1638	156	1	1568	476	1191	605	294	R_EX_cpd11416_c0	10f6ffe4531dd07e6d75310454842c8dff0dc75962446dd05f4b02358eeee553	32a13f56ab3713291d784b8489b73a3559e136e67498ce420372cde0132bb974
SGB_021	Rhodopirellula baltica	Bacteria	CarveMe	Draft	1881	1674	203	3	1218	818	1361	520	0	Growth	b8452089b64a090fda3d909f26c64ed7c1b708fb9a1bb30eeeb1f288d78fcbbf	a73f7c368e707ffb8ba41cc845710701ff023ebbfb87e6a34bfe1e23352d078e
SGB_021	Rhodopirellula baltica	Bacteria	CarveMe	Gap-filled	1883	1676	203	3	1219	818	1361	522	0	Growth	7e042ebc071f08a96e5f0ab959191ad03d434e9329d7d0c92e3172c6a881afd2	7434fab6ce7f3157062e04dc5a62a9c0840239dcd738f2458a6e5cc4a5aa9e4e
SGB_024	Thermotoga neapolitana	Bacteria	gapseq	Draft	1435	1298	135	1	1303	383	1130	305	300	R_bio1	9aa02c0cca228db8b2d5e24fff31fcf276f34a17d1e3a6cf53102a91f3bffbdf	72ae523f917114827c86f696952faeae97b9839e1dff9e4c6b5b74460b36b3b4
