Genome	Command	ElapsedSeconds	ReturnCode
SGB_002	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -q -p meta -i /workspace/wechat/Metagenome/work/article60/inputs/genomes/SGB_002.fna -a /workspace/wechat/Metagenome/work/article60/inputs/proteins-raw/SGB_002.faa -d /workspace/wechat/Metagenome/work/article60/inputs/genes/SGB_002.fna -f gff -o /workspace/wechat/Metagenome/work/article60/inputs/gff/SGB_002.gff	39.033	0
SGB_006	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -q -p meta -i /workspace/wechat/Metagenome/work/article60/inputs/genomes/SGB_006.fna -a /workspace/wechat/Metagenome/work/article60/inputs/proteins-raw/SGB_006.faa -d /workspace/wechat/Metagenome/work/article60/inputs/genes/SGB_006.fna -f gff -o /workspace/wechat/Metagenome/work/article60/inputs/gff/SGB_006.gff	26.761	0
SGB_008	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -q -p meta -i /workspace/wechat/Metagenome/work/article60/inputs/genomes/SGB_008.fna -a /workspace/wechat/Metagenome/work/article60/inputs/proteins-raw/SGB_008.faa -d /workspace/wechat/Metagenome/work/article60/inputs/genes/SGB_008.fna -f gff -o /workspace/wechat/Metagenome/work/article60/inputs/gff/SGB_008.gff	2.841	0
SGB_010	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -q -p meta -i /workspace/wechat/Metagenome/work/article60/inputs/genomes/SGB_010.fna -a /workspace/wechat/Metagenome/work/article60/inputs/proteins-raw/SGB_010.faa -d /workspace/wechat/Metagenome/work/article60/inputs/genes/SGB_010.fna -f gff -o /workspace/wechat/Metagenome/work/article60/inputs/gff/SGB_010.gff	5.187	0
SGB_016	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -q -p meta -i /workspace/wechat/Metagenome/work/article60/inputs/genomes/SGB_016.fna -a /workspace/wechat/Metagenome/work/article60/inputs/proteins-raw/SGB_016.faa -d /workspace/wechat/Metagenome/work/article60/inputs/genes/SGB_016.fna -f gff -o /workspace/wechat/Metagenome/work/article60/inputs/gff/SGB_016.gff	14.525	0
SGB_018	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -q -p meta -i /workspace/wechat/Metagenome/work/article60/inputs/genomes/SGB_018.fna -a /workspace/wechat/Metagenome/work/article60/inputs/proteins-raw/SGB_018.faa -d /workspace/wechat/Metagenome/work/article60/inputs/genes/SGB_018.fna -f gff -o /workspace/wechat/Metagenome/work/article60/inputs/gff/SGB_018.gff	0.803	0
SGB_021	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -q -p meta -i /workspace/wechat/Metagenome/work/article60/inputs/genomes/SGB_021.fna -a /workspace/wechat/Metagenome/work/article60/inputs/proteins-raw/SGB_021.faa -d /workspace/wechat/Metagenome/work/article60/inputs/genes/SGB_021.fna -f gff -o /workspace/wechat/Metagenome/work/article60/inputs/gff/SGB_021.gff	128.820	0
SGB_024	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -q -p meta -i /workspace/wechat/Metagenome/work/article60/inputs/genomes/SGB_024.fna -a /workspace/wechat/Metagenome/work/article60/inputs/proteins-raw/SGB_024.faa -d /workspace/wechat/Metagenome/work/article60/inputs/genes/SGB_024.fna -f gff -o /workspace/wechat/Metagenome/work/article60/inputs/gff/SGB_024.gff	22.523	0
TRUNC_050	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -q -p meta -i /workspace/wechat/Metagenome/work/article60/inputs/genomes/TRUNC_050.fna -a /workspace/wechat/Metagenome/work/article60/inputs/proteins-raw/TRUNC_050.faa -d /workspace/wechat/Metagenome/work/article60/inputs/genes/TRUNC_050.fna -f gff -o /workspace/wechat/Metagenome/work/article60/inputs/gff/TRUNC_050.gff	20.820	0
TRUNC_070	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -q -p meta -i /workspace/wechat/Metagenome/work/article60/inputs/genomes/TRUNC_070.fna -a /workspace/wechat/Metagenome/work/article60/inputs/proteins-raw/TRUNC_070.faa -d /workspace/wechat/Metagenome/work/article60/inputs/genes/TRUNC_070.fna -f gff -o /workspace/wechat/Metagenome/work/article60/inputs/gff/TRUNC_070.gff	28.673	0
TRUNC_090	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -q -p meta -i /workspace/wechat/Metagenome/work/article60/inputs/genomes/TRUNC_090.fna -a /workspace/wechat/Metagenome/work/article60/inputs/proteins-raw/TRUNC_090.faa -d /workspace/wechat/Metagenome/work/article60/inputs/genes/TRUNC_090.fna -f gff -o /workspace/wechat/Metagenome/work/article60/inputs/gff/TRUNC_090.gff	36.082	0
TRUNC_100	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -q -p meta -i /workspace/wechat/Metagenome/work/article60/inputs/genomes/TRUNC_100.fna -a /workspace/wechat/Metagenome/work/article60/inputs/proteins-raw/TRUNC_100.faa -d /workspace/wechat/Metagenome/work/article60/inputs/genes/TRUNC_100.fna -f gff -o /workspace/wechat/Metagenome/work/article60/inputs/gff/TRUNC_100.gff	38.181	0
