Table	SampleHeader	Rows	UnstratifiedRows	StratifiedRows	OrdinaryCommunityFeatures	SpecialCommunityRows	PositiveOrdinaryFeatures	CommunityValueSum
Gene families RPK	ERR9765746_MOCK1_Abundance-RPKs	24812	11777	13035	11776	1	11776	263560.9363648028
Gene families CPM	ERR9765746_MOCK1_Abundance-CPM	24812	11777	13035	11776	1	11776	999999.97064
Gene families relative abundance	ERR9765746_MOCK1_Abundance-RELAB	24812	11777	13035	11776	1	11776	0.99999997064
Regrouped reactions RPK	ERR9765746_MOCK1_Abundance-RPKs	5508	1404	4104	1402	2	1402	279239.7374264394
Regrouped reactions CPM	ERR9765746_MOCK1_Abundance-CPM	5508	1404	4104	1402	2	1402	999999.4042
Regrouped reactions relative abundance	ERR9765746_MOCK1_Abundance-RELAB	5508	1404	4104	1402	2	1402	0.9999994042
Pathway abundance RPK-like	ERR9765746_MOCK1_Abundance	261	149	112	147	2	147	102782.3506251704
Pathway abundance CPM	ERR9765746_MOCK1_Abundance-CPM	261	149	112	147	2	147	999999.6053
Pathway abundance relative abundance	ERR9765746_MOCK1_Abundance-RELAB	261	149	112	147	2	147	0.9999996053
Pathway coverage	ERR9765746_MOCK1_Coverage	261	149	112	147	2	147	47.4171887098
