sample	hotspring	hotspring_common_name	region	broad_region	broad_region_short	in_yellowstone	latitude	longitude	date	year	datetime	sequencing_batch	pH	temperature	conductivity	temperature_regime	type	is_hotspring	sequencing_platform	metagenome_SRR	metagenome_SAMN	mean_quality_R1	mean_quality_R2	raw_Nsequences	filtered_Nsequences	metagenome2MAG_read_recruitment_rate	hotspring.year	max_concurrent_hotspring_temperature	max_hotspring_temperature
AA01.0.1	AA01	Mickey Hot Springs	Alvord Desert	Alvord Desert	ALV	no	42.678616	-118.34823	2020.08.10	2020	2020.08.10 17:38:32	1	8.073703704	56.00	2.46	50_70	mat	yes	Illumina NextSeq2000	SRR32625429	SAMN47273168	32.995	32.57	9158678	4419184	0.120335	AA01.2020	57	57
AA01.0.2	AA01	Mickey Hot Springs	Alvord Desert	Alvord Desert	ALV	no	42.678546	-118.34828	2020.08.10	2020	2020.08.10 17:45:46	1	8.073703704	56.60	2.45	50_70	mat	yes	Illumina NextSeq2000	SRR32625428	SAMN47273169	33.002	32.448	6271623	2977643	0.12474	AA01.2020	57	57
AA01.0.3	AA01	Mickey Hot Springs	Alvord Desert	Alvord Desert	ALV	no	42.678507	-118.34825	2020.08.10	2020	2020.08.10 17:54:06	1	8.073703704	56.00	2.43	50_70	mat	yes	Illumina NextSeq2000	SRR32625386	SAMN47273170	33.001	32.634	1966308	1003882	0.100645	AA01.2020	57	57
AA01.0.4	AA01	Mickey Hot Springs	Alvord Desert	Alvord Desert	ALV	no	42.678495	-118.34818	2020.08.10	2020	2020.08.10 18:02:07	1	9.222962963	33.00	2.7	30_50	mat	yes	Illumina NextSeq2000	SRR32625375	SAMN47273171	33.013	32.481	5791686	2642426	0.041955	AA01.2020	57	57
AA01.0.5	AA01	Mickey Hot Springs	Alvord Desert	Alvord Desert	ALV	no	42.678546	-118.34818	2020.08.10	2020	2020.08.10 18:11:42	1	8.030740741	57.00	2.47	50_70	mat	yes	Illumina NextSeq2000	SRR32625265	SAMN47273172	32.991	32.309	1608711	640852	0.19925	AA01.2020	57	57
AA03.0.3	AA03	Mickey Hot Springs	Alvord Desert	Alvord Desert	ALV	no	42.677505	-118.34706	2020.08.10	2020	2020.08.10 19:21:36	1	8.363703704	71.00	2.55	70_80	sediment	yes	Illumina NextSeq2000	SRR32625254	SAMN47273175	33.043	32.446	891513	393373	0.17992	AA03.2020	71	92.8
AA03.0.4	AA03	Mickey Hot Springs	Alvord Desert	Alvord Desert	ALV	no	42.677471	-118.34694	2020.08.10	2020	2020.08.10 19:29:47	1	8.44962963	55.10	2.46	50_70	mat	yes	Illumina NextSeq2000	SRR32625243	SAMN47273176	33.013	32.599	13812310	6872690	0.091605	AA03.2020	71	92.8
AA03.0.5	AA03	Mickey Hot Springs	Alvord Desert	Alvord Desert	ALV	no	42.677418	-118.3469	2020.08.10	2020	2020.08.10 19:32:14	1	9.222962963	37.00	2.56	30_50	mat	yes	Illumina NextSeq2000	SRR32625328	SAMN47273177	32.989	32.457	1961480	839045	0.053505	AA03.2020	71	92.8
AB02.0.1	AB02		Borax Lake	Alvord Desert	ALV	no	42.332716	-118.60307	2020.08.11	2020	2020.08.11 18:18:30	1	6.717	76.90	1.96	70_80	sediment	yes	Illumina NextSeq2000	SRR32625317	SAMN47273179	32.958	32.337	8221016	3019743	0.08262	AB02.2020	76.9	76.9
AB02.0.2	AB02		Borax Lake	Alvord Desert	ALV	no	42.332747	-118.60308	2020.08.11	2020	2020.08.11 18:21:09	1	6.737428571	68.50	1.90	50_70	sediment	yes	Illumina NextSeq2000	SRR32625306	SAMN47273180	33.051	32.44	9629797	4012998	0.10017	AB02.2020	76.9	76.9
AB03.0.1	AB03		Borax Lake	Alvord Desert	ALV	no	42.33127	-118.60363	2020.08.11	2020	2020.08.11 17:59:11	1	6.99962963	87.30	1.97	80_100	sediment	yes	Illumina NextSeq2000	SRR32625427	SAMN47273181	33.017	32.413	879445	343452	0.114215	AB03.2020	87.3	89.6
AB03.0.2	AB03		Borax Lake	Alvord Desert	ALV	no	42.331186	-118.6036	2020.08.11	2020	2020.08.11 18:01:33	1	6.913703704	70.00	1.99	70_80	mat	yes	Illumina NextSeq2000	SRR32625416	SAMN47273182	32.946	32.23	2950095	1057289	0.081575	AB03.2020	87.3	89.6
AB03.0.3	AB03		Borax Lake	Alvord Desert	ALV	no	42.331211	-118.60356	2020.08.11	2020	2020.08.11 18:04:55	1	8.224074074	43.60	2.01	30_50	mat	yes	Illumina NextSeq2000	SRR32625405	SAMN47273183	32.978	32.625	3652686	1843178	0.08276	AB03.2020	87.3	89.6
AB04.0.1	AB04		Borax Lake	Alvord Desert	ALV	no	42.3331	-118.60337	2020.08.12	2020	2020.08.12 07:19:53	1	6.978148148	71.00	1.95	70_80	mat	yes	Illumina NextSeq2000	SRR32625359	SAMN47273184	33.021	32.153	1562881	543624	0.08632	AB04.2020	71	71.1
AB07.0.1	AB07		Borax Lake	Alvord Desert	ALV	no	42.333249	-118.60333	2020.08.11	2020	2020.08.11 18:30:50	1	7.074814815	56.30	1.99	50_70	mat	yes	Illumina NextSeq2000	SRR32625348	SAMN47273185	32.929	32.694	3926069	1952267	0.100155	AB07.2020	56.3	56.3
AB07.0.2	AB07		Borax Lake	Alvord Desert	ALV	no	42.333279	-118.60335	2020.08.11	2020	2020.08.11 18:36:59	1	7.074814815	56.30	1.99	50_70	mat	yes	Illumina NextSeq2000	SRR32625337	SAMN47273186	33.053	32.367	453609	175439	0.046915	AB07.2020	56.3	56.3
AB08.0.2	AB08		Borax Lake	Alvord Desert	ALV	no	42.33402	-118.60302	2020.08.11	2020	2020.08.11 19:08:17	1	7.332592593	66.10	NA	50_70	mat	yes	Illumina NextSeq2000	SRR32625294	SAMN47273188	32.506	32.205	1068215	546531	0.150795	AB08.2020	66.1	90
AB08.0.3	AB08		Borax Lake	Alvord Desert	ALV	no	42.334015	-118.603	2020.08.11	2020	2020.08.11 19:10:06	1	7.794444444	52.60	NA	50_70	mat	yes	Illumina NextSeq2000	SRR32625283	SAMN47273189	33.052	32.633	13425413	6896106	0.081485	AB08.2020	66.1	90
