ReferenceAccession	Domain	LinkedSGBs	GTDBReferenceID	ImmutableAccessionVersion
GCA_000008085.1	Archaea	SGB_018	GCA_000008085.1	True
GCA_000018565.1	Bacteria	SGB_007	GCA_000018565.1	True
GCF_000010305.1	Bacteria	SGB_022	GCF_000010305.1	True
GCF_000010505.1	Bacteria	SGB_003	GCF_000010505.1	True
GCF_000011105.1	Archaea	SGB_019	GCF_000011105.1	True
GCF_000016125.1	Archaea	SGB_013	GCF_000016125.1	True
GCF_000016545.1	Bacteria	SGB_016	GCF_000016545.1	True
GCF_000016785.1	Bacteria	SGB_023	GCF_000016785.1	True
GCF_000017945.1	Archaea	SGB_009	GCF_000017945.1	True
GCF_000018945.1	Bacteria	SGB_024	GCF_000018945.1	True
GCF_000019085.1	Bacteria	SGB_017	GCF_000019085.1	True
GCF_000020465.1	Bacteria	SGB_005	GCF_000020465.1	True
GCF_000020785.1	Bacteria	SGB_015	GCF_000020785.1	True
GCF_000021565.1	Bacteria	SGB_014	GCF_000021565.1	True
GCF_000091665.1	Archaea	SGB_010	GCF_000091665.1	True
GCF_000196115.1	Bacteria	SGB_021	GCF_000196115.1	True
GCF_001481685.1	Archaea	SGB_008	GCF_001481685.1	True
GCF_001639275.1	Archaea	SGB_011	GCF_001639275.1	True
GCF_002952055.1	Bacteria	SGB_001	GCF_002952055.1	True
GCF_003968655.1	Bacteria	SGB_004	GCF_003968655.1	True
GCF_008124605.1	Archaea	SGB_020	GCF_008124605.1	True
GCF_031191795.1	Bacteria	SGB_012	GCF_031191795.1	True
GCF_900167395.1	Bacteria	SGB_002	GCF_900167395.1	True
GCF_900456975.1	Bacteria	SGB_006	GCF_900456975.1	True
