Attack	Likelihood	Impact	Defense	Location
Outcome leakage	5	5	Outer-domain split and frozen preprocessing	Main Fig 5 + supplement
Cohort confounding	5	5	Cohort-adjusted effects and study-effect panel	Main Figs 1-2
Missing external validation	5	5	Untouched cohort or experiment	Main Fig 5
Compositional artifact	4	4	Alternative denominator and transform grid	Main Fig 2 + supplement
Incomplete MAG QC	4	5	CheckM2, GUNC, MIMAG acceptance table	Main Fig 3 + supplement
Strain threshold drift	3	4	Breadth, ANI, marker, and topology sensitivity	Main Fig 3 + supplement
Virus false positive	4	5	Two callers, CheckV, vOTU audit	Main Fig 3 + supplement
Unsupported host link	4	5	Evidence tiers and negative controls	Main Fig 3 + supplement
Gap-fill dependence	4	4	Medium and gap-fill burden surface	Main Fig 4 + supplement
Version drift	4	4	Database, software, container, and checksum ledger	Methods + supplement
