ClaimID	Claim	EvidenceLayer	RequirementCode	Requirement
C1	Cohort-level pattern	Study design and QC	2	Required
C1	Cohort-level pattern	Adjusted association	2	Required
C1	Cohort-level pattern	Independent replication	1	Supportive
C1	Cohort-level pattern	Genome-resolved evidence	-1	Not applicable
C1	Cohort-level pattern	Model or orthogonal assay	-1	Not applicable
C1	Cohort-level pattern	Perturbation or intervention	-1	Not applicable
C2	Taxon/function biomarker	Study design and QC	2	Required
C2	Taxon/function biomarker	Adjusted association	2	Required
C2	Taxon/function biomarker	Independent replication	2	Required
C2	Taxon/function biomarker	Genome-resolved evidence	1	Supportive
C2	Taxon/function biomarker	Model or orthogonal assay	1	Supportive
C2	Taxon/function biomarker	Perturbation or intervention	0	Insufficient alone
C3	MAG/strain/virus discovery	Study design and QC	2	Required
C3	MAG/strain/virus discovery	Adjusted association	1	Supportive
C3	MAG/strain/virus discovery	Independent replication	2	Required
C3	MAG/strain/virus discovery	Genome-resolved evidence	2	Required
C3	MAG/strain/virus discovery	Model or orthogonal assay	1	Supportive
C3	MAG/strain/virus discovery	Perturbation or intervention	0	Insufficient alone
C4	Mechanistic compatibility	Study design and QC	2	Required
C4	Mechanistic compatibility	Adjusted association	1	Supportive
C4	Mechanistic compatibility	Independent replication	2	Required
C4	Mechanistic compatibility	Genome-resolved evidence	2	Required
C4	Mechanistic compatibility	Model or orthogonal assay	2	Required
C4	Mechanistic compatibility	Perturbation or intervention	1	Supportive
C5	Clinical or causal effect	Study design and QC	2	Required
C5	Clinical or causal effect	Adjusted association	1	Supportive
C5	Clinical or causal effect	Independent replication	2	Required
C5	Clinical or causal effect	Genome-resolved evidence	1	Supportive
C5	Clinical or causal effect	Model or orthogonal assay	1	Supportive
C5	Clinical or causal effect	Perturbation or intervention	2	Required
