EvidenceID	Domain	Metric	Value	Unit	ArtifactID	EvidenceBoundary
E01	Cross-cohort	Cohorts	8	cohorts	A28_cohorts	Eight complete domains; not random folds.
E02	Cross-cohort	Independent subjects	771	subjects	A28_cohorts	CRC/control profiles after cohort-specific exclusions.
E03	External validation	Macro AUROC	0.7786393435	AUROC	A28_bootstrap	95% CI 0.711-0.832; no clinical utility claim.
E04	External validation	Performance heterogeneity	52.09417378	I2 percent	A28_meta	LODO heterogeneity is a result, not noise to hide.
E05	MAG	Accepted MAGs	23	MAGs	A44_summary	4 HQ and 19 MQ; no circular genomes claimed.
E06	Strain	Compared genomes	11	genomes	A50_summary	10 same-strain calls in a two-sample benchmark.
E07	Strain	Phylogeny alignment	18027	sites	A51_summary	25 samples and 187 markers; geography withheld from inference.
E08	Virus	CheckV input	46	viral sequences	A54_summary	Quality: 1 HQ, 4 MQ, 33 LQ, 8 ND.
E09	Virus	Mock-community vOTUs	12	vOTUs	A55_summary	Derived from 15 mock phages; not a clinical cohort.
E10	Virus-host	Negative-control genomes	8128	genomes	A56_summary	1018 false calls demonstrate the claim ceiling.
E11	Metabolic models	Reconstructed models	48	models	A60_summary	9 high gap-fill burden flags across 12 input genomes.
E12	Community metabolism	Modeled subjects	6	subjects	A61_metrics	160 of 186 modeled taxa had positive primary growth.
E13	Causal evidence	CRC randomized targeted interventions	0	studies	A72_metrics	Zero: association and models do not become human causality.
