SensitivityAxis	Figure	RequirementCode	Requirement
Cohort and batch specification	1	2	Required
Cohort and batch specification	2	2	Required
Cohort and batch specification	3	1	Conditional
Cohort and batch specification	4	1	Conditional
Cohort and batch specification	5	2	Required
Prevalence and abundance filter	1	1	Conditional
Prevalence and abundance filter	2	2	Required
Prevalence and abundance filter	3	1	Conditional
Prevalence and abundance filter	4	1	Conditional
Prevalence and abundance filter	5	1	Conditional
Compositional transform	1	1	Conditional
Compositional transform	2	2	Required
Compositional transform	3	0	Not primary
Compositional transform	4	1	Conditional
Compositional transform	5	2	Required
Outer-domain split	1	1	Conditional
Outer-domain split	2	2	Required
Outer-domain split	3	1	Conditional
Outer-domain split	4	1	Conditional
Outer-domain split	5	2	Required
MAG quality threshold	1	0	Not primary
MAG quality threshold	2	0	Not primary
MAG quality threshold	3	2	Required
MAG quality threshold	4	2	Required
MAG quality threshold	5	1	Conditional
Strain breadth and ANI	1	0	Not primary
Strain breadth and ANI	2	0	Not primary
Strain breadth and ANI	3	2	Required
Strain breadth and ANI	4	1	Conditional
Strain breadth and ANI	5	1	Conditional
Virus, vOTU, and host threshold	1	0	Not primary
Virus, vOTU, and host threshold	2	0	Not primary
Virus, vOTU, and host threshold	3	2	Required
Virus, vOTU, and host threshold	4	1	Conditional
Virus, vOTU, and host threshold	5	1	Conditional
Medium, abundance, and gap filling	1	0	Not primary
Medium, abundance, and gap filling	2	0	Not primary
Medium, abundance, and gap filling	3	1	Conditional
Medium, abundance, and gap filling	4	2	Required
Medium, abundance, and gap filling	5	1	Conditional
Database and software release	1	1	Conditional
Database and software release	2	1	Conditional
Database and software release	3	2	Required
Database and software release	4	2	Required
Database and software release	5	2	Required
