ResultID	ClaimID	Figure	Panel	AnalysisUnit	Statistic	Gate	SourceArtifact	CodeTarget	OutputTarget	UnitRecorded	StatisticRecorded	ValidationRecorded	ChecksumRequired
F1A	C1	1	A	subject	Count and reason	Sample ledger frozen	A28_cohorts	analysis/f1a.R	results/f1a.tsv	True	True	True	True
F1B	C1	1	B	cohort	Balance and missingness	Metadata dictionary frozen	A28_cohorts	analysis/f1b.R	results/f1b.tsv	True	True	True	True
F1C	C1	1	C	sample	Depth and contamination	QC threshold prespecified	A28_cohorts	analysis/f1c.R	results/f1c.tsv	True	True	True	True
F1D	C1	1	D	subject	Effect size with cohort adjustment	No joint train-test correction	A28_cohorts	analysis/f1d.R	results/f1d.tsv	True	True	True	True
F2A	C2	2	A	species	Effect + CI + FDR	Cohort-aware model	A28_meta	analysis/f2a.R	results/f2a.tsv	True	True	True	True
F2B	C2	2	B	pathway / gene family	Effect + CI + FDR	Independent denominator	A28_meta	analysis/f2b.R	results/f2b.tsv	True	True	True	True
F2C	C2	2	C	feature by cohort	Direction and heterogeneity	Complete cohort holdout	A28_meta	analysis/f2c.R	results/f2c.tsv	True	True	True	True
F2D	C2	2	D	feature pair	Association with multiplicity control	No causal arrow	A28_meta	analysis/f2d.R	results/f2d.tsv	True	True	True	True
F2E	C2	2	E	feature	Stable sign and rank	Prespecified grid	A28_meta	analysis/f2e.R	results/f2e.tsv	True	True	True	True
F3A	C3	3	A	MAG	Completeness, contamination, GUNC	MIMAG table complete	A44/A50/A51/A54/A55/A56	analysis/f3a.R	results/f3a.tsv	True	True	True	True
F3B	C3	3	B	MAG / species	Tree and ANI	Reference release locked	A44/A50/A51/A54/A55/A56	analysis/f3b.R	results/f3b.tsv	True	True	True	True
F3C	C3	3	C	sample pair	Breadth, popANI, p-distance	Coverage gate passed	A44/A50/A51/A54/A55/A56	analysis/f3c.R	results/f3c.tsv	True	True	True	True
F3D	C3	3	D	viral contig / vOTU	CheckV tier, ANI, alignment fraction	MIUViG fields complete	A44/A50/A51/A54/A55/A56	analysis/f3d.R	results/f3d.tsv	True	True	True	True
F3E	C3	3	E	vOTU-host pair	Evidence tier and score	Negative control reported	A44/A50/A51/A54/A55/A56	analysis/f3e.R	results/f3e.tsv	True	True	True	True
F3F	C3	3	F	entity	Yield versus confidence	Alternative thresholds shown	A44/A50/A51/A54/A55/A56	analysis/f3f.R	results/f3f.tsv	True	True	True	True
F4A	C4	4	A	claim	Directed evidence chain	No arrow without evidence	A60/A61/A72	analysis/f4a.R	results/f4a.tsv	True	True	True	True
F4B	C4	4	B	model / metabolite	Flux or growth	Medium defined	A60/A61/A72	analysis/f4b.R	results/f4b.tsv	True	True	True	True
F4C	C4	4	C	model	Range across settings	No single-medium conclusion	A60/A61/A72	analysis/f4c.R	results/f4c.tsv	True	True	True	True
F4D	C4	4	D	experimental unit	Agreement and uncertainty	Blinded or held-out where possible	A60/A61/A72	analysis/f4d.R	results/f4d.tsv	True	True	True	True
F4E	C4	4	E	experimental unit	Endpoint effect	Comparator and time fixed	A60/A61/A72	analysis/f4e.R	results/f4e.tsv	True	True	True	True
F5A	C5	5	A	cohort / subject	Effect + CI	No refitting	A28_lodo/A28_bootstrap	analysis/f5a.R	results/f5a.tsv	True	True	True	True
F5B	C5	5	B	cohort / subject	AUROC, AUPRC, calibration	Threshold locked	A28_lodo/A28_bootstrap	analysis/f5b.R	results/f5b.tsv	True	True	True	True
F5C	C5	5	C	cohort	Performance heterogeneity	Failure cohort retained	A28_lodo/A28_bootstrap	analysis/f5c.R	results/f5c.tsv	True	True	True	True
F5D	C5	5	D	experimental unit	Prespecified endpoint	Biological replicates	A28_lodo/A28_bootstrap	analysis/f5d.R	results/f5d.tsv	True	True	True	True
F5E	C5	5	E	claim	Highest supported evidence rung	Forbidden leap stated	A28_lodo/A28_bootstrap	analysis/f5e.R	results/f5e.tsv	True	True	True	True
