category	check	expected	observed	status	scope
input	08-ena-fastq-sources.tsv_exists	True	True	PASS	repository input
input	08-read-prefix-metrics.tsv_exists	True	True	PASS	repository input
input	10-job-array.tsv_exists	True	True	PASS	repository input
input	10-runtime-contract.tsv_exists	True	True	PASS	repository input
input	10-container-smoke.log_exists	True	True	PASS	repository input
input	10_slurm_array_smoke.sh_exists	True	True	PASS	repository input
input	article10_task.py_exists	True	True	PASS	repository input
input	08-ena-fastq-sources.tsv_sha256	96638ae0d16ce5953760b596887c9f8f443c1dc33e0f82bef2e6ac040e69d962	96638ae0d16ce5953760b596887c9f8f443c1dc33e0f82bef2e6ac040e69d962	PASS	byte-locked input
input	08-read-prefix-metrics.tsv_sha256	6c426e0c89a95b1c1cc7ec631629e3635a7fd83c61c90d4086801b28495b5a61	6c426e0c89a95b1c1cc7ec631629e3635a7fd83c61c90d4086801b28495b5a61	PASS	byte-locked input
input	10-job-array.tsv_sha256	368baec61944a605305723971f0442f8fc568ce6f7107452d44299e4cb76776f	368baec61944a605305723971f0442f8fc568ce6f7107452d44299e4cb76776f	PASS	byte-locked input
input	10-runtime-contract.tsv_sha256	dad2c5154b3e1f703bab76698adc04607668a4ba0bcc136b53191143cab62e6a	dad2c5154b3e1f703bab76698adc04607668a4ba0bcc136b53191143cab62e6a	PASS	byte-locked input
input	10-container-smoke.log_sha256	aeb469f3084bb8062d8c9538a8585deb0aa6ec90db1ff3f7563e5ac1662d6750	aeb469f3084bb8062d8c9538a8585deb0aa6ec90db1ff3f7563e5ac1662d6750	PASS	byte-locked input
real-data	ena_source_rows	4	4	PASS	Article 08 checksum-identified sources
real-data	illumina_compressed_bytes	3845199421	3845199421	PASS	ENA-reported compressed bytes
real-data	ont_compressed_bytes	3117261341	3117261341	PASS	ENA-reported compressed bytes
real-data	pacbio_compressed_bytes	3982506052	3982506052	PASS	ENA-reported compressed bytes
real-data	total_compressed_bytes	10944966814	10944966814	PASS	four public FASTQ files
real-data	job_array_task_count	3	3	PASS	three platform metric strata
real-data	job_array_ids	1,2,3	1,2,3	PASS	deterministic SLURM_ARRAY_TASK_ID mapping
real-data	expected_metric_rows	15000	15000	PASS	three deterministic prefixes
host	linux_host	Linux	Linux	PASS	native execution plane
