check	expected	observed	status	scope
#SBATCH --array=1-3%3	present	present	PASS	static SLURM/Apptainer template contract
#SBATCH --ntasks=1	present	present	PASS	static SLURM/Apptainer template contract
#SBATCH --cpus-per-task=2	present	present	PASS	static SLURM/Apptainer template contract
#SBATCH --mem=4G	present	present	PASS	static SLURM/Apptainer template contract
#SBATCH --time=00:10:00	present	present	PASS	static SLURM/Apptainer template contract
%A_%a	present	present	PASS	static SLURM/Apptainer template contract
SLURM_TMPDIR	present	present	PASS	static SLURM/Apptainer template contract
trap cleanup EXIT	present	present	PASS	static SLURM/Apptainer template contract
trap on_signal USR1 TERM INT	present	present	PASS	static SLURM/Apptainer template contract
sha256sum	present	present	PASS	static SLURM/Apptainer template contract
apptainer exec	present	present	PASS	static SLURM/Apptainer template contract
--cleanenv	present	present	PASS	static SLURM/Apptainer template contract
--bind	present	present	PASS	static SLURM/Apptainer template contract
--pwd	present	present	PASS	static SLURM/Apptainer template contract
RUN_MODE	present	present	PASS	static SLURM/Apptainer template contract
native-smoke	present	present	PASS	static SLURM/Apptainer template contract
"mv ""${tmp_final}"" ""${final_json}"""	present	present	PASS	static SLURM/Apptainer template contract
"--seed ""${SEED}"""	present	present	PASS	static SLURM/Apptainer template contract
shellcheck	run when installed	NOT_FOUND	NOT_RUN	optional static linter
