Control	EvidenceTier	BestHitARO	ARO	IdentityPercent	ReferenceLengthPercent	ModelType
pseudomonas	Strict	Pseudomonas aeruginosa soxR	3004107	96.15	100.00	protein homolog model
pseudomonas	Strict	TriC	3003681	99.21	100.00	protein homolog model
pseudomonas	Strict	Pseudomonas aeruginosa emrE	3004038	95.45	100.00	protein homolog model
pseudomonas	Strict	OpmH	3003682	98.75	99.79	protein homolog model
pseudomonas	Strict	bcr-1	3003801	93.02	102.99	protein homolog model
pseudomonas	Perfect	PDC-151	3006529	100.0	100.00	protein homolog model
pseudomonas	Strict	MexT	3000814	99.63	87.61	protein overexpression model
pseudomonas	Strict	MexE	3000803	99.03	100.00	protein homolog model
pseudomonas	Strict	adeF	3000777	66.44	100.28	protein homolog model
pseudomonas	Strict	OprN	3000805	98.09	100.00	protein homolog model
pseudomonas	Strict	OpmB	3004072	95.18	100.00	protein homolog model
pseudomonas	Strict	MuxC	3004075	98.84	100.00	protein homolog model
pseudomonas	Strict	MuxB	3004074	99.42	100.00	protein homolog model
pseudomonas	Strict	ParR	3005068	94.47	100.00	protein homolog model
pseudomonas	Strict	MexC	3000800	87.34	100.00	protein homolog model
pseudomonas	Strict	PmpM	3004077	99.16	100.00	protein homolog model
pseudomonas	Strict	MexH	3000807	94.05	100.00	protein homolog model
pseudomonas	Strict	MexG	3000806	96.62	100.00	protein homolog model
pseudomonas	Strict	cprR	3005063	98.21	108.97	protein homolog model
pseudomonas	Perfect	YajC	3005040	100.0	100.00	protein homolog model
pseudomonas	Strict	MexK	3003693	98.73	100.00	protein homolog model
pseudomonas	Strict	nalD	3000819	98.11	100.00	protein overexpression model
pseudomonas	Perfect	OXA-1284	3008694	100.0	100.00	protein homolog model
pseudomonas	Perfect	rsmA	3005069	100.0	100.00	protein homolog model
pseudomonas	Strict	vanW gene in vanG cluster	3002965	31.2	97.15	protein homolog model
pseudomonas	Strict	Pseudomonas aeruginosa CpxR	3004054	98.67	100.00	protein homolog model
pseudomonas	Strict	adeF	3000777	58.96	99.62	protein homolog model
pseudomonas	Strict	MexB	3000378	99.24	100.00	protein homolog model
pseudomonas	Strict	MexA	3000377	99.74	100.00	protein homolog model
pseudomonas	Strict	MexV	3003030	95.48	100.00	protein homolog model
pseudomonas	Strict	Type A NfxB	3004059	86.56	106.42	protein overexpression model
pseudomonas	Strict	MexR	3000506	96.6	100.00	protein overexpression model
staphylococcus	Strict	mecA	3000617	99.7	100.00	protein homolog model
staphylococcus	Strict	norC	3007010	98.92	100.00	protein homolog model
staphylococcus	Perfect	mepR	3000746	100.0	100.00	protein homolog model
staphylococcus	Perfect	mepA	3000026	100.0	100.00	protein homolog model
staphylococcus	Perfect	mgrA	3000815	100.0	100.00	protein homolog model
staphylococcus	Strict	Staphylococcus aureus norA	3004667	99.74	100.00	protein homolog model
staphylococcus	Perfect	arlS	3000839	100.0	100.00	protein homolog model
staphylococcus	Perfect	arlR	3000838	100.0	100.00	protein homolog model
staphylococcus	Strict	norC	3007010	71.08	104.98	protein homolog model
staphylococcus	Strict	vanT gene in vanG cluster	3002972	33.88	53.65	protein homolog model
staphylococcus	Strict	kdpD	3004047	98.64	102.71	protein homolog model
staphylococcus	Strict	Staphylococcus aureus murA with mutation conferring resistance to fosfomycin	3003776	99.29	100.00	protein variant model
staphylococcus	Strict	Staphylococcus aureus LmrS	3004572	99.58	100.21	protein homolog model
staphylococcus	Strict	sepA	3007012	96.82	100.00	protein homolog model
staphylococcus	Perfect	sdrM	3007013	100.0	100.00	protein homolog model
staphylococcus	Perfect	Staphylococcus aureus FosB	3004661	100.0	100.00	protein homolog model
staphylococcus	Strict	tet(45)	3003196	61.22	100.22	protein homolog model
staphylococcus	Strict	Staphylococcus aureus mupA conferring resistance to mupirocin	3000521	99.61	100.00	protein homolog model
staphylococcus	Strict	ErmC	3000250	99.18	100.00	protein homolog model
staphylococcus	Strict	Staphylococcus aureus gyrA conferring resistance to fluoroquinolones	3003296	99.89	100.00	protein variant model
staphylococcus	Strict	Staphylococcus aureus parC conferring resistance to fluoroquinolones	3003312	99.88	100.00	protein variant model
