AMRGeneFamily	GenesWithLabel	FractionalGeneEquivalent	MOCK1ReadsFromGenesWithLabel	MOCK1FractionalRawReads	MOCK2ReadsFromGenesWithLabel	MOCK2FractionalRawReads
glycopeptide resistance gene cluster	17.0	8.5	977.0	488.5	987.0	493.5
resistance-nodulation-cell division (RND) antibiotic efflux pump	7.0	7.0	519.0	519.0	567.0	567.0
small multidrug resistance (SMR) antibiotic efflux pump	6.0	6.0	45.0	45.0	45.0	45.0
vanT	7.0	3.5	459.0	229.5	467.0	233.5
vanW	6.0	3.0	296.0	148.0	306.0	153.0
elfamycin resistant EF-Tu	2.0	2.0	80.0	80.0	107.0	107.0
Van ligase	2.0	1.0	185.0	92.5	171.0	85.5
fosfomycin thiol transferase	1.0	1.0	3.0	3.0	4.0	4.0
lipid A phosphatase	1.0	1.0	23.0	23.0	22.0	22.0
major facilitator superfamily (MFS) antibiotic efflux pump	1.0	1.0	12.0	12.0	17.0	17.0
vanY	2.0	1.0	37.0	18.5	43.0	21.5
OXA beta-lactamase	1.0	0.5	23.0	11.5	29.0	14.5
OXA-548-like beta-lactamase	1.0	0.5	23.0	11.5	29.0	14.5
