DrugClass	GenesWithLabel	FractionalGeneEquivalent	MOCK1ReadsFromGenesWithLabel	MOCK1FractionalRawReads	MOCK2ReadsFromGenesWithLabel	MOCK2FractionalRawReads
glycopeptide antibiotic	17.0	17.0	977.0	977.0	987.0	987.0
disinfecting agents and antiseptics	6.0	6.0	45.0	45.0	45.0	45.0
fluoroquinolone antibiotic	8.0	4.33333333	531.0	270.66666667	584.0	300.0
tetracycline antibiotic	6.0	3.0	514.0	257.0	564.0	282.0
elfamycin antibiotic	2.0	2.0	80.0	80.0	107.0	107.0
penicillin beta-lactam	1.0	1.0	23.0	23.0	29.0	29.0
peptide antibiotic	1.0	1.0	23.0	23.0	22.0	22.0
phosphonic acid antibiotic	1.0	1.0	3.0	3.0	4.0	4.0
diaminopyrimidine antibiotic	1.0	0.33333333	5.0	1.66666667	3.0	1.0
phenicol antibiotic	1.0	0.33333333	5.0	1.66666667	3.0	1.0
