name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Chlorobium	1091	G	4632	27	4659	0.05517
Pelodictyon	1099	G	24	0	24	0.00028
Chlorobaculum	256319	G	708	2	710	0.00841
Porphyromonas	836	G	1717	72	1789	0.02118
Phocaeicola	909656	G	748	71	819	0.00970
Bacteroides	816	G	413	13	426	0.00504
Gemmatimonas	173479	G	5715	7	5722	0.06776
Shewanella	22	G	5451	86	5537	0.06556
Pseudomonas	286	G	3541	70	3611	0.04276
Stenotrophomonas	40323	G	21	2	23	0.00027
Nitrosomonas	914	G	3510	48	3558	0.04213
Paraburkholderia	1822464	G	1013	28	1041	0.01233
Bordetella	517	G	203	7	210	0.00249
Leptothrix	88	G	57	1	58	0.00069
Ruegeria	97050	G	49	0	49	0.00058
Rhodopirellula	265488	G	4094	7	4101	0.04856
Akkermansia	239934	G	584	0	584	0.00692
Desulfobulbus	893	G	2713	7	2720	0.03221
Geobacter	28231	G	511	2	513	0.00607
Desulfovibrio	872	G	412	2	414	0.00490
Persephonella	182899	G	2248	1	2249	0.02663
Sulfurihydrogenibium	212790	G	296	0	296	0.00350
Hydrogenobaculum	168657	G	597	0	597	0.00707
Treponema	157	G	496	1	497	0.00589
Wolinella	843	G	419	1	420	0.00497
Acidobacterium	33973	G	328	0	328	0.00388
Dictyoglomus	13	G	101	0	101	0.00120
Caldicellulosiruptor	44000	G	7988	63	8051	0.09533
Thermoanaerobacter	1754	G	3436	52	3488	0.04130
Acetivibrio	35829	G	397	8	405	0.00480
Desulfitobacterium	36853	G	13	0	13	0.00015
Enterococcus	1350	G	80	1	81	0.00096
Chloroflexus	1107	G	1002	3	1005	0.01190
Salinispora	168694	G	247	23	270	0.00320
Micromonospora	1873	G	45	3	48	0.00057
Thermotoga	2335	G	13581	64	13645	0.16157
Deinococcus	1298	G	172	0	172	0.00204
Fusobacterium	848	G	1110	6	1116	0.01321
Methanocaldococcus	196118	G	5121	28	5149	0.06097
Methanococcus	2184	G	959	2	961	0.01138
Methanothermus	2179	G	2767	1	2768	0.03278
Methanobrevibacter	2172	G	73	2	75	0.00089
Methanopyrus	2319	G	287	0	287	0.00340
Pyrococcus	2260	G	2105	7	2112	0.02501
Halobacterium	2239	G	1508	68	1576	0.01866
Haloferax	2251	G	13	0	13	0.00015
Methanosarcina	2207	G	17	0	17	0.00020
Methanomethylovorans	101191	G	17	0	17	0.00020
Archaeoglobus	2233	G	320	0	320	0.00379
Candidatus Aciduliprofundum	379546	G	13	0	13	0.00015
Ignicoccus	54258	G	1212	1	1213	0.01436
Pyrobaculum	2276	G	479	0	479	0.00567
Sulfurisphaera	69655	G	68	1	69	0.00082
Homo	9605	G	11	0	11	0.00013
