AssignmentRank	DirectFragments	PercentOfAllFragments	PercentOfClassifiedFragments
Root	31	0.0310027902511226	0.03589084551885427
Domain	75	0.07500675060755468	0.08683269077142163
Kingdom	23	0.023002070186316767	0.0266286918365693
Phylum	71	0.07100639057515176	0.08220161393027914
Class	124	0.1240111610044904	0.14356338207541708
Order	189	0.18901701153103778	0.2188183807439825
Family	2085	2.08518766689002	2.413948803445521
Genus	22778	22.780050204518407	26.37166707188589
Species	21299	21.300917082537428	24.659326409873454
Other rank	39698	39.70157314158274	45.961122109918605
