Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	Estimated reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# total reads	# left	# right	Mapped (%)	Reference mapped (%)	Properly paired (%)	Reference properly paired (%)	Avg. coverage depth	Reference avg. coverage depth	Coverage >= 1x (%)	Reference coverage >= 1x (%)	# large blocks misassemblies	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# structural variations	# possible TEs	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	Avg contig read support	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	# genomic features	# operons	Complete BUSCO (%)	Partial BUSCO (%)	# predicted genes (unique)	# predicted genes (>= 0 bp)	# predicted genes (>= 300 bp)	# predicted genes (>= 1500 bp)	# predicted genes (>= 3000 bp)	# predicted rRNA genes	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90	K-mer-based compl. (%)	K-mer-based cor. length (%)	K-mer-based mis. length (%)	# k-mer-based misjoins
sr-megahit-m1	14794	14794	1980	855	270	88	55461594	55461594	30450030	22819080	13976275	7754426	14794	307522	55461594	-	-	47.51	-	6197	-	1387	-	24056.9	-	1489	-	10051	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
sr-metaspades-m1	14461	14461	2041	826	299	109	58170565	58170565	33835102	25495723	17512659	10894523	14461	460045	58170565	-	-	47.73	-	7353	-	1425	-	35194.9	-	1246	-	9531	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
sr-megahit-m2	14811	14811	1847	780	259	101	54477949	54477949	29158240	21881250	13851427	8540963	14811	307522	54477949	-	-	47.45	-	5906	-	1374	-	24254.1	-	1494	-	10130	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
sr-metaspades-m2	14697	14697	1894	785	283	114	57015313	57015313	32162458	24621183	16899625	11166289	14697	343250	57015313	-	-	47.68	-	6781	-	1387	-	34562.9	-	1263	-	9812	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
sr-megahit-co	18354	18354	2432	1278	528	233	84811518	84811518	56148978	48075803	36401266	26136062	18354	1064594	84811518	-	-	48.87	-	15928	-	1411	-	80132.8	-	830	-	11165	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
sr-metaspades-co	19158	19158	2327	1201	515	243	88166433	88166433	57776529	50041881	39368791	29838114	19158	880531	88166433	-	-	49.02	-	17124	-	1412	-	89312.6	-	743	-	11693	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
lr-flye-ont	2423	2423	2239	1793	894	402	143770812	143770812	143102816	139758483	125246936	108116467	2423	7136817	143770812	-	-	50.70	-	441240	-	20262	-	1291481.1	-	47	-	1080	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
lr-flye-hifi	806	806	780	717	497	310	169457769	169457769	169369285	168892662	165110507	158286266	806	7147007	169457769	-	-	51.94	-	2013697	-	75706	-	2711172.4	-	22	-	218	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
lr-hifiasm-hifi	885	885	883	867	657	320	170075586	170075586	170067907	169929434	166029799	153914075	885	7146998	170075586	-	-	51.98	-	2154824	-	52272	-	2674732.9	-	22	-	304	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
lr-metamdbg-hifi	1249	1249	1244	1061	583	298	179428525	179428525	179415325	177839659	170142503	160241157	1249	7143710	179428525	-	-	52.09	-	2007072	-	44994	-	2472842.3	-	25	-	325	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
