Donor	Approach	Taxa	Total predicted metabolites	Total extracellular metabolites	Unique metabolites	Confirmed unique metabolites (total)	Data loss (%)	Confirmed unique metabolites (%)
Donor 1	Reference ≥5%	6.0	5568.0	131.0	1248.0	167.0	31.41	19.51
Donor 1	Reference ≥2.5%	10.0	9149.0	145.0	1290.0	170.0	30.62	18.99
Donor 1	Reference ≥1%	20.0	17812.0	184.0	1402.0	180.0	30.03	18.35
Donor 1	Reference ≥0.5%	34.0	28583.0	200.0	1500.0	183.0	30.13	17.46
Donor 1	MAG high	56.0	44928.0	191.0	1519.0	184.0	30.22	17.36
Donor 1	MAG high + medium	86.0	67924.0	196.0	1543.0	185.0	30.33	17.21
Donor 1	MAG normalized	34.0	28172.0	185.0	1493.0	183.0	30.21	17.56
Donor 2	Reference ≥5%	2.0	1910.0	102.0	1062.0	145.0	27.5	18.83
Donor 2	Reference ≥2.5%	6.0	5570.0	148.0	1251.0	154.0	31.73	18.03
Donor 2	Reference ≥1%	24.0	21318.0	176.0	1404.0	171.0	30.77	17.59
Donor 2	Reference ≥0.5%	37.0	33661.0	219.0	1562.0	180.0	30.15	16.5
Donor 2	MAG high	67.0	55818.0	223.0	1576.0	180.0	30.71	16.48
Donor 2	MAG high + medium	84.0	69840.0	223.0	1579.0	180.0	30.72	16.45
Donor 2	MAG normalized	37.0	31902.0	221.0	1545.0	180.0	30.36	16.73
