Parent	Category	Count	Comparison
Donor 1	Common	141	Within donor · separate approaches
Donor 1	Only MAG-guided	4	Within donor · separate approaches
Donor 1	Only reference-guided	6	Within donor · separate approaches
Donor 2	Common	147	Within donor · separate approaches
Donor 2	Only MAG-guided	2	Within donor · separate approaches
Donor 2	Only reference-guided	2	Within donor · separate approaches
MAG-guided	Present in donor 1	1	Between donors · separate approaches
MAG-guided	Present in donor 2	5	Between donors · separate approaches
Reference-guided	Present in donor 1	5	Between donors · separate approaches
Reference-guided	Present in donor 2	7	Between donors · separate approaches
Donor 1	Common	131	Within donor · combined output
Donor 1	Only MAG-guided	14	Within donor · combined output
Donor 1	Only reference-guided	3	Within donor · combined output
Donor 2	Common	144	Within donor · combined output
Donor 2	Novel	1	Within donor · combined output
Donor 2	Only MAG-guided	2	Within donor · combined output
Donor 2	Only reference-guided	2	Within donor · combined output
