Parent	Category	PathwayID	PathwayName	Source
Reference-guided	Present in donor 1	map01062	Biosynthesis of terpenoids and steroids	KEGG
Reference-guided	Present in donor 1	SMP00037	Lysine Degradation	HMDB
Reference-guided	Present in donor 1	map00970	Aminoacyl-tRNA biosynthesis	KEGG
Reference-guided	Present in donor 1	SMP00017	Vitamin B6 Metabolism	HMDB
Reference-guided	Present in donor 1	SMP00071	Ketone Body Metabolism	HMDB
Reference-guided	Present in donor 2	map00643	Styrene degradation	KEGG
Reference-guided	Present in donor 2	SMP00016	Propanoate Metabolism	HMDB
Reference-guided	Present in donor 2	map00660	C5-Branched dibasic acid metabolism	KEGG
Reference-guided	Present in donor 2	SMP00465	Carnitine Synthesis	HMDB
Reference-guided	Present in donor 2	SMP00450	Phytanic Acid Peroxisomal Oxidation	HMDB
Reference-guided	Present in donor 2	ULS00328	propane-1,3-diol from glycerol (reductive route)	ChEBI
Reference-guided	Present in donor 2	map00562	Inositol phosphate metabolism	KEGG
MAG-guided	Present in donor 1	map01062	Biosynthesis of terpenoids and steroids	KEGG
MAG-guided	Present in donor 2	map00310	Lysine degradation	KEGG
MAG-guided	Present in donor 2	SMP00016	Propanoate Metabolism	HMDB
MAG-guided	Present in donor 2	SMP00020	Arginine and Proline Metabolism	HMDB
MAG-guided	Present in donor 2	ULS00328	propane-1,3-diol from glycerol (reductive route)	ChEBI
MAG-guided	Present in donor 2	ULS00322	urate from hypoxanthine	ChEBI
