Donor	Approach	Metric	Value
Donor 1	Reference ≥0.5%	Total predicted metabolites	28583.0
Donor 1	MAG normalized	Total predicted metabolites	28172.0
Donor 1	Reference ≥0.5%	Unique predicted metabolites	1500.0
Donor 1	MAG normalized	Unique predicted metabolites	1493.0
Donor 1	Reference ≥0.5%	Total predicted metabolites after gapfilling	30111.0
Donor 1	MAG normalized	Total predicted metabolites after gapfilling	29128.0
Donor 1	Reference ≥0.5%	Unique predicted metabolites after gapfilling	1558.0
Donor 1	MAG normalized	Unique predicted metabolites after gapfilling	1536.0
Donor 2	Reference ≥0.5%	Total predicted metabolites	33661.0
Donor 2	MAG normalized	Total predicted metabolites	31902.0
Donor 2	Reference ≥0.5%	Unique predicted metabolites	1562.0
Donor 2	MAG normalized	Unique predicted metabolites	1545.0
Donor 2	Reference ≥0.5%	Total predicted metabolites after gapfilling	34927.0
Donor 2	MAG normalized	Total predicted metabolites after gapfilling	33199.0
Donor 2	Reference ≥0.5%	Unique predicted metabolites after gapfilling	1599.0
Donor 2	MAG normalized	Unique predicted metabolites after gapfilling	1574.0
