bin	bin_set	unique_SCGs	redundant_SCGs	SCG_set	size	contigs	N50	bin_score	SCG_completeness	SCG_redundancy
semibin2__039	semibin2-self-supervised	38	0	archaea	1734578	13	443866	1	100	0
semibin2__012	semibin2-self-supervised	51	0	bacteria	1716008	42	82868	1	100	0
taxvamb__034	taxvamb-kraken2	38	0	archaea	1734637	43	79303	1	100	0
metabat2-multisample__024	metabat2-multisample	51	0	bacteria	2506842	78	58955	1	100	0
semibin2__032	semibin2-self-supervised	38	0	archaea	1255643	43	56733	1	100	0
taxvamb__008	taxvamb-kraken2	38	0	archaea	1937978	83	44823	1	100	0
semibin2__043	semibin2-self-supervised	50	0	bacteria	1920309	8	672984	0.980392156862745	98	0
taxvamb__025	taxvamb-kraken2	50	0	bacteria	2270897	10	372866	0.980392156862745	98	0
vamb__013_sub	vamb-taxonomy-free	50	0	bacteria	1875731	52	88409	0.980392156862745	98	0
semibin2__030	semibin2-self-supervised	50	0	bacteria	2211895	64	68740	0.980392156862745	98	0
semibin2__023	semibin2-self-supervised	50	0	bacteria	2625969	70	59244	0.980392156862745	98	0
vamb__002_sub	vamb-taxonomy-free	50	0	bacteria	1897341	52	48450	0.980392156862745	98	0
semibin2__040	semibin2-self-supervised	50	0	bacteria	2050369	128	26973	0.980392156862745	98	0
taxvamb__006_sub	taxvamb-kraken2	49	0	bacteria	3018503	151	58018	0.96078431372549	96	0
taxvamb__033	taxvamb-kraken2	50	1	bacteria	5618393	189	52966	0.958588235294118	98	2
metabat2-multisample__008	metabat2-multisample	50	1	bacteria	2575200	72	50296	0.958588235294118	98	2
vamb__016_sub	vamb-taxonomy-free	50	1	bacteria	4907840	878	7019	0.958588235294118	98	2
taxvamb__013	taxvamb-kraken2	36	0	archaea	1963322	194	14759	0.947368421052632	95	0
semibin2__004	semibin2-self-supervised	48	0	bacteria	2092156	258	11697	0.941176470588235	94	0
semibin2__015	semibin2-self-supervised	34	0	archaea	1083632	272	4753	0.894736842105263	89	0
taxvamb__011	taxvamb-kraken2	46	1	bacteria	6370188	550	17235	0.879113384484229	90	2
vamb__024_sub	vamb-taxonomy-free	33	2	archaea	1423600	407	3843	0.805741626794258	87	5
semibin2__031_sub	semibin2-self-supervised	30	0	archaea	418628	71	8323	0.789473684210526	79	0
metabat2-mock1__016_sub	metabat2-mock1-only	37	0	bacteria	1449764	476	3305	0.725490196078431	73	0
semibin2__018_sub	semibin2-self-supervised	24	0	archaea	943833	323	3170	0.631578947368421	63	0
taxvamb__024_sub	taxvamb-kraken2	27	0	bacteria	1117653	360	3426	0.529411764705882	53	0
