Module ID	Module	Module Category	SGB_001 Module presence	SGB_002 Module presence	SGB_003 Module presence	SGB_004 Module presence	SGB_005 Module presence	SGB_006 Module presence	SGB_007 Module presence	SGB_008 Module presence	SGB_009 Module presence	SGB_010 Module presence	SGB_011 Module presence	SGB_012 Module presence	SGB_013 Module presence	SGB_014 Module presence	SGB_015 Module presence	SGB_016 Module presence	SGB_017 Module presence	SGB_018 Module presence	SGB_019 Module presence	SGB_020 Module presence	SGB_021 Module presence	SGB_022 Module presence	SGB_023 Module presence	SGB_024 Module presence	TRUNC_050 Module presence	TRUNC_070 Module presence	TRUNC_090 Module presence	TRUNC_100 Module presence
M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Central carbohydrate metabolism	Present	Present	Absent	Present	Present	Present	Present	Absent	Absent	Present	Absent	Present	Present	Present	Absent	Present	Present	Absent	Present	Absent	Present	Present	Present	Present	Absent	Present	Present	Present
M00002	Glycolysis, core module involving three-carbon compounds	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Present	Present	Present	Present	Present	Absent	Present	Present	Absent	Present	Present	Present	Present	Present	Present	Absent	Absent	Present	Present
M00003	Gluconeogenesis, oxaloacetate => fructose-6P	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Present	Present	Present	Absent	Present	Absent	Present	Present	Absent	Present	Present	Absent	Present	Absent	Absent	Absent	Absent	Absent	Present
M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Central carbohydrate metabolism	Absent	Present	Absent	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Present	Absent	Present	Present	Absent	Absent	Present	Present
M00005	PRPP biosynthesis, ribose 5P => PRPP	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Present	Present	Present	Present	Present	Present	Absent	Present	Present	Present
M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	Central carbohydrate metabolism	Absent	Present	Absent	Present	Absent	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Present	Absent	Present	Present	Present
M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Present	Absent	Absent	Present	Present	Absent	Present	Present	Absent	Absent	Absent	Present	Present	Present	Present	Absent	Absent	Present	Present
M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Central carbohydrate metabolism	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent
M00009	Citrate cycle (TCA cycle, Krebs cycle)	Central carbohydrate metabolism	Present	Present	Absent	Present	Present	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent	Present	Present
M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Central carbohydrate metabolism	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Central carbohydrate metabolism	Present	Present	Absent	Present	Present	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent	Present	Present
M00012	Glyoxylate cycle	Other carbohydrate metabolism	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00013	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	Other carbohydrate metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00014	Glucuronate pathway (uronate pathway)	Other carbohydrate metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00015	Proline biosynthesis, glutamate => proline	Arginine and proline metabolism	Present	Present	Absent	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Present	Present	Absent	Absent	Absent	Present	Present	Present	Present	Present	Present	Present	Present
M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	Lysine metabolism	Present	Present	Absent	Present	Present	Present	Absent	Absent	Absent	Present	Absent	Absent	Absent	Present	Absent	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Present	Absent	Absent	Present	Present
M00017	Methionine biosynthesis, aspartate => homoserine => methionine	Cysteine and methionine metabolism	Absent	Present	Absent	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present
M00018	Threonine biosynthesis, aspartate => homoserine => threonine	Serine and threonine metabolism	Present	Present	Absent	Present	Present	Present	Present	Absent	Absent	Present	Absent	Absent	Absent	Present	Absent	Present	Present	Absent	Absent	Present	Present	Present	Present	Present	Absent	Absent	Present	Present
M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	Branched-chain amino acid metabolism	Present	Present	Absent	Present	Present	Present	Present	Absent	Absent	Present	Present	Absent	Absent	Present	Present	Present	Present	Absent	Absent	Absent	Present	Absent	Present	Present	Present	Present	Present	Present
M00020	Serine biosynthesis, glycerate-3P => serine	Serine and threonine metabolism	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00021	Cysteine biosynthesis, serine => cysteine	Cysteine and methionine metabolism	Absent	Absent	Absent	Present	Present	Present	Present	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Present	Present	Absent	Present	Absent	Absent	Absent	Absent
M00022	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	Aromatic amino acid metabolism	Present	Present	Absent	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Present	Present	Present	Absent	Absent	Absent	Present	Present
M00023	Tryptophan biosynthesis, chorismate => tryptophan	Aromatic amino acid metabolism	Absent	Present	Absent	Present	Present	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present
M00024	Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine	Aromatic amino acid metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00025	Tyrosine biosynthesis, chorismate => HPP => tyrosine	Aromatic amino acid metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
