CAZyme ID	SGB_001 Hit numbers	SGB_001 Hits	SGB_002 Hit numbers	SGB_002 Hits	SGB_003 Hit numbers	SGB_003 Hits	SGB_004 Hit numbers	SGB_004 Hits	SGB_005 Hit numbers	SGB_005 Hits	SGB_006 Hit numbers	SGB_006 Hits	SGB_007 Hit numbers	SGB_007 Hits	SGB_008 Hit numbers	SGB_008 Hits	SGB_009 Hit numbers	SGB_009 Hits	SGB_010 Hit numbers	SGB_010 Hits	SGB_011 Hit numbers	SGB_011 Hits	SGB_012 Hit numbers	SGB_012 Hits	SGB_013 Hit numbers	SGB_013 Hits	SGB_014 Hit numbers	SGB_014 Hits	SGB_015 Hit numbers	SGB_015 Hits	SGB_016 Hit numbers	SGB_016 Hits	SGB_017 Hit numbers	SGB_017 Hits	SGB_018 Hit numbers	SGB_018 Hits	SGB_019 Hit numbers	SGB_019 Hits	SGB_020 Hit numbers	SGB_020 Hits	SGB_021 Hit numbers	SGB_021 Hits	SGB_022 Hit numbers	SGB_022 Hits	SGB_023 Hit numbers	SGB_023 Hits	SGB_024 Hit numbers	SGB_024 Hits	TRUNC_050 Hit numbers	TRUNC_050 Hits	TRUNC_070 Hit numbers	TRUNC_070 Hits	TRUNC_090 Hit numbers	TRUNC_090 Hits	TRUNC_100 Hit numbers	TRUNC_100 Hits
GH001	0	None	0	None	0	None	0	None	0	None	1	SGB_006__k141_2085_12	2	SGB_007__k141_14113_11;SGB_007__k141_4178_13	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_016__k141_2287_18	3	SGB_017__k141_17458_1;SGB_017__k141_18370_1;SGB_017__k141_18370_18	0	None	2	SGB_019__k141_21892_481;SGB_019__k141_21892_629	0	None	0	None	0	None	1	SGB_023__k141_52955_34	1	SGB_024__k141_38992_15	0	None	0	None	0	None	0	None
GH002	0	None	0	None	3	SGB_003__k141_1151_14;SGB_003__k141_29519_9;SGB_003__k141_38587_43	0	None	0	None	1	SGB_006__k141_50846_3	2	SGB_007__k141_43018_10;SGB_007__k141_43140_22	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	4	SGB_016__k141_12034_9;SGB_016__k141_14549_13;SGB_016__k141_33114_23;SGB_016__k141_4162_19	2	SGB_017__k141_12839_19;SGB_017__k141_18370_2	0	None	0	None	0	None	1	SGB_021__k141_13121_4	0	None	4	SGB_023__k141_24642_1;SGB_023__k141_33459_19;SGB_023__k141_51376_1;SGB_023__k141_55369_1	3	SGB_024__k141_15871_1;SGB_024__k141_31494_60;SGB_024__k141_38992_65	0	None	0	None	0	None	0	None
GH003	1	SGB_001__k141_19229_13	1	SGB_002__k141_22112_47	1	SGB_003__k141_6048_16	2	SGB_004__k141_33027_26;SGB_004__k141_34119_9	2	SGB_005__k141_44250_45;SGB_005__k141_57157_17	2	SGB_006__k141_2085_9;SGB_006__k141_8422_3	2	SGB_007__k141_16003_8;SGB_007__k141_44620_5	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	2	SGB_016__k141_2287_5;SGB_016__k141_41649_11	1	SGB_017__k141_17458_2	0	None	0	None	0	None	0	None	2	SGB_022__k141_31432_100;SGB_022__k141_31432_212	3	SGB_023__k141_12488_2;SGB_023__k141_28037_23;SGB_023__k141_36301_231	3	SGB_024__k141_27774_38;SGB_024__k141_41027_45;SGB_024__k141_48847_43	1	TRUNC_050__k141_22112_47	1	TRUNC_070__k141_22112_47	1	TRUNC_090__k141_22112_47	1	TRUNC_100__k141_22112_47
GH004	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	2	SGB_016__k141_3492_5;SGB_016__k141_53060_10	1	SGB_017__k141_18370_19	0	None	0	None	0	None	0	None	0	None	4	SGB_023__k141_1521_14;SGB_023__k141_36301_102;SGB_023__k141_57302_7;SGB_023__k141_9050_1	4	SGB_024__k141_31494_64;SGB_024__k141_54566_17;SGB_024__k141_57264_7;SGB_024__k141_9049_1	0	None	0	None	0	None	0	None
GH005	0	None	0	None	0	None	0	None	0	None	0	None	7	SGB_007__k141_15541_16;SGB_007__k141_32077_2;SGB_007__k141_40327_3;SGB_007__k141_43018_5;SGB_007__k141_43018_6;SGB_007__k141_46661_35;SGB_007__k141_9490_29	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	4	SGB_016__k141_14549_3;SGB_016__k141_31491_8;SGB_016__k141_4872_65;SGB_016__k141_6940_35	1	SGB_017__k141_25084_22	0	None	1	SGB_019__k141_56778_177	0	None	2	SGB_021__k141_52186_8;SGB_021__k141_52355_20	0	None	1	SGB_023__k141_24642_17	1	SGB_024__k141_15871_37	0	None	0	None	0	None	0	None
GH006	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_007__k141_32077_48	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None
GH008	0	None	0	None	0	None	0	None	0	None	0	None	3	SGB_007__k141_19187_3;SGB_007__k141_19187_4;SGB_007__k141_55861_5	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None
GH009	0	None	0	None	0	None	0	None	0	None	0	None	3	SGB_007__k141_32439_35;SGB_007__k141_42258_39;SGB_007__k141_56881_80	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_016__k141_4872_64	0	None	0	None	0	None	0	None	0	None	1	SGB_022__k141_20140_99	0	None	0	None	0	None	0	None	0	None	0	None
GH010	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_007__k141_50516_16	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	5	SGB_016__k141_2323_11;SGB_016__k141_2323_14;SGB_016__k141_2323_16;SGB_016__k141_6940_17;SGB_016__k141_9063_74	0	None	0	None	0	None	0	None	3	SGB_021__k141_24060_18;SGB_021__k141_38218_26;SGB_021__k141_4645_3	0	None	2	SGB_023__k141_2340_14;SGB_023__k141_2340_5	3	SGB_024__k141_15871_79;SGB_024__k141_27774_1;SGB_024__k141_48847_50	0	None	0	None	0	None	0	None
GH012	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	2	SGB_023__k141_33459_119;SGB_023__k141_33459_120	2	SGB_024__k141_26521_8;SGB_024__k141_26521_9	0	None	0	None	0	None	0	None
