ReferenceID	Species	DomainTruth	SourceFile	SourceHeader	LengthBp
ZYMOV2|Bacillus_subtilis|00001|BS.pilon.polished.v3.ST170922	Bacillus subtilis	Prokaryote	Bacillus_subtilis_complete_genome.fasta	BS.pilon.polished.v3.ST170922	4045677
ZYMOV2|Cryptococcus_neoformans|00001|34076	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34076 221832 3052178 9196+,...,11517-	221832
ZYMOV2|Cryptococcus_neoformans|00002|35312	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35312 218868 3012463 30929-,...,24871-	218868
ZYMOV2|Cryptococcus_neoformans|00003|34941	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34941 209342 2848350 28146-,...,1303+	209342
ZYMOV2|Cryptococcus_neoformans|00004|34323	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34323 189043 2576127 14877-,...,29942-	189043
ZYMOV2|Cryptococcus_neoformans|00005|34677	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34677 186330 2378226 22354+,...,20807-	186330
ZYMOV2|Cryptococcus_neoformans|00006|34713	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34713 180261 2329897 23221+,...,24705+	180261
ZYMOV2|Cryptococcus_neoformans|00007|34177	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34177 177293 2411531 11274+,...,31022-	177293
ZYMOV2|Cryptococcus_neoformans|00008|35132	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35132 175604 2410940 29942+,...,27900-	175604
ZYMOV2|Cryptococcus_neoformans|00009|33960	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33960 172784 2218128 6804+,...,23325-	172784
ZYMOV2|Cryptococcus_neoformans|00010|35781	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35781 170764 2224968 3484+,...,5170+	170764
ZYMOV2|Cryptococcus_neoformans|00011|35630	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35630 154591 2003214 32446-,...,12760+	154591
ZYMOV2|Cryptococcus_neoformans|00012|34322	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34322 151605 2827405 14877-,...,17620-	151605
ZYMOV2|Cryptococcus_neoformans|00013|33666	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33666 148107 1897201 570+,...,19995+	148107
ZYMOV2|Cryptococcus_neoformans|00014|34457	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34457 140956 1915672 17670+,...,3488+	140956
ZYMOV2|Cryptococcus_neoformans|00015|34549	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34549 137324 1796746 19659-,...,18330+	137324
ZYMOV2|Cryptococcus_neoformans|00016|34952	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34952 132456 1887256 28378+,...,9081+	132456
ZYMOV2|Cryptococcus_neoformans|00017|34529	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34529 129477 1658288 19134+,...,23677-	129477
ZYMOV2|Cryptococcus_neoformans|00018|35739	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35739 122590 1660957 32938+,...,12537+	122590
ZYMOV2|Cryptococcus_neoformans|00019|34418	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34418 121824 1550792 16799+,...,17005-	121824
ZYMOV2|Cryptococcus_neoformans|00020|34532	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34532 115682 1471480 19191+,...,26026-	115682
ZYMOV2|Cryptococcus_neoformans|00021|34378	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34378 115152 1469785 15809-,...,23113-	115152
ZYMOV2|Cryptococcus_neoformans|00022|34465	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34465 114824 1486972 17929+,...,24864+	114824
ZYMOV2|Cryptococcus_neoformans|00023|35334	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35334 109782 1473722 31022+,...,24683+	109782
ZYMOV2|Cryptococcus_neoformans|00024|34100	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34100 106378 1353725 9610+,...,5130+	106378
ZYMOV2|Cryptococcus_neoformans|00025|34010	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34010 106263 1390452 7984+,32147+	106263
ZYMOV2|Cryptococcus_neoformans|00026|30189	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	30189 104344 1345129 3625-,22749+	104344
ZYMOV2|Cryptococcus_neoformans|00027|34702	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34702 102321 1430819 22848-,...,29695-	102321
ZYMOV2|Cryptococcus_neoformans|00028|34337	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34337 100903 659141 15165+,...,32260+	100903
ZYMOV2|Cryptococcus_neoformans|00029|34718	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34718 94296 1190040 23337+,...,9712+	94296
ZYMOV2|Cryptococcus_neoformans|00030|34662	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34662 91780 605127 22089-,...,10311-	91780
ZYMOV2|Cryptococcus_neoformans|00031|35796	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35796 89833 1215940 11029-,...,20921+	89833
ZYMOV2|Cryptococcus_neoformans|00032|34559	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34559 87374 1210257 19950+,...,28378+	87374
ZYMOV2|Cryptococcus_neoformans|00033|33966	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33966 86038 1134490 6915+,...,18783-	86038
ZYMOV2|Cryptococcus_neoformans|00034|34299	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34299 81378 1170648 14493+,...,30247+	81378
ZYMOV2|Cryptococcus_neoformans|00035|24351	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	24351 80097 1053698	80097
ZYMOV2|Cryptococcus_neoformans|00036|34198	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34198 77847 1238421 11773+,...,16160+	77847
ZYMOV2|Cryptococcus_neoformans|00037|33925	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33925 77340 504176 6113-,...,19029+	77340
ZYMOV2|Cryptococcus_neoformans|00038|33889	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33889 76789 999304 5538+,...,31554-	76789
ZYMOV2|Cryptococcus_neoformans|00039|33919	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33919 75406 991495 5946+,...,14877+	75406
ZYMOV2|Cryptococcus_neoformans|00040|34972	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34972 75181 988790 28730+,...,233-	75181
ZYMOV2|Cryptococcus_neoformans|00041|35289	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35289 75066 497739 30761+,...,2318-	75066
ZYMOV2|Cryptococcus_neoformans|00042|33806	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33806 74864 1020653 3431+,...,24061+	74864
ZYMOV2|Cryptococcus_neoformans|00043|35019	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35019 72851 986044 29419+,...,24706+	72851
ZYMOV2|Cryptococcus_neoformans|00044|34157	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34157 72716 1130864 10891+,18567+	72716
ZYMOV2|Cryptococcus_neoformans|00045|34667	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34667 72352 1006473 22210+,...,9081+	72352
ZYMOV2|Cryptococcus_neoformans|00046|34992	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34992 71687 943345 29267-,...,14711+	71687
ZYMOV2|Cryptococcus_neoformans|00047|33847	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33847 71301 1004972 4615-,...,32134+	71301
ZYMOV2|Cryptococcus_neoformans|00048|35200	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35200 71006 909120 30275-,...,4436+	71006
ZYMOV2|Cryptococcus_neoformans|00049|34971	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34971 66963 865689 28631-,14777-,23709+	66963
ZYMOV2|Cryptococcus_neoformans|00050|34167	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34167 66451 926046 11116+,32283+,30347+	66451
ZYMOV2|Cryptococcus_neoformans|00051|34603	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34603 66242 851583 20955+,28226-	66242
ZYMOV2|Cryptococcus_neoformans|00052|33915	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33915 66211 836656 5898-,...,3867+	66211
ZYMOV2|Cryptococcus_neoformans|00053|34538	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34538 66023 892909 19401-,...,26388-	66023
ZYMOV2|Cryptococcus_neoformans|00054|34581	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34581 65770 912110 20450+,...,4708+	65770
ZYMOV2|Cryptococcus_neoformans|00055|33661	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33661 65209 415901 507+,...,30901+	65209
ZYMOV2|Cryptococcus_neoformans|00056|34686	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34686 64516 428865 22543+,...,30950+	64516
ZYMOV2|Cryptococcus_neoformans|00057|35296	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35296 64438 417764 30800+,...,30649-	64438
ZYMOV2|Cryptococcus_neoformans|00058|35689	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35689 63460 813468 32721+,...,27710-	63460
ZYMOV2|Cryptococcus_neoformans|00059|35482	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35482 62933 409541 31762-,...,31056-	62933
ZYMOV2|Cryptococcus_neoformans|00060|33917	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33917 62639 768455 5908-,...,31092+	62639
ZYMOV2|Cryptococcus_neoformans|00061|34528	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34528 61906 814116 19119+,...,5735+	61906
ZYMOV2|Cryptococcus_neoformans|00062|34068	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34068 61802 802765 9091+,...,14196+	61802
ZYMOV2|Cryptococcus_neoformans|00063|33675	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33675 61478 402524 599+,...,9426-	61478
ZYMOV2|Cryptococcus_neoformans|00064|18843	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	18843 60772 854942	60772
ZYMOV2|Cryptococcus_neoformans|00065|35526	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35526 60381 796116 31965+,...,13221+	60381
ZYMOV2|Cryptococcus_neoformans|00066|34800	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34800 59432 398191 24954+,...,31393+	59432
