Label	Command	ExitStatus	Stdout	Stderr	Timing
fastp-eukdetect	reused checksum-stable completed output	0	/workspace/wechat/Metagenome/work/article58/logs/fastp-eukdetect.stdout.log	/workspace/wechat/Metagenome/work/article58/logs/fastp-eukdetect.stderr.log	/workspace/wechat/Metagenome/work/article58/logs/fastp-eukdetect.time.txt
fastp-assembly	reused checksum-stable completed output	0	/workspace/wechat/Metagenome/work/article58/logs/fastp-assembly.stdout.log	/workspace/wechat/Metagenome/work/article58/logs/fastp-assembly.stderr.log	/workspace/wechat/Metagenome/work/article58/logs/fastp-assembly.time.txt
eukdetect	reused checksum-stable completed output	0	/workspace/wechat/Metagenome/work/article58/logs/eukdetect.stdout.log	/workspace/wechat/Metagenome/work/article58/logs/eukdetect.stderr.log	/workspace/wechat/Metagenome/work/article58/logs/eukdetect.time.txt
eukdetect-normalize	/workspace/miniconda3/envs/metagenome-microbial-eukaryotes-2026.07/bin/eukdetect-normalize --eukfrac /workspace/wechat/Metagenome/work/article58/results/eukdetect/Zymo_D6300_filtered_hits_eukfrac.txt --library-sizes /workspace/wechat/Metagenome/work/article58/results/library-sizes-post-qc.tsv --output /workspace/wechat/Metagenome/work/article58/results/eukdetect/Zymo_D6300.normalized.tsv	0	/workspace/wechat/Metagenome/work/article58/logs/eukdetect-normalize.stdout.log	/workspace/wechat/Metagenome/work/article58/logs/eukdetect-normalize.stderr.log	/workspace/wechat/Metagenome/work/article58/logs/eukdetect-normalize.time.txt
eukrep-reference-3000-strict	reused checksum-stable completed output	0	/workspace/wechat/Metagenome/work/article58/logs/eukrep-reference-3000-strict.stdout.log	/workspace/wechat/Metagenome/work/article58/logs/eukrep-reference-3000-strict.stderr.log	/workspace/wechat/Metagenome/work/article58/logs/eukrep-reference-3000-strict.time.txt
eukrep-reference-3000-balanced	reused checksum-stable completed output	0	/workspace/wechat/Metagenome/work/article58/logs/eukrep-reference-3000-balanced.stdout.log	/workspace/wechat/Metagenome/work/article58/logs/eukrep-reference-3000-balanced.stderr.log	/workspace/wechat/Metagenome/work/article58/logs/eukrep-reference-3000-balanced.time.txt
eukrep-reference-3000-lenient	reused checksum-stable completed output	0	/workspace/wechat/Metagenome/work/article58/logs/eukrep-reference-3000-lenient.stdout.log	/workspace/wechat/Metagenome/work/article58/logs/eukrep-reference-3000-lenient.stderr.log	/workspace/wechat/Metagenome/work/article58/logs/eukrep-reference-3000-lenient.time.txt
eukrep-reference-5000-strict	reused checksum-stable completed output	0	/workspace/wechat/Metagenome/work/article58/logs/eukrep-reference-5000-strict.stdout.log	/workspace/wechat/Metagenome/work/article58/logs/eukrep-reference-5000-strict.stderr.log	/workspace/wechat/Metagenome/work/article58/logs/eukrep-reference-5000-strict.time.txt
eukrep-reference-5000-balanced	reused checksum-stable completed output	0	/workspace/wechat/Metagenome/work/article58/logs/eukrep-reference-5000-balanced.stdout.log	/workspace/wechat/Metagenome/work/article58/logs/eukrep-reference-5000-balanced.stderr.log	/workspace/wechat/Metagenome/work/article58/logs/eukrep-reference-5000-balanced.time.txt
eukrep-reference-5000-lenient	reused checksum-stable completed output	0	/workspace/wechat/Metagenome/work/article58/logs/eukrep-reference-5000-lenient.stdout.log	/workspace/wechat/Metagenome/work/article58/logs/eukrep-reference-5000-lenient.stderr.log	/workspace/wechat/Metagenome/work/article58/logs/eukrep-reference-5000-lenient.time.txt
