Contig	LengthBp	Mode	Truth	ReferenceSpecies	Prediction	IdentityPercent	QueryCoveragePercent	MapQ
k141_10021	31957	Strict	Prokaryote	Escherichia coli	Prokaryote	99.74329274019347	99.9561911318334	60
k141_10023	231873	Strict	Prokaryote	Listeria monocytogenes	Prokaryote	99.52909966603421	99.9948247532054	60
k141_10159	41777	Strict	Prokaryote	Lactobacillus fermentum	Prokaryote	99.92098647192626	99.9712760609905	60
k141_10187	264757	Strict	Prokaryote	Enterococcus faecalis	Prokaryote	99.78703675783252	99.99320131290203	60
k141_10210	3036	Strict	Unresolved	Unresolved	Eukaryote	70.38703870387039	36.36363636363637	31
k141_10242	213810	Strict	Prokaryote	Listeria monocytogenes	Prokaryote	99.86080100148541	99.99672606519808	60
k141_10280	3820	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	98.03510610427037	99.92146596858639	60
k141_10327	87472	Strict	Prokaryote	Lactobacillus fermentum	Prokaryote	100.0	99.9874245472837	60
k141_10337	17145	Strict	Prokaryote	Escherichia coli	Prokaryote	100.0	99.87168270632839	60
k141_10339	121384	Strict	Prokaryote	Salmonella enterica	Prokaryote	100.0	99.98599485928953	60
k141_1034	70880	Strict	Prokaryote	Enterococcus faecalis	Prokaryote	100.0	99.87725733634312	60
k141_10360	3200	Strict	Prokaryote	Lactobacillus fermentum	Prokaryote	100.0	98.90625	60
k141_10371	5484	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	98.00256551218618	99.50765864332604	60
k141_10374	38301	Strict	Prokaryote	Pseudomonas aeruginosa	Prokaryote	100.0	99.96344742957103	60
k141_10376	137256	Strict	Prokaryote	Listeria monocytogenes	Prokaryote	99.98396267677504	99.94462901439645	60
k141_10382	3088	Strict	Prokaryote	Lactobacillus fermentum	Prokaryote	100.0	98.99611398963731	60
k141_10387	8812	Strict	Prokaryote	Escherichia coli	Prokaryote	100.0	99.75034044484794	60
k141_10398	3178	Strict	Unresolved	Unresolved	Eukaryote	79.69976117366086	92.22781623662681	17
