FragmentLength	Mode	Species	Truth	PredictedEukaryote	PredictedProkaryote	Unclassified	CorrectPercent
3000	Strict	Bacillus subtilis	Prokaryote	1	79	0	98.75
3000	Strict	Cryptococcus neoformans	Eukaryote	65	15	0	81.25
3000	Strict	Enterococcus faecalis	Prokaryote	2	78	0	97.5
3000	Strict	Escherichia coli	Prokaryote	0	80	0	100.0
3000	Strict	Lactobacillus fermentum	Prokaryote	0	80	0	100.0
3000	Strict	Listeria monocytogenes	Prokaryote	2	78	0	97.5
3000	Strict	Pseudomonas aeruginosa	Prokaryote	0	80	0	100.0
3000	Strict	Saccharomyces cerevisiae	Eukaryote	50	30	0	62.5
3000	Strict	Salmonella enterica	Prokaryote	0	80	0	100.0
3000	Strict	Staphylococcus aureus	Prokaryote	7	73	0	91.25
3000	Balanced	Bacillus subtilis	Prokaryote	1	79	0	98.75
3000	Balanced	Cryptococcus neoformans	Eukaryote	68	12	0	85.0
3000	Balanced	Enterococcus faecalis	Prokaryote	3	77	0	96.25
3000	Balanced	Escherichia coli	Prokaryote	0	80	0	100.0
3000	Balanced	Lactobacillus fermentum	Prokaryote	1	79	0	98.75
3000	Balanced	Listeria monocytogenes	Prokaryote	2	78	0	97.5
3000	Balanced	Pseudomonas aeruginosa	Prokaryote	0	80	0	100.0
3000	Balanced	Saccharomyces cerevisiae	Eukaryote	54	26	0	67.5
3000	Balanced	Salmonella enterica	Prokaryote	0	80	0	100.0
3000	Balanced	Staphylococcus aureus	Prokaryote	7	73	0	91.25
3000	Lenient	Bacillus subtilis	Prokaryote	5	75	0	93.75
3000	Lenient	Cryptococcus neoformans	Eukaryote	76	4	0	95.0
3000	Lenient	Enterococcus faecalis	Prokaryote	5	75	0	93.75
3000	Lenient	Escherichia coli	Prokaryote	0	80	0	100.0
3000	Lenient	Lactobacillus fermentum	Prokaryote	2	78	0	97.5
3000	Lenient	Listeria monocytogenes	Prokaryote	6	74	0	92.5
3000	Lenient	Pseudomonas aeruginosa	Prokaryote	0	80	0	100.0
3000	Lenient	Saccharomyces cerevisiae	Eukaryote	69	11	0	86.25
3000	Lenient	Salmonella enterica	Prokaryote	0	80	0	100.0
3000	Lenient	Staphylococcus aureus	Prokaryote	13	67	0	83.75
5000	Strict	Bacillus subtilis	Prokaryote	0	80	0	100.0
5000	Strict	Cryptococcus neoformans	Eukaryote	66	14	0	82.5
5000	Strict	Enterococcus faecalis	Prokaryote	2	78	0	97.5
5000	Strict	Escherichia coli	Prokaryote	0	80	0	100.0
5000	Strict	Lactobacillus fermentum	Prokaryote	0	80	0	100.0
5000	Strict	Listeria monocytogenes	Prokaryote	0	80	0	100.0
5000	Strict	Pseudomonas aeruginosa	Prokaryote	0	80	0	100.0
