Tool	Version	Executable
EukDetect conda record	2.0.2	/workspace/miniconda3/envs/metagenome-microbial-eukaryotes-2026.07/conda-meta/eukdetect-2.0.2-pyhdfd78af_0.json
EukDetect Python metadata	2.0.0	/workspace/miniconda3/envs/metagenome-microbial-eukaryotes-2026.07/bin/python
EukDetect CLI	EukDetect v2.0.1	/workspace/miniconda3/envs/metagenome-microbial-eukaryotes-2026.07/bin/eukdetect
legacy-cgi compatibility package	2.6.4	/workspace/miniconda3/envs/metagenome-microbial-eukaryotes-2026.07/bin/python
EukRep	EukRep 0.6.7	/workspace/miniconda3/envs/metagenome-eukrep-legacy-2026.07/bin/EukRep
Bowtie2	/workspace/miniconda3/envs/metagenome-microbial-eukaryotes-2026.07/bin/bowtie2-align-s version 2.5.4	/workspace/miniconda3/envs/metagenome-microbial-eukaryotes-2026.07/bin/bowtie2
Snakemake	9.14.5	/workspace/miniconda3/envs/metagenome-microbial-eukaryotes-2026.07/bin/snakemake
fastp	fastp 1.3.6	/workspace/miniconda3/envs/metagenome-read-qc-2026.07/bin/fastp
MEGAHIT	MEGAHIT v1.2.9	/workspace/miniconda3/envs/metagenome-assembly-2026.07/bin/megahit
minimap2	2.31-r1302	/workspace/miniconda3/envs/metagenome-assembly-2026.07/bin/minimap2
EukDetect2 database	2026-03-16 (doi:10.5281/zenodo.19056625)	/workspace/wechat/Metagenome/db/microbial-eukaryotes-cache/eukdetect2-v2026-03-16
