File	Release	RecordDOI	ExpectedBytes	ObservedBytes	ExpectedMD5	ObservedMD5	ChecksumPass
eukdb.1.bt2l	2026-03-16	10.5281/zenodo.19056625	715087696	715087696	2842acf34645af1f940b8196519401e0	2842acf34645af1f940b8196519401e0	true
eukdb.2.bt2l	2026-03-16	10.5281/zenodo.19056625	952923644	952923644	562f241ddbdddff59a63057900873391	562f241ddbdddff59a63057900873391	true
eukdb.3.bt2l	2026-03-16	10.5281/zenodo.19056625	23196138	23196138	448cad488f1b5803a4c40c237d6ae62a	448cad488f1b5803a4c40c237d6ae62a	true
eukdb.4.bt2l	2026-03-16	10.5281/zenodo.19056625	476461819	476461819	a7ffd4bfee3b70a6e8fa8a1088d29d02	a7ffd4bfee3b70a6e8fa8a1088d29d02	true
eukdb.rev.1.bt2l	2026-03-16	10.5281/zenodo.19056625	715087696	715087696	20af14c97e21cc2b90e27192e9ae1106	20af14c97e21cc2b90e27192e9ae1106	true
eukdb.rev.2.bt2l	2026-03-16	10.5281/zenodo.19056625	952923644	952923644	f21cbffa42a0af0c18966f5745a9739a	f21cbffa42a0af0c18966f5745a9739a	true
eukdb.fasta	2026-03-16	10.5281/zenodo.19056625	1974042945	1974042945	91f3883f231ead6853f6883449cd331f	91f3883f231ead6853f6883449cd331f	true
busco_taxid_genome_link.txt	2026-03-16	10.5281/zenodo.19056625	55715646	55715646	3eae92e5928da5af74eb262937ab96b8	3eae92e5928da5af74eb262937ab96b8	true
all_genomes.txt	2026-03-16	10.5281/zenodo.19056625	180816	180816	d7d8930b7c2355b5bad5b16551402d4c	d7d8930b7c2355b5bad5b16551402d4c	true
taxdump.tar.gz	2026-03-16	10.5281/zenodo.19056625	71510479	71510479	5b89e986aa5dee81b9d54e6044d515ac	5b89e986aa5dee81b9d54e6044d515ac	true
taxa.sqlite.traverse.pkl	2026-03-16	10.5281/zenodo.19056625	14724837	14724837	0ae86317e6f686a981b5173986fba900	0ae86317e6f686a981b5173986fba900	true
taxa.sqlite	2026-03-16	10.5281/zenodo.19056625	668700672	668700672	1b40342fa6c26814c9fdf576d00f47b1	1b40342fa6c26814c9fdf576d00f47b1	true
taxid_and_genome_cumulativelength.txt	2026-03-16	10.5281/zenodo.19056625	325810	325810	c86e1df977f1eb9e5dddad87a9f334ec	c86e1df977f1eb9e5dddad87a9f334ec	true
specific_and_inherited_markers_per_taxid.txt	2026-03-16	10.5281/zenodo.19056625	502988078	502988078	ccdf4921826515dcef33ee2c00051d02	ccdf4921826515dcef33ee2c00051d02	true
