FragmentID	FragmentLength	Species	DomainTruth	WithinSpeciesRank	SourceSequence	Start1	End1	Selection
FRAG|3000|Bacillus_subtilis|Prokaryote|001|00001|BS.pilon.polished.v3.ST170922|1	3000	Bacillus subtilis	Prokaryote	1	00001|BS.pilon.polished.v3.ST170922	1	3000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|002|00001|BS.pilon.polished.v3.ST170922|51001	3000	Bacillus subtilis	Prokaryote	2	00001|BS.pilon.polished.v3.ST170922	51001	54000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|003|00001|BS.pilon.polished.v3.ST170922|102001	3000	Bacillus subtilis	Prokaryote	3	00001|BS.pilon.polished.v3.ST170922	102001	105000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|004|00001|BS.pilon.polished.v3.ST170922|153001	3000	Bacillus subtilis	Prokaryote	4	00001|BS.pilon.polished.v3.ST170922	153001	156000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|005|00001|BS.pilon.polished.v3.ST170922|204001	3000	Bacillus subtilis	Prokaryote	5	00001|BS.pilon.polished.v3.ST170922	204001	207000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|006|00001|BS.pilon.polished.v3.ST170922|255001	3000	Bacillus subtilis	Prokaryote	6	00001|BS.pilon.polished.v3.ST170922	255001	258000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|007|00001|BS.pilon.polished.v3.ST170922|306001	3000	Bacillus subtilis	Prokaryote	7	00001|BS.pilon.polished.v3.ST170922	306001	309000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|008|00001|BS.pilon.polished.v3.ST170922|357001	3000	Bacillus subtilis	Prokaryote	8	00001|BS.pilon.polished.v3.ST170922	357001	360000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|009|00001|BS.pilon.polished.v3.ST170922|408001	3000	Bacillus subtilis	Prokaryote	9	00001|BS.pilon.polished.v3.ST170922	408001	411000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|010|00001|BS.pilon.polished.v3.ST170922|459001	3000	Bacillus subtilis	Prokaryote	10	00001|BS.pilon.polished.v3.ST170922	459001	462000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|011|00001|BS.pilon.polished.v3.ST170922|510001	3000	Bacillus subtilis	Prokaryote	11	00001|BS.pilon.polished.v3.ST170922	510001	513000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|012|00001|BS.pilon.polished.v3.ST170922|561001	3000	Bacillus subtilis	Prokaryote	12	00001|BS.pilon.polished.v3.ST170922	561001	564000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|013|00001|BS.pilon.polished.v3.ST170922|612001	3000	Bacillus subtilis	Prokaryote	13	00001|BS.pilon.polished.v3.ST170922	612001	615000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|014|00001|BS.pilon.polished.v3.ST170922|663001	3000	Bacillus subtilis	Prokaryote	14	00001|BS.pilon.polished.v3.ST170922	663001	666000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|015|00001|BS.pilon.polished.v3.ST170922|714001	3000	Bacillus subtilis	Prokaryote	15	00001|BS.pilon.polished.v3.ST170922	714001	717000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|016|00001|BS.pilon.polished.v3.ST170922|765001	3000	Bacillus subtilis	Prokaryote	16	00001|BS.pilon.polished.v3.ST170922	765001	768000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|017|00001|BS.pilon.polished.v3.ST170922|816001	3000	Bacillus subtilis	Prokaryote	17	00001|BS.pilon.polished.v3.ST170922	816001	819000	80 evenly spaced non-overlapping exact-length fragments per species
