FragmentID	FragmentLength	Mode	Species	Truth	Prediction	Correct
FRAG|3000|Bacillus_subtilis|Prokaryote|001|00001|BS.pilon.polished.v3.ST170922|1	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|002|00001|BS.pilon.polished.v3.ST170922|51001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|003|00001|BS.pilon.polished.v3.ST170922|102001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|004|00001|BS.pilon.polished.v3.ST170922|153001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|005|00001|BS.pilon.polished.v3.ST170922|204001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|006|00001|BS.pilon.polished.v3.ST170922|255001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|007|00001|BS.pilon.polished.v3.ST170922|306001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|008|00001|BS.pilon.polished.v3.ST170922|357001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|009|00001|BS.pilon.polished.v3.ST170922|408001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|010|00001|BS.pilon.polished.v3.ST170922|459001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|011|00001|BS.pilon.polished.v3.ST170922|510001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|012|00001|BS.pilon.polished.v3.ST170922|561001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|013|00001|BS.pilon.polished.v3.ST170922|612001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|014|00001|BS.pilon.polished.v3.ST170922|663001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|015|00001|BS.pilon.polished.v3.ST170922|714001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|016|00001|BS.pilon.polished.v3.ST170922|765001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|017|00001|BS.pilon.polished.v3.ST170922|816001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|018|00001|BS.pilon.polished.v3.ST170922|867001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|019|00001|BS.pilon.polished.v3.ST170922|918001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|020|00001|BS.pilon.polished.v3.ST170922|969001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|021|00001|BS.pilon.polished.v3.ST170922|1023001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|022|00001|BS.pilon.polished.v3.ST170922|1074001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|023|00001|BS.pilon.polished.v3.ST170922|1125001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|024|00001|BS.pilon.polished.v3.ST170922|1176001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|025|00001|BS.pilon.polished.v3.ST170922|1227001	3000	Strict	Bacillus subtilis	Prokaryote	Eukaryote	false
FRAG|3000|Bacillus_subtilis|Prokaryote|026|00001|BS.pilon.polished.v3.ST170922|1278001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|027|00001|BS.pilon.polished.v3.ST170922|1329001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|028|00001|BS.pilon.polished.v3.ST170922|1380001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|029|00001|BS.pilon.polished.v3.ST170922|1431001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|030|00001|BS.pilon.polished.v3.ST170922|1482001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|031|00001|BS.pilon.polished.v3.ST170922|1533001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|032|00001|BS.pilon.polished.v3.ST170922|1584001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|033|00001|BS.pilon.polished.v3.ST170922|1635001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|034|00001|BS.pilon.polished.v3.ST170922|1686001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
