seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k141_41169	6618	No terminal repeats	10	11	0.9950	NA	0	10.3282	NA	NA
k141_40019	12206	No terminal repeats	20	11	0.9946	NA	0	17.5099	NA	NA
k141_51419	3967	No terminal repeats	4	11	0.9946	NA	4	5.2263	F_traK;F_traB;F_traV;virb4	NA
k141_20114	5118	No terminal repeats	9	11	0.9939	NA	0	3.9545	NA	NA
k141_5394	1542	No terminal repeats	3	11	0.9935	NA	3	4.2382	F_traN;F_traF	NA
k141_58029	4158	DTR	6	11	0.9930	NA	3	4.5029	MOBP1	NA
k141_30164	2888	No terminal repeats	5	11	0.9928	NA	0	3.3289	NA	NA
k141_1420	4809	No terminal repeats	6	11	0.9927	NA	0	6.8692	NA	NA
k141_39743	3994	No terminal repeats	6	11	0.9926	NA	0	3.2631	NA	NA
k141_31460	30940	No terminal repeats	35	11	0.9926	NA	0	11.7124	NA	NA
k141_57295	2784	No terminal repeats	4	11	0.9922	NA	4	5.2263	F_traK;F_traB;F_traV;virb4	NA
k141_51760	3063	No terminal repeats	3	11	0.9920	NA	0	1.7183	NA	NA
k141_12114	87818	No terminal repeats	100	11	0.9920	NA	2	37.0736	NA	NA
k141_13824	2415	No terminal repeats	7	11	0.9919	NA	3	5.1024	F_traL	NA
k141_51608	2378	No terminal repeats	4	11	0.9918	NA	1	3.8020	NA	NA
k141_49520	1865	No terminal repeats	3	11	0.9908	NA	2	2.9550	G_tfc9;G_tfc8	NA
k141_54770	28412	No terminal repeats	39	11	0.9906	NA	0	11.4743	NA	NA
k141_13341	7060	No terminal repeats	5	11	0.9904	NA	0	0.7202	NA	NA
k141_26591	86482	No terminal repeats	68	11	0.9903	NA	5	24.0075	t4cp1;C_alr7212;C_alr7211;C_alr7210;C_alr7209;C_alr7208;C_alr7207;virb4;C_alr7205;C_alr7204	NF000496
k141_17078	8619	No terminal repeats	12	11	0.9903	NA	0	7.1849	NA	NA
k141_40819	1384	No terminal repeats	3	11	0.9902	NA	2	2.9674	F_traF	NA
k141_38065	8688	No terminal repeats	5	11	0.9901	NA	2	5.4698	NA	NA
k141_52608	7163	No terminal repeats	11	11	0.9899	NA	0	1.2194	NA	NA
k141_2032	12954	No terminal repeats	15	11	0.9897	NA	0	2.2382	NA	NA
k141_4729	8955	No terminal repeats	15	11	0.9897	NA	0	3.5156	NA	NA
k141_11425	1292	No terminal repeats	3	11	0.9896	NA	2	2.9711	F_traE	NA
k141_50017	2702	No terminal repeats	6	11	0.9895	NA	0	4.0550	NA	NA
k141_5240	1703	No terminal repeats	3	11	0.9893	NA	2	2.9200	F_traH	NA
k141_24480	1939	No terminal repeats	3	11	0.9892	NA	2	2.6289	NA	NA
k141_35943	8281	No terminal repeats	12	11	0.9890	NA	1	4.0195	NA	NA
k141_48779	67932	No terminal repeats	50	11	0.9886	NA	1	11.7749	NA	NA
k141_11502	2482	No terminal repeats	2	11	0.9885	NA	2	2.5091	F_traH;F_traG	NA
k141_16735	8639	No terminal repeats	10	11	0.9880	NA	0	2.5885	NA	NA
k141_10878	11465	No terminal repeats	14	11	0.9879	NA	0	4.0511	NA	NA
k141_1229	3235	DTR	5	11	0.9874	NA	0	1.6664	NA	NA
k141_29432	12268	No terminal repeats	17	11	0.9874	NA	0	3.5929	NA	NA
k141_44621	23371	No terminal repeats	29	11	0.9871	NA	0	6.6146	NA	NA
k141_17153	16044	No terminal repeats	10	11	0.9870	NA	0	0.7932	NA	NA
k141_17129	6295	No terminal repeats	7	11	0.9869	NA	0	2.7173	NA	NA
k141_52498	11350	No terminal repeats	14	11	0.9869	NA	0	4.6319	NA	NA
k141_15510	12738	No terminal repeats	12	11	0.9867	NA	0	5.5451	NA	NA
k141_24490	1960	No terminal repeats	3	11	0.9862	NA	2	2.6289	NA	NA
k141_7877	2664	No terminal repeats	2	11	0.9854	NA	1	1.7114	NA	NA
k141_43720	2635	No terminal repeats	4	11	0.9847	NA	3	4.1744	F_traU;F_traW	NA
k141_3896	1265	No terminal repeats	3	11	0.9845	NA	2	2.9200	F_traH	NA
k141_42398	1012	No terminal repeats	1	11	0.9843	NA	1	0.9020	NA	NA
k141_22266	29290	No terminal repeats	17	11	0.9837	NA	0	8.7747	NA	NA
k141_53683	2639	No terminal repeats	5	11	0.9834	NA	0	2.2649	NA	NA
k141_18850	5512	No terminal repeats	7	11	0.9827	NA	0	2.4168	NA	NA
k141_55467	2623	No terminal repeats	4	11	0.9826	NA	0	2.6560	NA	NA
k141_23113	1602	No terminal repeats	2	11	0.9818	NA	2	2.5199	F_traF;F_traN	NA
k141_55345	1020	No terminal repeats	2	11	0.9817	NA	2	2.5199	F_traF;F_traN	NA
k141_12868	5289	No terminal repeats	6	11	0.9816	NA	1	6.1144	FATA_trsL;MOBP3	NA
k141_7461	32105	DTR	33	11	0.9810	NA	7	12.3898	MOBP1;T_virB1;T_virB10;T_virB9;T_virB8;virb4	NA
k141_14498	44949	No terminal repeats	46	11	0.9800	NA	2	1.8657	B_traF;B_traL	NA
k141_41876	3323	No terminal repeats	3	11	0.9799	NA	0	2.9918	NA	NA
