Algorithm	Repeat	OuterFold	TrainingSamples	TrainingControls	TrainingCRC	FeaturesAvailable	FeaturesKept	Pseudocount	FittedOnOuterTrainingOnly
Random forest	1	1	90	48	42	661	271	0.000001	TRUE
XGBoost	1	1	90	48	42	661	271	0.000001	TRUE
Random forest	1	2	91	49	42	661	266	0.000001	TRUE
XGBoost	1	2	91	49	42	661	266	0.000001	TRUE
Random forest	1	3	91	49	42	661	269	0.000001	TRUE
XGBoost	1	3	91	49	42	661	269	0.000001	TRUE
Random forest	1	4	92	49	43	661	262	0.000001	TRUE
XGBoost	1	4	92	49	43	661	262	0.000001	TRUE
Random forest	1	5	92	49	43	661	271	0.000001	TRUE
XGBoost	1	5	92	49	43	661	271	0.000001	TRUE
Random forest	2	1	90	48	42	661	277	0.000001	TRUE
XGBoost	2	1	90	48	42	661	277	0.000001	TRUE
Random forest	2	2	91	49	42	661	265	0.000001	TRUE
XGBoost	2	2	91	49	42	661	265	0.000001	TRUE
Random forest	2	3	91	49	42	661	262	0.000001	TRUE
XGBoost	2	3	91	49	42	661	262	0.000001	TRUE
Random forest	2	4	92	49	43	661	271	0.000001	TRUE
XGBoost	2	4	92	49	43	661	271	0.000001	TRUE
Random forest	2	5	92	49	43	661	267	0.000001	TRUE
XGBoost	2	5	92	49	43	661	267	0.000001	TRUE
Random forest	3	1	90	48	42	661	273	0.000001	TRUE
XGBoost	3	1	90	48	42	661	273	0.000001	TRUE
Random forest	3	2	91	49	42	661	265	0.000001	TRUE
XGBoost	3	2	91	49	42	661	265	0.000001	TRUE
Random forest	3	3	91	49	42	661	268	0.000001	TRUE
XGBoost	3	3	91	49	42	661	268	0.000001	TRUE
Random forest	3	4	92	49	43	661	265	0.000001	TRUE
XGBoost	3	4	92	49	43	661	265	0.000001	TRUE
Random forest	3	5	92	49	43	661	269	0.000001	TRUE
XGBoost	3	5	92	49	43	661	269	0.000001	TRUE
Random forest	4	1	90	48	42	661	275	0.000001	TRUE
XGBoost	4	1	90	48	42	661	275	0.000001	TRUE
Random forest	4	2	91	49	42	661	268	0.000001	TRUE
XGBoost	4	2	91	49	42	661	268	0.000001	TRUE
Random forest	4	3	91	49	42	661	261	0.000001	TRUE
XGBoost	4	3	91	49	42	661	261	0.000001	TRUE
Random forest	4	4	92	49	43	661	270	0.000001	TRUE
XGBoost	4	4	92	49	43	661	270	0.000001	TRUE
Random forest	4	5	92	49	43	661	263	0.000001	TRUE
XGBoost	4	5	92	49	43	661	263	0.000001	TRUE
Random forest	5	1	90	48	42	661	275	0.000001	TRUE
XGBoost	5	1	90	48	42	661	275	0.000001	TRUE
Random forest	5	2	91	49	42	661	268	0.000001	TRUE
XGBoost	5	2	91	49	42	661	268	0.000001	TRUE
Random forest	5	3	91	49	42	661	264	0.000001	TRUE
XGBoost	5	3	91	49	42	661	264	0.000001	TRUE
Random forest	5	4	92	49	43	661	259	0.000001	TRUE
XGBoost	5	4	92	49	43	661	259	0.000001	TRUE
Random forest	5	5	92	49	43	661	264	0.000001	TRUE
XGBoost	5	5	92	49	43	661	264	0.000001	TRUE
