Algorithm	Repeat	OuterFold	TestSamples	TestControls	TestCRC	FeaturesKept	InnerAUROC	OuterAUROC	OuterAUPRC	OuterBrier	SelectedParameters
Random forest	1	1	24	13	11	271	0.862599206349206	0.741258741258741	0.795465937571201	0.204034849794239	mtry_spec=sqrt;min_node=3;InnerAUROC=0.862599206349206
XGBoost	1	1	24	13	11	271	0.801587301587302	0.797202797202797	0.778787878787879	0.199873806704323	nrounds=50;max_depth=2;eta=0.1;InnerAUROC=0.801587301587302
Random forest	1	2	23	12	11	266	0.866375121477162	0.863636363636364	0.868413019728809	0.169262582497946	mtry_spec=fifth;min_node=10;InnerAUROC=0.866375121477162
XGBoost	1	2	23	12	11	266	0.820213799805637	0.659090909090909	0.708222333222333	0.229887532863265	nrounds=50;max_depth=2;eta=0.03;InnerAUROC=0.820213799805637
Random forest	1	3	23	12	11	269	0.785228377065112	0.886363636363636	0.911363636363636	0.164363254839109	mtry_spec=sqrt;min_node=10;InnerAUROC=0.785228377065112
XGBoost	1	3	23	12	11	269	0.704567541302235	0.825757575757576	0.838287974651611	0.18086797591836	nrounds=150;max_depth=1;eta=0.1;InnerAUROC=0.704567541302235
Random forest	1	4	22	12	10	262	0.814902705268154	0.85	0.872709235209235	0.162966653497357	mtry_spec=third;min_node=10;InnerAUROC=0.814902705268154
XGBoost	1	4	22	12	10	262	0.792596108210726	0.875	0.911843434343434	0.122796097295202	nrounds=50;max_depth=2;eta=0.1;InnerAUROC=0.792596108210726
Random forest	1	5	22	12	10	271	0.830090175605126	0.816666666666667	0.872727272727273	0.177000441386299	mtry_spec=fifth;min_node=10;InnerAUROC=0.830090175605126
XGBoost	1	5	22	12	10	271	0.80968201233982	0.8	0.845941558441558	0.175680951598781	nrounds=50;max_depth=2;eta=0.1;InnerAUROC=0.80968201233982
Random forest	2	1	24	13	11	277	0.87797619047619	0.72027972027972	0.793939393939394	0.19875238019398	mtry_spec=sqrt;min_node=10;InnerAUROC=0.87797619047619
XGBoost	2	1	24	13	11	277	0.800595238095238	0.748251748251748	0.81550394050394	0.183756447515924	nrounds=150;max_depth=2;eta=0.03;InnerAUROC=0.800595238095238
Random forest	2	2	23	12	11	265	0.828474246841594	0.939393939393939	0.952762923351159	0.152259761674718	mtry_spec=third;min_node=3;InnerAUROC=0.828474246841594
XGBoost	2	2	23	12	11	265	0.820213799805637	0.803030303030303	0.859495576886881	0.177402825161502	nrounds=50;max_depth=1;eta=0.1;InnerAUROC=0.820213799805637
Random forest	2	3	23	12	11	262	0.826044703595724	0.901515151515151	0.937190082644628	0.155461379196551	mtry_spec=fifth;min_node=10;InnerAUROC=0.826044703595724
XGBoost	2	3	23	12	11	262	0.740524781341108	0.848484848484849	0.87128555458595	0.150004403879027	nrounds=150;max_depth=1;eta=0.1;InnerAUROC=0.740524781341108
Random forest	2	4	22	12	10	271	0.834361651637399	0.816666666666667	0.828692185007974	0.190535535995735	mtry_spec=sqrt;min_node=10;InnerAUROC=0.834361651637399
XGBoost	2	4	22	12	10	271	0.801139060275273	0.816666666666667	0.811666666666667	0.191404209451365	nrounds=50;max_depth=2;eta=0.1;InnerAUROC=0.801139060275273
Random forest	2	5	22	12	10	267	0.838633127669673	0.8	0.803124098124098	0.183395190087153	mtry_spec=sqrt;min_node=10;InnerAUROC=0.838633127669673
XGBoost	2	5	22	12	10	267	0.787850023730422	0.75	0.793395721925134	0.196468821707203	nrounds=50;max_depth=2;eta=0.03;InnerAUROC=0.787850023730422
Random forest	3	1	24	13	11	273	0.824900793650794	0.881118881118881	0.912227538543328	0.175682985086212	mtry_spec=sqrt;min_node=10;InnerAUROC=0.824900793650794
XGBoost	3	1	24	13	11	273	0.782738095238095	0.818181818181818	0.859297520661157	0.177601365785761	nrounds=50;max_depth=1;eta=0.1;InnerAUROC=0.782738095238095
Random forest	3	2	23	12	11	265	0.8544703595724	0.901515151515151	0.897687918142464	0.147119937734836	mtry_spec=fifth;min_node=3;InnerAUROC=0.8544703595724
XGBoost	3	2	23	12	11	265	0.822157434402332	0.878787878787879	0.860550560550561	0.152527476059529	nrounds=150;max_depth=2;eta=0.1;InnerAUROC=0.822157434402332
Random forest	3	3	23	12	11	268	0.775996112730807	0.856060606060606	0.866645342961132	0.162598675254965	mtry_spec=sqrt;min_node=3;InnerAUROC=0.775996112730807
XGBoost	3	3	23	12	11	268	0.67687074829932	0.840909090909091	0.839518814518814	0.153148517081349	nrounds=50;max_depth=2;eta=0.1;InnerAUROC=0.67687074829932
Random forest	3	4	22	12	10	265	0.847176079734219	0.883333333333333	0.919230769230769	0.146340484904589	mtry_spec=fifth;min_node=10;InnerAUROC=0.847176079734219
XGBoost	3	4	22	12	10	265	0.838633127669673	0.8	0.819015151515151	0.172241713510062	nrounds=50;max_depth=1;eta=0.1;InnerAUROC=0.838633127669673
Random forest	3	5	22	12	10	269	0.831514000949217	0.816666666666667	0.827576633892423	0.186478761620005	mtry_spec=sqrt;min_node=10;InnerAUROC=0.831514000949217
XGBoost	3	5	22	12	10	269	0.778357854769815	0.708333333333333	0.700494133059922	0.2503840580986	nrounds=150;max_depth=2;eta=0.1;InnerAUROC=0.778357854769815
Random forest	4	1	24	13	11	275	0.810019841269841	0.944055944055944	0.944134527089073	0.151309348698723	mtry_spec=fifth;min_node=10;InnerAUROC=0.810019841269841
XGBoost	4	1	24	13	11	275	0.755456349206349	0.881118881118881	0.859353525262616	0.175137846370099	nrounds=50;max_depth=2;eta=0.03;InnerAUROC=0.755456349206349
Random forest	4	2	23	12	11	268	0.881438289601555	0.681818181818182	0.713734007796435	0.217072403650027	mtry_spec=sqrt;min_node=3;InnerAUROC=0.881438289601555
XGBoost	4	2	23	12	11	268	0.848396501457726	0.674242424242424	0.716377583768888	0.243344531234838	nrounds=150;max_depth=1;eta=0.03;InnerAUROC=0.848396501457726
Random forest	4	3	23	12	11	261	0.830903790087464	0.954545454545455	0.967914438502674	0.141711710100769	mtry_spec=fifth;min_node=10;InnerAUROC=0.830903790087464
XGBoost	4	3	23	12	11	261	0.804178814382896	0.893939393939394	0.909112129700365	0.159978914819368	nrounds=50;max_depth=1;eta=0.1;InnerAUROC=0.804178814382896
Random forest	4	4	22	12	10	270	0.840056953013764	0.841666666666667	0.9	0.151978933785232	mtry_spec=fifth;min_node=10;InnerAUROC=0.840056953013764
XGBoost	4	4	22	12	10	270	0.81063122923588	0.808333333333333	0.870095693779904	0.175682557661681	nrounds=50;max_depth=2;eta=0.03;InnerAUROC=0.81063122923588
Random forest	4	5	22	12	10	263	0.833887043189369	0.841666666666667	0.875996732026144	0.185317729780445	mtry_spec=sqrt;min_node=10;InnerAUROC=0.833887043189369
XGBoost	4	5	22	12	10	263	0.750830564784053	0.808333333333333	0.821269841269841	0.198671004799708	nrounds=150;max_depth=2;eta=0.1;InnerAUROC=0.750830564784053
Random forest	5	1	24	13	11	275	0.803323412698413	0.916083916083916	0.88645054440509	0.156960919753086	mtry_spec=sqrt;min_node=3;InnerAUROC=0.803323412698413
XGBoost	5	1	24	13	11	275	0.76140873015873	0.916083916083916	0.88645054440509	0.11810445508027	nrounds=150;max_depth=2;eta=0.1;InnerAUROC=0.76140873015873
Random forest	5	2	23	12	11	268	0.828474246841594	0.909090909090909	0.931634527089073	0.151019214170692	mtry_spec=sqrt;min_node=3;InnerAUROC=0.828474246841594
XGBoost	5	2	23	12	11	268	0.759961127308066	0.871212121212121	0.872837293425529	0.144038130439281	nrounds=150;max_depth=1;eta=0.1;InnerAUROC=0.759961127308066
Random forest	5	3	23	12	11	264	0.833333333333333	0.727272727272727	0.823376623376623	0.180329146537842	mtry_spec=fifth;min_node=3;InnerAUROC=0.833333333333333
XGBoost	5	3	23	12	11	264	0.792517006802721	0.712121212121212	0.808701231688848	0.208164680769383	nrounds=50;max_depth=1;eta=0.03;InnerAUROC=0.792517006802721
Random forest	5	4	22	12	10	259	0.871381110583768	0.716666666666667	0.810727654698243	0.204300855218855	mtry_spec=fifth;min_node=3;InnerAUROC=0.871381110583768
XGBoost	5	4	22	12	10	259	0.816326530612245	0.625	0.714090909090909	0.234922661031754	nrounds=150;max_depth=2;eta=0.03;InnerAUROC=0.816326530612245
Random forest	5	5	22	12	10	264	0.900332225913621	0.775	0.825590749120161	0.202721849840125	mtry_spec=third;min_node=10;InnerAUROC=0.900332225913621
