Algorithm	Feature	Species	OuterFoldsAvailable	MeanDeltaAUROC	SEDeltaAUROC	PositiveFoldFraction	Lower95	Upper95	Rank
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_stomatis	Peptostreptococcus stomatis	25	0.031044289044289	0.00732532589679911	0.76	0.0166866502865628	0.0454019278020153	1
Random forest	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius	Streptococcus salivarius	25	0.0246410256410256	0.00667974846817308	0.68	0.0115487186434064	0.0377333326386449	2
Random forest	k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Parvimonas|s__Parvimonas_micra	Parvimonas micra	25	0.012995337995338	0.00556572061930987	0.72	0.00208652558149064	0.0239041504091853	3
Random forest	k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_nucleatum	Fusobacterium nucleatum	25	0.0128018648018648	0.00360405947471551	0.68	0.0057379082314224	0.0198658213723072	4
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_CAG_241	Oscillibacter sp CAG 241	25	0.00783682983682984	0.00285224536760986	0.56	0.00224642891631452	0.0134272307573452	5
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bicirculans	Ruminococcus bicirculans	25	0.00778321678321678	0.00356464309510666	0.48	0.00079651631680773	0.0147699172496258	6
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Pseudoflavonifractor|s__Pseudoflavonifractor_sp_An184	Pseudoflavonifractor sp An184	9	0.00466200466200466	0.00386553005868928	0.222222222222222	-0.00291443425302633	0.0122384435770357	7
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Mogibacterium|s__Mogibacterium_timidum	Mogibacterium timidum	25	0.00452680652680652	0.00163886525498322	0.36	0.00131463062703941	0.00773898242657364	8
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Intestinibacter|s__Intestinibacter_bartlettii	Intestinibacter bartlettii	25	0.00421212121212121	0.00244744264747977	0.28	-0.000584866376939139	0.00900910880118156	9
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium|s__Ruthenibacterium_lactatiformans	Ruthenibacterium lactatiformans	25	0.00399766899766899	0.00246145963810953	0.44	-0.000826791893025682	0.00882212988836367	10
