Permutation	Pipeline	AUROC	LabelInformationFromTestFold
1	Fold-scoped preprocessing	0.553665326322301	FALSE
1	Global label-selected top 20	0.619239096814104	TRUE
2	Fold-scoped preprocessing	0.477575007732756	FALSE
2	Global label-selected top 20	0.663161150634086	TRUE
3	Fold-scoped preprocessing	0.433034333436437	FALSE
3	Global label-selected top 20	0.669965975873801	TRUE
4	Fold-scoped preprocessing	0.503093102381689	FALSE
4	Global label-selected top 20	0.781008351376431	TRUE
5	Fold-scoped preprocessing	0.646149087534797	FALSE
5	Global label-selected top 20	0.749458707083205	TRUE
6	Fold-scoped preprocessing	0.435199505103619	FALSE
6	Global label-selected top 20	0.69811320754717	TRUE
7	Fold-scoped preprocessing	0.416022270337148	FALSE
7	Global label-selected top 20	0.666563563253944	TRUE
8	Fold-scoped preprocessing	0.574698422517785	FALSE
8	Global label-selected top 20	0.686668728734921	TRUE
9	Fold-scoped preprocessing	0.499845344880916	FALSE
9	Global label-selected top 20	0.709866996597587	TRUE
10	Fold-scoped preprocessing	0.559851531085679	FALSE
10	Global label-selected top 20	0.723785957315187	TRUE
11	Fold-scoped preprocessing	0.486699659758738	FALSE
11	Global label-selected top 20	0.716981132075472	TRUE
12	Fold-scoped preprocessing	0.489638107021342	FALSE
12	Global label-selected top 20	0.63439529848438	TRUE
13	Fold-scoped preprocessing	0.430405196412001	FALSE
13	Global label-selected top 20	0.680173213733375	TRUE
14	Fold-scoped preprocessing	0.459480358799876	FALSE
14	Global label-selected top 20	0.644293226105784	TRUE
15	Fold-scoped preprocessing	0.686359418496752	FALSE
15	Global label-selected top 20	0.771110423755026	TRUE
16	Fold-scoped preprocessing	0.590163934426229	FALSE
16	Global label-selected top 20	0.711877513145685	TRUE
17	Fold-scoped preprocessing	0.415712960098979	FALSE
17	Global label-selected top 20	0.640890813485926	TRUE
18	Fold-scoped preprocessing	0.37395607794618	FALSE
18	Global label-selected top 20	0.649860810392824	TRUE
19	Fold-scoped preprocessing	0.568357562635323	FALSE
19	Global label-selected top 20	0.779152489947417	TRUE
20	Fold-scoped preprocessing	0.50556758428704	FALSE
20	Global label-selected top 20	0.759665944942778	TRUE
21	Fold-scoped preprocessing	0.506340859882462	FALSE
21	Global label-selected top 20	0.687596659449428	TRUE
22	Fold-scoped preprocessing	0.578874110733065	FALSE
22	Global label-selected top 20	0.73120940303124	TRUE
23	Fold-scoped preprocessing	0.319208165790288	FALSE
23	Global label-selected top 20	0.643983915867615	TRUE
24	Fold-scoped preprocessing	0.597587380142283	FALSE
24	Global label-selected top 20	0.738323538509125	TRUE
25	Fold-scoped preprocessing	0.618620476337767	FALSE
25	Global label-selected top 20	0.790287658521497	TRUE
26	Fold-scoped preprocessing	0.482833281781627	FALSE
26	Global label-selected top 20	0.611197030621714	TRUE
27	Fold-scoped preprocessing	0.586452211568203	FALSE
27	Global label-selected top 20	0.728116300649551	TRUE
28	Fold-scoped preprocessing	0.437364676770801	FALSE
28	Global label-selected top 20	0.780389730900093	TRUE
29	Fold-scoped preprocessing	0.483451902257965	FALSE
29	Global label-selected top 20	0.733683884936591	TRUE
30	Fold-scoped preprocessing	0.541602227033715	FALSE
30	Global label-selected top 20	0.680482523971543	TRUE
31	Fold-scoped preprocessing	0.439684503557068	FALSE
31	Global label-selected top 20	0.706773894215899	TRUE
32	Fold-scoped preprocessing	0.5208784410764	FALSE
32	Global label-selected top 20	0.703062171357872	TRUE
33	Fold-scoped preprocessing	0.544076708939066	FALSE
33	Global label-selected top 20	0.748066811011444	TRUE
34	Fold-scoped preprocessing	0.482833281781627	FALSE
34	Global label-selected top 20	0.799257655428395	TRUE
35	Fold-scoped preprocessing	0.456541911537272	FALSE
35	Global label-selected top 20	0.72842561088772	TRUE
36	Fold-scoped preprocessing	0.468914321064027	FALSE
36	Global label-selected top 20	0.632848747293535	TRUE
37	Fold-scoped preprocessing	0.322301268171977	FALSE
37	Global label-selected top 20	0.625115991339313	TRUE
38	Fold-scoped preprocessing	0.643055985153109	FALSE
38	Global label-selected top 20	0.793071450665017	TRUE
39	Fold-scoped preprocessing	0.486545004639654	FALSE
39	Global label-selected top 20	0.738323538509125	TRUE
40	Fold-scoped preprocessing	0.551809464893288	FALSE
40	Global label-selected top 20	0.661305289205073	TRUE
41	Fold-scoped preprocessing	0.420661923909681	FALSE
41	Global label-selected top 20	0.76461490875348	TRUE
42	Fold-scoped preprocessing	0.378286421280544	FALSE
42	Global label-selected top 20	0.583668419424683	TRUE
43	Fold-scoped preprocessing	0.375038663779771	FALSE
43	Global label-selected top 20	0.722548716362512	TRUE
44	Fold-scoped preprocessing	0.477420352613671	FALSE
44	Global label-selected top 20	0.746365604701516	TRUE
45	Fold-scoped preprocessing	0.564181874420043	FALSE
45	Global label-selected top 20	0.724713888029694	TRUE
46	Fold-scoped preprocessing	0.492731209403031	FALSE
46	Global label-selected top 20	0.719146303742654	TRUE
47	Fold-scoped preprocessing	0.547479121558924	FALSE
47	Global label-selected top 20	0.685895453139499	TRUE
48	Fold-scoped preprocessing	0.536343952984844	FALSE
48	Global label-selected top 20	0.696566656356325	TRUE
49	Fold-scoped preprocessing	0.569130838230745	FALSE
49	Global label-selected top 20	0.680173213733375	TRUE
50	Fold-scoped preprocessing	0.518713269409217	FALSE
50	Global label-selected top 20	0.669656665635633	TRUE
