Figure	Format	Exists	Bytes	SHA256
27-nested-roc	pdf	TRUE	25039	5c93e58ea2575a9a16526d1b49c75492c74083600c5d7fb521f19caeff9d9ca2
27-nested-roc	png	TRUE	113096	b4bb5e79d32b20a7d8cca2e966248d0894850304fd3c20d4523a00d86226be24
27-nested-roc	tiff	TRUE	136782	b4736e75fb326752430446c41e64c8d264564ff8cfb07b22385d13fb33e2bb71
27-model-performance	pdf	TRUE	25046	b92d0bda4e6ba0bd076c2aa77c2eb358649219b06a6c652aa4431633d8c2cac3
27-model-performance	png	TRUE	211595	34f66b28a6500a38c1573d837a4c0794abda3b7526d139e5e52fbb011134da3a
27-model-performance	tiff	TRUE	215256	b38b0aff8b08e36c3a6c4f05d9931cf45c9accceefe1d415a4d7439d0582943b
27-permutation-importance	pdf	TRUE	33954	a18920c2dc89c6f4373bfc8553535e11aa39b48446bba26cd2a3955f3b4bd8cd
27-permutation-importance	png	TRUE	232784	10bde3e4e19baa36972d70e7c0041d00fe16bb7464b310f9f8064283a1ab9f79
27-permutation-importance	tiff	TRUE	310552	cf79f7564538763e26ef693e813b86a30b00f575f99fe00ba2a6df67dca0a654
27-leakage-permutation-audit	pdf	TRUE	38598	129821143f0146a47822226ab5bef5f789824bbd1daee67ce846dc711490367f
27-leakage-permutation-audit	png	TRUE	209077	022d49d1b00f95044dea2eaa455c6e2a8c03f8faa3d269815d368bb376040b78
27-leakage-permutation-audit	tiff	TRUE	232648	fe5bf9fbdec7477c3950902fc00380f4ca68da79579d914ef594e234ee1e24db
