PairDepth	SGBLineage	SGBLabel	SpeciesLabel	SGBClass	TotalDatabaseMarkers	NonzeroMarkers	MarkerSupportFraction	MappedMarkerHits	Coverage	RelativeAbundancePct	EstimatedReads	PercNonzero	PercNonzeroRole	ViralMarkerNamesInMapout	ViralMarkerHitsInMapout	MetadataExcludedSGBMarkerNamesInMapout	MetadataExcludedSGBMarkerHitsInMapout	MetadataExcludedSGBLabelsInMapout	UnexpectedMarkerNamesInMapout
20000	k__Bacteria|p__Thermotogota|c__Thermotogae|o__Thermotogales|f__Thermotogaceae|g__Thermotoga|s__Thermotoga_neapolitana|t__SGB19176	t__SGB19176	s__Thermotoga_neapolitana	Known SGB	200	99	0.495	184	0.001154146371853287	20.43279	5831	0.33	quasi_marker_disambiguation_not_detection_limit	8	26	2	3	SGB6011	0
20000	k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanothermaceae|g__Methanothermus|s__Methanothermus_fervidus|t__SGB722	t__SGB722	s__Methanothermus_fervidus	Known SGB	200	127	0.635	357	0.0008998703689853259	15.93113	2159	0.33	quasi_marker_disambiguation_not_detection_limit	8	26	2	3	SGB6011	0
20000	k__Archaea|p__Methanobacteriota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Methanocaldococcus|s__Methanocaldococcus_jannaschii|t__SGB648	t__SGB648	s__Methanocaldococcus_jannaschii	Known SGB	200	86	0.43	167	0.0008532343417485782	15.1055	5099	0.33	quasi_marker_disambiguation_not_detection_limit	8	26	2	3	SGB6011	0
20000	k__Bacteria|p__Thermotogota|c__Thermotogae|o__Thermotogales|f__Thermotogaceae|g__Thermotoga|s__Thermotoga_petrophila|t__SGB19175	t__SGB19175	s__Thermotoga_petrophila	Known SGB	200	83	0.415	202	0.0008160599598897543	14.44737	5585	0.33	quasi_marker_disambiguation_not_detection_limit	8	26	2	3	SGB6011	0
20000	k__Bacteria|p__Firmicutes|c__Bacillota_unclassified|o__Caldicellulosiruptorales|f__Caldicellulosiruptoraceae|g__Caldicellulosiruptor|s__Caldicellulosiruptor_changbaiensis|t__SGB8548	t__SGB8548	s__Caldicellulosiruptor_changbaiensis	Known SGB	200	98	0.49	190	0.0007437941313371798	13.16799	6503	0.33	quasi_marker_disambiguation_not_detection_limit	8	26	2	3	SGB6011	0
20000	k__Bacteria|p__Gemmatimonadota|c__Gemmatimonadia|o__Gemmatimonadales|f__Gemmatimonadaceae|g__Gemmatimonas|s__Gemmatimonas_aurantiaca|t__SGB17603	t__SGB17603	s__Gemmatimonas_aurantiaca	Known SGB	200	99	0.495	255	0.00035231493100587054	6.23732	5199	0.33	quasi_marker_disambiguation_not_detection_limit	8	26	2	3	SGB6011	0
20000	k__Bacteria|p__Aquificota|c__Aquificia|o__Aquificales|f__Hydrogenothermaceae|g__Persephonella|s__Persephonella_marina|t__SGB19010	t__SGB19010	s__Persephonella_marina	Known SGB	200	53	0.265	98	0.0001677870944427627	2.97047	3695	0.33	quasi_marker_disambiguation_not_detection_limit	8	26	2	3	SGB6011	0
20000	k__Archaea|p__Methanobacteriota|c__Thermococci|o__Thermococcales|f__Thermococcaceae|g__Pyrococcus|s__Pyrococcus_horikoshii|t__SGB896	t__SGB896	s__Pyrococcus_horikoshii	Known SGB	200	59	0.295	108	0.00014882078699638302	2.63469	2653	0.33	quasi_marker_disambiguation_not_detection_limit	8	26	2	3	SGB6011	0
20000	k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae|g__Nitrosomonas|s__Nitrosomonas_europaea|t__SGB13363	t__SGB13363	s__Nitrosomonas_europaea	Known SGB	144	35	0.24305555555555555	64	0.00013407567736717347	2.37365	6557	0.33	quasi_marker_disambiguation_not_detection_limit	8	26	2	3	SGB6011	0
20000	k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_oralis|t__SGB720	t__SGB720	s__Methanobrevibacter_oralis	Known SGB	200	46	0.23	73	0.00013176996488934895	2.33283	5336	0.33	quasi_marker_disambiguation_not_detection_limit	8	26	2	3	SGB6011	0
20000	k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacteraceae|g__Thermoanaerobacter|s__Thermoanaerobacter_thermohydrosulfuricus|t__SGB8563_group	t__SGB8563_group	s__Thermoanaerobacter_thermohydrosulfuricus	Known SGB	53	12	0.22641509433962265	26	0.0001303615362219615	2.3079	6550	0.33	quasi_marker_disambiguation_not_detection_limit	8	26	2	3	SGB6011	0
20000	k__Archaea|p__Nanobdellota|c__Candidatus_Nanoarchaeia|o__Nanoarchaeales|f__Nanoarchaeaceae|g__Nanoarchaeum|s__Nanoarchaeum_equitans|t__SGB645	t__SGB645	s__Nanoarchaeum_equitans	Known SGB	200	51	0.255	90	0.00011099763713261036	1.96508	1079	0.33	quasi_marker_disambiguation_not_detection_limit	8	26	2	3	SGB6011	0
20000	k__Archaea|p__Thermoproteota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Ignicoccus|s__Ignicoccus_hospitalis|t__SGB912	t__SGB912	s__Ignicoccus_hospitalis	Known SGB	200	41	0.205	74	5.269292153901441e-06	0.09329	1541	0.33	quasi_marker_disambiguation_not_detection_limit	8	26	2	3	SGB6011	0
50000	k__Bacteria|p__Thermotogota|c__Thermotogae|o__Thermotogales|f__Thermotogaceae|g__Thermotoga|s__Thermotoga_neapolitana|t__SGB19176	t__SGB19176	s__Thermotoga_neapolitana	Known SGB	200	157	0.785	455	0.003456577087343653	15.41145	8990	0.33	quasi_marker_disambiguation_not_detection_limit	12	49	5	8	SGB6011	0
50000	k__Bacteria|p__Thermotogota|c__Thermotogae|o__Thermotogales|f__Thermotogaceae|g__Thermotoga|s__Thermotoga_petrophila|t__SGB19175	t__SGB19175	s__Thermotoga_petrophila	Known SGB	200	154	0.77	499	0.0029750838104409824	13.26467	7748	0.33	quasi_marker_disambiguation_not_detection_limit	12	49	5	8	SGB6011	0
50000	k__Archaea|p__Methanobacteriota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Methanocaldococcus|s__Methanocaldococcus_jannaschii|t__SGB648	t__SGB648	s__Methanocaldococcus_jannaschii	Known SGB	200	132	0.66	406	0.0024809730333657147	11.06163	7822	0.33	quasi_marker_disambiguation_not_detection_limit	12	49	5	8	SGB6011	0
50000	k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanothermaceae|g__Methanothermus|s__Methanothermus_fervidus|t__SGB722	t__SGB722	s__Methanothermus_fervidus	Known SGB	200	181	0.905	845	0.002445831284492892	10.90495	3604	0.33	quasi_marker_disambiguation_not_detection_limit	12	49	5	8	SGB6011	0
