Domain	Phylum	SGBs
d__Archaea	p__AGJL01	2
d__Archaea	p__Halobacteriota	1
d__Archaea	p__Methanobacteriota	1
d__Archaea	p__Methanobacteriota_B	1
d__Archaea	p__Nanobdellota	1
d__Archaea	p__Thermoproteota	2
d__Bacteria	p__Aquificota	2
d__Bacteria	p__Bacillota	2
d__Bacteria	p__Bacteroidota	3
d__Bacteria	p__Chloroflexota	1
d__Bacteria	p__Desulfobacterota	1
d__Bacteria	p__Fusobacteriota	1
d__Bacteria	p__Gemmatimonadota	1
d__Bacteria	p__Planctomycetota	1
d__Bacteria	p__Pseudomonadota	2
d__Bacteria	p__Thermotogota	2
