SGB	dRepCluster	Representative	RepresentativeSHA256	GenomeBp	Contigs	N50Bp	Completeness	Contamination	MIMAGQuality	Path
SGB_001	1_1	vamb__025.fna	849765cc3b4b150397a555232e8402b8fcbe57eb987e4189d5953443ed10ea71	2614762	67	59244	99.95	0.2	Not re-audited for complete markers	/workspace/wechat/Metagenome/results/46-gtdbtk-taxonomy/inputs/genomes/SGB_001.fna
SGB_002	2_1	binette__012.fna	15114bf6c8fe4894a3bd1e74247c393c4ace98dd8d1947a3c5cff20ef6b0d7ec	2643322	77	47024	100.0	0.04	High quality	/workspace/wechat/Metagenome/results/46-gtdbtk-taxonomy/inputs/genomes/SGB_002.fna
SGB_003	3_1	binette__008.fna	967a05d2ab0adc374f33378f6009c3ab244f39ee868fdce056db73690b85d3b4	2039351	126	26973	98.69	0.55	Medium quality	/workspace/wechat/Metagenome/results/46-gtdbtk-taxonomy/inputs/genomes/SGB_003.fna
SGB_004	4_1	vamb__002.fna	dc2d5759242402e7bb00c52c04fa147df5107bd63764d03f96bde339396faa7a	1906417	54	48108	100.0	0.05	Not re-audited for complete markers	/workspace/wechat/Metagenome/results/46-gtdbtk-taxonomy/inputs/genomes/SGB_004.fna
SGB_005	5_1	binette__022.fna	7aa8352e35b8586d596ed820445898846b0c9ab7d02bef825b44ac27702e25a7	2653984	94	55634	100.0	0.14	Medium quality	/workspace/wechat/Metagenome/results/46-gtdbtk-taxonomy/inputs/genomes/SGB_005.fna
SGB_006	6_1	metabat2-multisample__018.fna	eb10464f9e951abd418634afd92c39455180c5d8326a5a6857468ec5de0b96a8	5210977	1024	6611	99.55	6.95	Not re-audited for complete markers	/workspace/wechat/Metagenome/results/46-gtdbtk-taxonomy/inputs/genomes/SGB_006.fna
SGB_007	7_1	binette__025.fna	322ff7a31426f03680bc0e500ef998b01f300b4174bc7635e79f2650e6e5b806	6481038	306	46222	99.97	0.28	Medium quality	/workspace/wechat/Metagenome/results/46-gtdbtk-taxonomy/inputs/genomes/SGB_007.fna
SGB_008	8_1	semibin2__018.fna	64d3c938ec6fec17483b576ac6f8466c9517b6bd2476f43804ba6aae73030f68	946551	324	3170	59.51	0.0	Not re-audited for complete markers	/workspace/wechat/Metagenome/results/46-gtdbtk-taxonomy/inputs/genomes/SGB_008.fna
SGB_009	9_1	binette__015.fna	60f4d611291f401f2c8ee007c94b56e153df13a4e0cb5cc74eafab162a97cd33	1083632	272	4753	78.95	0.29	Medium quality	/workspace/wechat/Metagenome/results/46-gtdbtk-taxonomy/inputs/genomes/SGB_009.fna
SGB_010	10_1	semibin2__038.fna	7e764b2ccf81fc2b0d23d77ec6f43e2b6aae6da537e47c95d0f9002335229dc2	1727858	43	79303	99.92	0.12	Not re-audited for complete markers	/workspace/wechat/Metagenome/results/46-gtdbtk-taxonomy/inputs/genomes/SGB_010.fna
SGB_011	11_1	taxvamb__008.fna	0c9920d688c8e18cd58113f4ed884bd72d1ed75f63b9b099fc45adee9f24da52	1937978	83	44823	99.41	0.33	Not re-audited for complete markers	/workspace/wechat/Metagenome/results/46-gtdbtk-taxonomy/inputs/genomes/SGB_011.fna
SGB_012	12_1	binette__009.fna	88d4ba3a1f67c50c0ebc7d85dec2279e7313562b7be572dae13100064ad25c51	2147088	283	11618	98.68	0.29	Medium quality	/workspace/wechat/Metagenome/results/46-gtdbtk-taxonomy/inputs/genomes/SGB_012.fna
SGB_013	13_1	binette__018.fna	60e4ebfabd300bea9ee4d66d50ec594098fcb7a39f6ae2a9dc070f7aeb967f6b	1366218	380	4054	72.13	3.33	Medium quality	/workspace/wechat/Metagenome/results/46-gtdbtk-taxonomy/inputs/genomes/SGB_013.fna
