PhageID	Accession	ProperName	GenomeLengthPaperBp	GenomeLengthReferenceBp	GCPct	InputGenomeCopies	InputTPM	DeepPLPrediction	PhaTYPPrediction	ConfirmedLifecycle	LifecycleSourceNote
vB_Eco_SLUR29	NC_054895.1	Escherichia phage vB_Eco_SLUR29	48593	48466	44.747186	684329545.5	405691.6313	NA	NA	Not reported	not present in DeepPL Table 3
PARMAL1	OQ376858.1	PARMAL1	44565	44565	57.583305	200736666.7	119002.8785	Lytic	Lytic	Unknown	DeepPL Table 3
vB_Eco_mar002J2	LR027385.1	Escherichia phage vB_Eco_mar002J2	50343	50343	44.38154	143127748.1	84850.53727	Lysogenic	Lytic	Temperate	DeepPL Table 3
HP1	NC_001697.1	Bacteriophage HP1	32355	32355	40.00618	119757670.5	70996.03549	Lysogenic	Lysogenic	Temperate	DeepPL Table 3
vB_Vpa_sm033	OV032902.1	Vibriophage vB_Vpa_sm033	320253	320253	43.22988	82540671.33	48932.65214	Lytic	Lytic	Virulent	DeepPL Table 3
vB_Eco_mar003J3	LR027389.1	Escherichia phage vB_Eco_mar003J3	115471	115471	39.77535	79342555.99	47036.71086	Lytic	Lytic	Virulent	DeepPL Table 3
vB_EcoS_swan01	LT841304.1	Escherichia phage vB_EcoS_swan01	50865	50865	44.74	76036616.16	45076.84791	Lysogenic	Lytic	Temperate	DeepPL Table 3
KUW1	OQ376857.1	KUW1	44509	44509	60.76075	72995151.52	43273.774	Lytic	Lytic	Unknown	DeepPL Table 3
DSS3_PM1	MN602267.1	Bacteriophage DSS3_PM1	70044	70044	47.33882	62567272.73	37091.80629	Lytic	Lytic	Virulent	DeepPL Table 3 name VP1; crosswalk through Cook Table S1
vB_Eco_mar001J1	LR027388.1	Escherichia phage vB_Eco_mar001J1	50343	50343	44.39545	53672905.53	31818.95147	Lysogenic	Lytic	Temperate	DeepPL Table 3
vB_Eco_mar005P1	LR027390.1	Escherichia phage vB_Eco_mar005P1	167773	167773	37.72359	53450591.72	31687.157	Lytic	Lytic	Virulent	DeepPL Table 3 name PHAGE1
vB_VpaS_sm032	OV032860.1	Vibriophage vB_VpaS_sm032	79660	79660	45.67411	52465265.15	31103.02506	Lytic	Lytic	Virulent	DeepPL Table 3
phix174	NC_001422.1	Coliphage phi-X174	5386	5386	44.7642	5164751.286	3061.823632	Lytic	Lytic	Virulent	DeepPL Table 3
S-RSM4	FM207411.1	Synechococcus phage S-RSM4	194454	194454	41.12026	465530.303	275.9807015	Lytic	Lytic	Virulent	DeepPL Table 3
CDMH1	NC_024144.1	Clostridium phage CDMH1	54279	54279	28.44562	169000.0	100.0	Lysogenic	Lysogenic	Temperate	DeepPL Table 3
